model_id,architecture,stage,train_fraction,gate,bittrue_sha256,dataset,evaluator,scope,images,instances,precision,recall,f1,ap50,ap75,ap50_95,ap_s,ap_m,ap_l,ar100
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,coco2017-val,ultralytics-internal,overall,,,,0.6177076954291076,,0.6771640928545082,0.5552919552466266,0.5067536423379944,0.35305720708630844,0.5570127573803683,0.658317675227077,
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5126958936317083,,,,
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.49276844372841644,,,,
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.7106416253256703,0.5370927549135476,0.4937959444987962,0.5145557006928283,0.5547794987969267,0.011241975938667806,0.6944827586206896
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6848331674085386,0.5606564655496427,0.5125815122084253,0.35305720708630844,0.5570127573803683,0.658317675227077,0.7142972421991323
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7064317375343238,0.5791064964291329,0.5160565029130133,0.4748151983199249,0.8448536055333651,0.6379753192710577,0.6226923076923077
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,bbt5-detect-valid,ultralytics-internal,overall,,,0.6888881178094381,0.6310610636720573,0.6587078873565863,,,,,,,
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5768396379408016,0.6112956810631229,0.5935680451530502,0.5901408539234497,0.27831966326333496,0.3180818786261289,,,,
a0,baseline-attention,a0,,immutable,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.8009365976780746,0.6508264462809917,0.7181209381686222,0.7232603452969846,0.557248345729685,0.4924304454536812,,,,
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,coco2017-val,ultralytics-internal,overall,,,,0.614384818202754,,0.6762899051361047,0.5547135645051352,0.50639125121949,0.35183131016004426,0.55677828578114,0.6579061745067816,
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5106105039723358,,,,
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.48914208589791286,,,,
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.7045714145215916,0.5458214995287272,0.4908956234575235,0.5182070063817731,0.5480526425329711,0.009132688416054111,0.6986206896551724
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6840308240014354,0.5602549194206614,0.5123584427261969,0.35183131016004426,0.55677828578114,0.6579061745067816,0.7137975837298345
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7086032753608736,0.576295730953142,0.51418541380365,0.4726814819585971,0.8450212970726051,0.6295379537953795,0.6173076923076922
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,bbt5-detect-valid,ultralytics-internal,overall,,,0.691042555777937,0.6312841492545509,0.6598130556733294,,,,,,,
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5768413249255268,0.6179401993355482,0.5966838891820229,0.5882848030024713,0.27482883731407215,0.3141369717634372,,,,
full35-a2,full35,a2,,retained,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.8052437866303473,0.6446280991735537,0.7160395020129975,0.716195431659475,0.5468343065741572,0.48475854846229627,,,,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,ultralytics-internal,overall,,,,0.6133407644437301,,0.6710432585232209,0.5469316611328618,0.49950444563093044,0.346756433287066,0.5517507978262607,0.6480284740654944,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5088972697279227,,,,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.47799333367509533,,,,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.6941044230797186,0.5386478310366678,0.4794290926729072,0.5111787639514804,0.5236511608491892,0.006911395349046275,0.6820689655172413
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.679547560802274,0.5530143946574484,0.5057805705387838,0.346756433287066,0.5517507978262607,0.6480284740654944,0.7077009590809145
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7065389575272892,0.581757813893297,0.5142631288800656,0.4706370066038234,0.8502056169481742,0.6389279250505696,0.6207692307692307
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,bbt5-detect-valid,ultralytics-internal,overall,,,0.6865266880715905,0.6189450581737943,0.6509865910287755,,,,,,,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5566722729642475,0.6132354604964649,0.5835864964274262,0.5844910518731187,0.26787226687278853,0.30866757874100914,,,,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.8163811031789334,0.6246546558511238,0.707763501153979,0.6965732904428307,0.5259571059057404,0.4652063218252824,,,,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,ultralytics-internal,overall,,,,0.6137619967466513,,0.6707373348180722,0.5441524400162756,0.4971468268656683,0.3454273607945253,0.5462708228626306,0.6481159011540727,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5099814221678574,,,,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.47300886149484755,,,,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.7152510283766269,0.5117973849716468,0.4747369630430341,0.5107272283560288,0.5039632077105333,0.015764841329894152,0.6917241379310346
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6786304147944031,0.5501287094693141,0.5031992378889334,0.3454273607945253,0.5462708228626306,0.6481159011540727,0.7084965576541657
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7072457702659571,0.5815262879932654,0.514994687058652,0.47299755377928554,0.8549383452904087,0.6372435069593916,0.6226923076923077
