epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6521.21,1.13024,1.18109,0.00706,0.72372,0.60669,0.66903,0.49803,1.05613,1.12317,0.00825,3.79974e-05,3.79974e-05,4.99966e-06,4.99966e-06,0.000189987,0.000189987,0.000379974,0.000379974
2,12189.5,1.12814,1.19151,0.00699,0.72401,0.6159,0.67155,0.50041,1.05216,1.12018,0.00821,3.79828e-05,3.79828e-05,4.99773e-06,4.99773e-06,0.000189914,0.000189914,0.000379828,0.000379828
3,17854.7,1.12595,1.19047,0.00694,0.72321,0.61475,0.67227,0.50152,1.05214,1.11573,0.00821,3.79312e-05,3.79312e-05,4.99094e-06,4.99094e-06,0.000189656,0.000189656,0.000379312,0.000379312
4,23515.6,1.12452,1.18688,0.00695,0.73004,0.61107,0.67199,0.50059,1.05117,1.11682,0.0082,3.78452e-05,3.78452e-05,4.97964e-06,4.97964e-06,0.000189226,0.000189226,0.000378452,0.000378452
5,29126.8,1.12256,1.18415,0.00693,0.7306,0.61016,0.67164,0.49993,1.05223,1.11783,0.00821,3.77252e-05,3.77252e-05,4.96384e-06,4.96384e-06,0.000188626,0.000188626,0.000377252,0.000377252
6,34747.3,1.12136,1.18336,0.00691,0.72889,0.61137,0.67169,0.50027,1.05349,1.11759,0.00823,3.75713e-05,3.75713e-05,4.94359e-06,4.94359e-06,0.000187856,0.000187856,0.000375713,0.000375713
7,40428.4,1.12179,1.17904,0.00689,0.73132,0.61285,0.67192,0.49936,1.0537,1.11732,0.00822,3.73838e-05,3.73838e-05,4.91892e-06,4.91892e-06,0.000186919,0.000186919,0.000373838,0.000373838
8,46115.2,1.12027,1.17985,0.00692,0.72313,0.61298,0.67082,0.499,1.05329,1.119,0.00821,3.71631e-05,3.71631e-05,4.88988e-06,4.88988e-06,0.000185815,0.000185815,0.000371631,0.000371631
9,51800.4,1.11923,1.17879,0.00689,0.73108,0.60861,0.6711,0.49901,1.05207,1.12087,0.00821,3.69096e-05,3.69096e-05,4.85653e-06,4.85653e-06,0.000184548,0.000184548,0.000369096,0.000369096
10,57486.3,1.11865,1.17525,0.00687,0.72334,0.61392,0.67109,0.49895,1.05308,1.12036,0.00821,3.66239e-05,3.66239e-05,4.81894e-06,4.81894e-06,0.00018312,0.00018312,0.000366239,0.000366239
