epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6578.91,1.13456,1.18515,0.00712,0.72172,0.6091,0.66986,0.49896,1.05453,1.12271,0.00823,3.79974e-05,3.79974e-05,4.99966e-06,4.99966e-06,0.000189987,0.000189987,0.000379974,0.000379974
2,12305.3,1.12738,1.19236,0.00699,0.73208,0.60997,0.67085,0.4988,1.05162,1.12096,0.00821,3.79828e-05,3.79828e-05,4.99773e-06,4.99773e-06,0.000189914,0.000189914,0.000379828,0.000379828
3,18030.4,1.12603,1.19028,0.00695,0.72161,0.61531,0.67124,0.49914,1.05182,1.11733,0.00819,3.79312e-05,3.79312e-05,4.99094e-06,4.99094e-06,0.000189656,0.000189656,0.000379312,0.000379312
4,23742.7,1.12407,1.18845,0.00695,0.72083,0.61724,0.67224,0.50046,1.04966,1.11698,0.00816,3.78452e-05,3.78452e-05,4.97964e-06,4.97964e-06,0.000189226,0.000189226,0.000378452,0.000378452
5,29455.9,1.12249,1.18502,0.00693,0.73162,0.60907,0.67144,0.50004,1.05171,1.11676,0.00819,3.77252e-05,3.77252e-05,4.96384e-06,4.96384e-06,0.000188626,0.000188626,0.000377252,0.000377252
6,35189.4,1.12126,1.18433,0.00691,0.72818,0.61331,0.67149,0.49996,1.0521,1.11829,0.00819,3.75713e-05,3.75713e-05,4.94359e-06,4.94359e-06,0.000187856,0.000187856,0.000375713,0.000375713
7,40908.5,1.12191,1.17911,0.00689,0.71618,0.61535,0.67059,0.49981,1.05357,1.11536,0.00821,3.73838e-05,3.73838e-05,4.91892e-06,4.91892e-06,0.000186919,0.000186919,0.000373838,0.000373838
8,46660.1,1.11991,1.18058,0.00692,0.73195,0.60855,0.67131,0.4999,1.05311,1.11883,0.00819,3.71631e-05,3.71631e-05,4.88988e-06,4.88988e-06,0.000185815,0.000185815,0.000371631,0.000371631
9,52392,1.11973,1.17838,0.00689,0.72794,0.60777,0.67041,0.49953,1.05461,1.1186,0.00823,3.69096e-05,3.69096e-05,4.85653e-06,4.85653e-06,0.000184548,0.000184548,0.000369096,0.000369096
10,58131.6,1.11849,1.17571,0.00687,0.72884,0.6066,0.67073,0.49966,1.05383,1.12048,0.00822,3.66239e-05,3.66239e-05,4.81894e-06,4.81894e-06,0.00018312,0.00018312,0.000366239,0.000366239
11,63943.7,1.1169,1.17216,0.00686,0.72145,0.61657,0.67123,0.49957,1.05406,1.12143,0.00821,3.63066e-05,3.63066e-05,4.77718e-06,4.77718e-06,0.000181533,0.000181533,0.000363066,0.000363066
