id,model_id,architecture,stage,train_fraction,kind,status,gate_status,parent_id,uri,sha256,state_dict_sha256
a0:bittrue,a0,baseline-attention,a0,,bittrue-evaluation,evaluation-candidate,immutable,,weights/bittrue/a0.pt,c989aeed09de7663ad093d32d098e5fc889cf04924fa1162efaf886869de0123,9af9ea1c3c4d47d3d18e9ebb609e76758ec40ceea6e6fde648e586b518387663
full35-a2:bittrue,full35-a2,full35,a2,,bittrue-evaluation,evaluation-candidate,retained,,weights/bittrue/full35-a2.pt,5ca57319d3708e5639c4852bac0898038d61ac793a4973015f1b6be8b764582d,7a751010fd1d065da51773d6264debf0c87dbd03f1893452ec8677d0c221bc4a
full35-a2:float-best,full35-a2,full35,a2,,float-best,resume-or-rematerialize,retained,,weights/float/full35-a2.pt,af390ec43cadb5aaac47a22ebf58c710106c3f8dd143fbd2bbcb0eb2b76ebf26,
full35-b-f03:bittrue,full35-b-f03,full35,b,0.3,bittrue-evaluation,evaluation-candidate,rollback,full35-a2,weights/bittrue/full35-b-f03.pt,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,8b1fa6dd1da4005d4af30b19aa9daf20fba4a2409c11a0a4124aa6f831624210
full35-b-f03:float-best,full35-b-f03,full35,b,0.3,float-best,resume-or-rematerialize,rollback,full35-a2,weights/float/full35-b-f03.pt,bae03f4b260a71dbdc47876afbf78f86eb24deeb1e774f41d6c450349402d7f0,
full35-c-f03:bittrue,full35-c-f03,full35,c,0.3,bittrue-evaluation,evaluation-candidate,rollback,full35-a2,weights/bittrue/full35-c-f03.pt,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,c319f824ce752c3003094f93a4e63055dfddf991b98f3d8d2eb4639c4a6f7549
full35-c-f03:float-best,full35-c-f03,full35,c,0.3,float-best,resume-or-rematerialize,rollback,full35-a2,weights/float/full35-c-f03.pt,5e4530dbfaab34d45a18d8a40f82c29897b2666b86254302f596796fd16bb8f0,
full35-b-f10:bittrue,full35-b-f10,full35,b,1.0,bittrue-evaluation,evaluation-candidate,rollback,full35-a2,weights/bittrue/full35-b-f10.pt,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,cd481554faebe52f341a4e8c43f91c104ecddfcdf817092990db4078bba084f9
full35-b-f10:float-best,full35-b-f10,full35,b,1.0,float-best,resume-or-rematerialize,rollback,full35-a2,weights/float/full35-b-f10.pt,81dc8629fc6db2915242ba950c522c249d89ba1aa6d53ab39389c9b5a4ed0047,
full35-c-f10:bittrue,full35-c-f10,full35,c,1.0,bittrue-evaluation,evaluation-candidate,rollback,full35-a2,weights/bittrue/full35-c-f10.pt,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,0a09843d65dcfaac2d0230abae0e7348f565b8260281c8823eddcf36890070b1
full35-c-f10:float-best,full35-c-f10,full35,c,1.0,float-best,resume-or-rematerialize,rollback,full35-a2,weights/float/full35-c-f10.pt,d4190ba525635c5b8d95fb4d95e388021f9466e5149632ed588e031170910502,
partial75-a2:bittrue,partial75-a2,partial75,a2,,bittrue-evaluation,evaluation-candidate,retained,,weights/bittrue/partial75-a2.pt,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,45deefd5d13c895135c40307d93ac92a1014f5eaa9b1299f0eb2445fea60eb80
partial75-a2:float-best,partial75-a2,partial75,a2,,float-best,resume-or-rematerialize,retained,,weights/float/partial75-a2.pt,070b571d1a52b1e7d13acc25d4c77278e38395d975fe6bff5e9bbd1bdc01e568,
partial75-b-f03:bittrue,partial75-b-f03,partial75,b,0.3,bittrue-evaluation,evaluation-candidate,rollback,partial75-a2,weights/bittrue/partial75-b-f03.pt,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,a5c51e256e96f5564ebcb7dab97b1a8427414653d984d0ef0b2e84774e20b4da
partial75-b-f03:float-best,partial75-b-f03,partial75,b,0.3,float-best,resume-or-rematerialize,rollback,partial75-a2,weights/float/partial75-b-f03.pt,f9dddcc7aed2d9cf17927c93577192bb58d9ba84a514d6d51284bb8489f2cb80,
partial75-c-f03:bittrue,partial75-c-f03,partial75,c,0.3,bittrue-evaluation,evaluation-candidate,rollback,partial75-a2,weights/bittrue/partial75-c-f03.pt,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,184db54d52149a1aeea4d5b0cffc82e9d23042841d0d603605112cce9c172f3a
partial75-c-f03:float-best,partial75-c-f03,partial75,c,0.3,float-best,resume-or-rematerialize,rollback,partial75-a2,weights/float/partial75-c-f03.pt,a6e47d546ee239800bac2b6f8b046d5881607da137bfab5eaf95637ae17154d9,
partial75-b-f10:bittrue,partial75-b-f10,partial75,b,1.0,bittrue-evaluation,evaluation-candidate,rollback,partial75-a2,weights/bittrue/partial75-b-f10.pt,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,9ea31021b54506228a013edd7ea47ce761262d66a66eac05054d76b831d90364
partial75-b-f10:float-best,partial75-b-f10,partial75,b,1.0,float-best,resume-or-rematerialize,rollback,partial75-a2,weights/float/partial75-b-f10.pt,f6bc0591ac05d842a491e1c0ea32c4a8aaeda7fc6e6f88a6a2e1df88dc894841,
partial75-c-f10:bittrue,partial75-c-f10,partial75,c,1.0,bittrue-evaluation,evaluation-candidate,rollback,partial75-a2,weights/bittrue/partial75-c-f10.pt,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,5793fdacf579acf8a8fc2b1ac5c697de99d864201995bd647937542ba8af6a6d
