task,candidate,stage,spec_version,spec_sha256,architecture_yaml_sha256,training_yaml_sha256,dataset_yaml_sha256,parent_checkpoint_sha256,checkpoint_sha256,git_revision,seed,physical_batch,best_epoch,stop_reason,research_metric,research_map50_95,official_combined_fitness,params,gflops,latency_ms,peak_cuda_memory_bytes,decision,simulation_only
detect,C0,D1,1.2.0,,,,,,,,0,16,,,,,,,,,,,false
detect,C1,D1,1.2.0,,,,,,,,0,16,,,,,,,,,,,false
detect,C2,D1,1.2.0,,,,,,,,0,16,,,,,,,,,,,false
detect,C3,D1,1.2.0,,,,,,,,0,16,,,,,,,,,,,false
pose,C0,P3,1.2.0,,,,,,,,0,16,,,,,,,,,,,false
pose,C_best,P3,1.2.0,,,,,,,,0,16,,,,,,,,,,,false
detect,C0,Q0,1.2.0,,,,,,,,0,16,,,,,,,,,,,true
detect,C0,Q1,1.2.0,,,,,,,,0,16,,,,,,,,,,,true
detect,C0,Q2,1.2.0,,,,,,,,0,16,,,,,,,,,,,true
detect,C_best,Q0,1.2.0,,,,,,,,0,16,,,,,,,,,,,true
detect,C_best,Q1,1.2.0,,,,,,,,0,16,,,,,,,,,,,true
detect,C_best,Q2,1.2.0,,,,,,,,0,16,,,,,,,,,,,true
