index,centered_score,uq1_15_integer,uq1_15_hex,decoded_weight
0,-10.0,1,0x0001,3.0517578125e-05
1,-9.5,2,0x0002,6.103515625e-05
2,-9.0,4,0x0004,0.0001220703125
3,-8.5,7,0x0007,0.000213623046875
4,-8.0,11,0x000B,0.000335693359375
5,-7.5,18,0x0012,0.00054931640625
6,-7.0,30,0x001E,0.00091552734375
7,-6.5,49,0x0031,0.001495361328125
8,-6.0,81,0x0051,0.002471923828125
9,-5.5,134,0x0086,0.00408935546875
10,-5.0,221,0x00DD,0.006744384765625
11,-4.5,364,0x016C,0.0111083984375
12,-4.0,600,0x0258,0.018310546875
13,-3.5,990,0x03DE,0.03021240234375
14,-3.0,1631,0x065F,0.049774169921875
15,-2.5,2690,0x0A82,0.08209228515625
16,-2.0,4435,0x1153,0.135345458984375
17,-1.5,7312,0x1C90,0.22314453125
18,-1.0,12055,0x2F17,0.367889404296875
19,-0.5,19875,0x4DA3,0.606536865234375
20,0.0,32768,0x8000,1.0
