epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,960.895,1.08191,1.07835,0.007,0.70087,0.60562,0.65677,0.4835,1.09167,1.18645,0.00843,1.66644e-05,1.66644e-05,0.0666878
2,1877.72,1.08099,1.07532,0.00701,0.70497,0.6042,0.65561,0.48244,1.09338,1.18824,0.00845,3.00313e-05,3.00313e-05,0.0333679
3,2778.32,1.08203,1.07635,0.007,0.70675,0.60305,0.6565,0.48286,1.09273,1.18662,0.00845,4.00982e-05,4.00982e-05,4.4607e-05
4,3676.82,1.08146,1.07562,0.00701,0.70311,0.60625,0.65616,0.48268,1.09329,1.18704,0.00846,3.515e-05,3.515e-05,3.515e-05
5,4569.51,1.0838,1.0762,0.00701,0.70359,0.60562,0.65635,0.48271,1.09365,1.18727,0.00846,3.02e-05,3.02e-05,3.02e-05
6,5466,1.08104,1.07598,0.00701,0.70524,0.60591,0.65611,0.48293,1.09383,1.18694,0.00846,2.525e-05,2.525e-05,2.525e-05
7,6367.35,1.08245,1.07606,0.00703,0.70015,0.60829,0.65613,0.48294,1.09346,1.18692,0.00846,2.03e-05,2.03e-05,2.03e-05
8,7263.1,1.08134,1.07477,0.00703,0.70493,0.60468,0.65623,0.4827,1.0936,1.1872,0.00846,1.535e-05,1.535e-05,1.535e-05
9,8177.4,1.08174,1.07693,0.00703,0.70216,0.60702,0.65622,0.48294,1.09359,1.1868,0.00846,1.04e-05,1.04e-05,1.04e-05
10,9084.03,1.08094,1.07532,0.00701,0.70359,0.60569,0.65618,0.48247,1.09359,1.18674,0.00846,5.45e-06,5.45e-06,5.45e-06
