epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,758.027,1.10174,1.11375,0.00765,0.70507,0.59668,0.65017,0.47403,1.10755,1.21733,0.00897,1.66644e-05,1.66644e-05,0.0666878
2,1481.78,1.10086,1.10973,0.00766,0.70862,0.59398,0.64927,0.47333,1.11014,1.21684,0.00902,3.00313e-05,3.00313e-05,0.0333679
3,2193.67,1.10106,1.11126,0.00762,0.70971,0.59491,0.65048,0.47433,1.10905,1.21467,0.009,4.00982e-05,4.00982e-05,4.4607e-05
4,2898.28,1.09998,1.10912,0.00762,0.70841,0.59474,0.65006,0.47415,1.10849,1.21527,0.00899,3.515e-05,3.515e-05,3.515e-05
5,3604.8,1.10156,1.10884,0.0076,0.70767,0.59599,0.65013,0.47399,1.1086,1.2146,0.00898,3.02e-05,3.02e-05,3.02e-05
6,4310.92,1.09899,1.10731,0.0076,0.70732,0.59652,0.65015,0.4742,1.10813,1.21402,0.00897,2.525e-05,2.525e-05,2.525e-05
7,5017.35,1.09963,1.10647,0.0076,0.70744,0.59676,0.65047,0.47462,1.10784,1.21267,0.00896,2.03e-05,2.03e-05,2.03e-05
8,5723.83,1.09838,1.10472,0.00759,0.70814,0.59652,0.65067,0.47457,1.10726,1.21333,0.00896,1.535e-05,1.535e-05,1.535e-05
9,6430.37,1.09871,1.10641,0.00759,0.70868,0.59659,0.65074,0.47463,1.10741,1.21295,0.00896,1.04e-05,1.04e-05,1.04e-05
10,7136.45,1.09758,1.10438,0.00757,0.70784,0.59777,0.6509,0.4747,1.10692,1.21369,0.00895,5.45e-06,5.45e-06,5.45e-06
