epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,636.323,1.122,1.19747,0.00775,0.7163,0.5868,0.65637,0.48428,1.08954,1.16812,0.00862,1.66644e-05,1.66644e-05,0.0666878
2,1235.41,1.08924,1.09788,0.00717,0.70153,0.61332,0.66431,0.4909,1.07965,1.15823,0.00843,3.00313e-05,3.00313e-05,0.0333679
3,1829.44,1.08283,1.08316,0.00704,0.71061,0.61346,0.66804,0.49412,1.07971,1.15432,0.00843,4.00982e-05,4.00982e-05,4.4607e-05
4,2415.79,1.0806,1.07781,0.00701,0.70544,0.61424,0.66703,0.49439,1.07863,1.14885,0.00841,3.515e-05,3.515e-05,3.515e-05
5,3001.03,1.08172,1.07597,0.00699,0.7054,0.61769,0.66844,0.49532,1.07753,1.14831,0.00839,3.02e-05,3.02e-05,3.02e-05
6,3583.84,1.07923,1.07472,0.007,0.69974,0.61847,0.6681,0.49516,1.07702,1.14721,0.00836,2.525e-05,2.525e-05,2.525e-05
7,4168.61,1.07946,1.07357,0.00698,0.70638,0.61469,0.66795,0.49493,1.07694,1.14719,0.00837,2.03e-05,2.03e-05,2.03e-05
8,4757.22,1.0776,1.0716,0.00696,0.70866,0.61536,0.6678,0.49431,1.07639,1.14874,0.00838,1.535e-05,1.535e-05,1.535e-05
9,5344.91,1.07899,1.07297,0.00698,0.70763,0.61357,0.66825,0.49528,1.07711,1.1475,0.00841,1.04e-05,1.04e-05,1.04e-05
10,5927.24,1.07727,1.07236,0.00696,0.70851,0.61617,0.6684,0.49539,1.07637,1.14781,0.00839,5.45e-06,5.45e-06,5.45e-06
