epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,561.404,1.12355,1.20599,0.00778,0.69989,0.58438,0.64586,0.47729,1.09399,1.19464,0.00876,1.66644e-05,1.66644e-05,0.0666878
2,1069.84,1.09002,1.1067,0.00718,0.7033,0.60751,0.66483,0.49053,1.08218,1.15633,0.0085,3.00313e-05,3.00313e-05,0.0333679
3,1561.46,1.08438,1.0935,0.00705,0.72067,0.60315,0.66557,0.49221,1.08104,1.15625,0.00845,4.00982e-05,4.00982e-05,4.4607e-05
4,2051.68,1.08301,1.09252,0.00705,0.70931,0.60761,0.66571,0.49157,1.08019,1.15549,0.00847,3.515e-05,3.515e-05,3.515e-05
5,2539.81,1.0853,1.09163,0.00705,0.70111,0.61635,0.66635,0.49224,1.07781,1.15504,0.00843,3.02e-05,3.02e-05,3.02e-05
6,3029.98,1.08242,1.09074,0.00705,0.71272,0.60639,0.66591,0.49257,1.07754,1.15399,0.00841,2.525e-05,2.525e-05,2.525e-05
7,3524.49,1.08319,1.08857,0.00706,0.716,0.60598,0.66659,0.49295,1.07875,1.15283,0.00843,2.03e-05,2.03e-05,2.03e-05
8,4016.09,1.08169,1.08602,0.00706,0.71566,0.60653,0.66539,0.4924,1.07729,1.15402,0.00839,1.535e-05,1.535e-05,1.535e-05
9,4505.31,1.08215,1.08596,0.00706,0.71518,0.60634,0.66569,0.49245,1.07685,1.15448,0.00839,1.04e-05,1.04e-05,1.04e-05
10,4995.21,1.08058,1.08366,0.00703,0.71481,0.60721,0.66605,0.49242,1.07719,1.15244,0.00839,5.45e-06,5.45e-06,5.45e-06
