epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,629.893,1.12778,1.21751,0.00787,0.69553,0.59058,0.64937,0.47668,1.10053,1.20275,0.00886,1.66644e-05,1.66644e-05,0.0666878
2,1231.83,1.0973,1.11967,0.00733,0.70624,0.60131,0.66146,0.48669,1.08874,1.16697,0.00858,3.00313e-05,3.00313e-05,0.0333679
3,1821.66,1.08854,1.09729,0.00714,0.71615,0.60084,0.66454,0.4909,1.08391,1.16092,0.00848,4.00982e-05,4.00982e-05,4.4607e-05
4,2399.09,1.08472,1.08592,0.00708,0.71969,0.60265,0.66445,0.49095,1.08168,1.15557,0.00848,3.515e-05,3.515e-05,3.515e-05
5,2977.27,1.0852,1.082,0.00704,0.72144,0.59849,0.66452,0.49133,1.08147,1.15563,0.00849,3.02e-05,3.02e-05,3.02e-05
6,3554.73,1.08072,1.07857,0.00701,0.71894,0.60036,0.66482,0.492,1.08077,1.15299,0.00847,2.525e-05,2.525e-05,2.525e-05
7,4132.3,1.08156,1.07602,0.00702,0.72561,0.60182,0.66639,0.49239,1.08088,1.15233,0.00845,2.03e-05,2.03e-05,2.03e-05
8,4710.1,1.0798,1.074,0.00701,0.72412,0.6013,0.66585,0.49265,1.0804,1.15213,0.00845,1.535e-05,1.535e-05,1.535e-05
9,5287.94,1.08086,1.07345,0.00701,0.72107,0.60477,0.6664,0.49294,1.08014,1.15245,0.00845,1.04e-05,1.04e-05,1.04e-05
10,5866.07,1.07874,1.07162,0.00698,0.72205,0.6012,0.66615,0.49289,1.07934,1.15236,0.00842,5.45e-06,5.45e-06,5.45e-06
