epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,981.071,1.28599,1.61512,0.00779,0.62749,0.48561,0.52854,0.37834,1.20049,1.55341,0.00996,1.66644e-05,1.66644e-05,0.0666878
2,1907.45,1.19533,1.4223,0.00684,0.69834,0.58771,0.64387,0.47358,1.10461,1.20514,0.00867,3.25061e-05,3.25061e-05,0.0333703
3,2821.25,1.15479,1.33082,0.00643,0.7104,0.59408,0.65568,0.48449,1.08817,1.17338,0.00846,4.75229e-05,4.75229e-05,5.20316e-05
4,3730.25,1.13623,1.28971,0.00625,0.69805,0.60746,0.66112,0.48976,1.08132,1.16113,0.0083,4.62875e-05,4.62875e-05,4.62875e-05
5,4638.83,1.13199,1.27569,0.00622,0.71368,0.60746,0.66507,0.49263,1.07807,1.15095,0.00823,4.505e-05,4.505e-05,4.505e-05
6,5548.6,1.12819,1.26515,0.00617,0.70551,0.61225,0.66764,0.49618,1.07513,1.14362,0.0082,4.38125e-05,4.38125e-05,4.38125e-05
7,6456.32,1.12722,1.25399,0.00615,0.71837,0.60779,0.67039,0.49807,1.07455,1.13718,0.00816,4.2575e-05,4.2575e-05,4.2575e-05
8,7364,1.12361,1.24685,0.00612,0.72401,0.60692,0.67082,0.49914,1.07081,1.13474,0.00811,4.13375e-05,4.13375e-05,4.13375e-05
9,8273.07,1.12111,1.2392,0.00609,0.72175,0.60855,0.67181,0.50064,1.07037,1.12975,0.00811,4.01e-05,4.01e-05,4.01e-05
10,9182.1,1.11775,1.22786,0.00606,0.73197,0.60663,0.67485,0.50266,1.06924,1.12826,0.00811,3.88625e-05,3.88625e-05,3.88625e-05
11,10092.3,1.11565,1.22275,0.00604,0.73011,0.61051,0.6751,0.504,1.06925,1.12606,0.0081,3.7625e-05,3.7625e-05,3.7625e-05
12,11003.9,1.11283,1.21214,0.00603,0.71978,0.61804,0.67637,0.5049,1.06923,1.1229,0.0081,3.63875e-05,3.63875e-05,3.63875e-05
13,11916.1,1.11103,1.20553,0.00599,0.72198,0.61868,0.67723,0.50569,1.06842,1.11972,0.00809,3.515e-05,3.515e-05,3.515e-05
14,12822.7,1.10849,1.19931,0.00595,0.72314,0.6173,0.67687,0.50525,1.06743,1.11862,0.00808,3.39125e-05,3.39125e-05,3.39125e-05
15,13729.3,1.10887,1.19342,0.00594,0.71557,0.61979,0.67664,0.50548,1.06503,1.12022,0.00806,3.2675e-05,3.2675e-05,3.2675e-05
16,14638.4,1.10376,1.18569,0.0059,0.71851,0.61725,0.6772,0.50595,1.06469,1.12049,0.00804,3.14375e-05,3.14375e-05,3.14375e-05
17,15547.3,1.10409,1.1803,0.00587,0.71667,0.61925,0.67643,0.5054,1.06479,1.11891,0.00802,3.02e-05,3.02e-05,3.02e-05
18,16453.6,1.09958,1.17479,0.00587,0.72447,0.61467,0.67713,0.50603,1.06554,1.11751,0.00803,2.89625e-05,2.89625e-05,2.89625e-05
19,17361.1,1.09808,1.16882,0.00584,0.72251,0.61897,0.67713,0.50651,1.06544,1.11771,0.00803,2.7725e-05,2.7725e-05,2.7725e-05
20,18268.9,1.09678,1.16175,0.00582,0.7264,0.61516,0.67787,0.50726,1.06453,1.11769,0.00801,2.64875e-05,2.64875e-05,2.64875e-05
21,19177.2,1.09469,1.1574,0.00581,0.72581,0.61744,0.67842,0.50754,1.06415,1.11697,0.008,2.525e-05,2.525e-05,2.525e-05
22,20087.4,1.09083,1.15305,0.00579,0.7245,0.61797,0.67812,0.50716,1.06399,1.11795,0.00799,2.40125e-05,2.40125e-05,2.40125e-05
23,20995.2,1.08902,1.14496,0.00576,0.7276,0.61633,0.67839,0.50719,1.06452,1.11786,0.008,2.2775e-05,2.2775e-05,2.2775e-05
24,21904.7,1.08739,1.13799,0.00574,0.73237,0.61163,0.67852,0.50732,1.06399,1.11828,0.008,2.15375e-05,2.15375e-05,2.15375e-05
25,22812.2,1.08568,1.13372,0.00572,0.7336,0.61061,0.67796,0.50696,1.06378,1.11805,0.00799,2.03e-05,2.03e-05,2.03e-05
26,23719.2,1.08173,1.1291,0.00572,0.72492,0.61687,0.67791,0.50742,1.06357,1.11734,0.008,1.90625e-05,1.90625e-05,1.90625e-05
