epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,978.84,1.26606,1.51725,0.00744,0.6509,0.5134,0.56601,0.40502,1.17902,1.43062,0.00953,1.66644e-05,1.66644e-05,0.0666878
2,1915.48,1.17874,1.34139,0.00656,0.69071,0.60651,0.65813,0.48674,1.08889,1.17198,0.00834,3.25061e-05,3.25061e-05,0.0333703
3,2838.96,1.13925,1.25661,0.00616,0.71792,0.60603,0.67037,0.49839,1.07491,1.13578,0.00823,4.75229e-05,4.75229e-05,5.20316e-05
4,3757.24,1.12115,1.22114,0.006,0.73278,0.60321,0.67149,0.49984,1.07577,1.126,0.00822,4.62875e-05,4.62875e-05,4.62875e-05
5,4672.58,1.11832,1.20882,0.00599,0.72758,0.60584,0.67411,0.50225,1.07294,1.12614,0.00818,4.505e-05,4.505e-05,4.505e-05
6,5590.9,1.11604,1.1989,0.00596,0.7245,0.60991,0.67448,0.50326,1.07074,1.12328,0.00818,4.38125e-05,4.38125e-05,4.38125e-05
7,6508.53,1.11502,1.19403,0.00594,0.71526,0.61569,0.67413,0.50258,1.07077,1.12448,0.00819,4.2575e-05,4.2575e-05,4.2575e-05
8,7425.03,1.11313,1.18959,0.00593,0.72188,0.61011,0.67263,0.50176,1.06906,1.13117,0.00816,4.13375e-05,4.13375e-05,4.13375e-05
9,8340.96,1.11108,1.1845,0.00591,0.71431,0.61192,0.67058,0.50009,1.07091,1.13521,0.0082,4.01e-05,4.01e-05,4.01e-05
10,9258.56,1.10869,1.18042,0.00591,0.71107,0.60904,0.66761,0.49729,1.07136,1.1463,0.00822,3.88625e-05,3.88625e-05,3.88625e-05
11,10174.7,1.10914,1.18475,0.00594,0.70425,0.60652,0.66426,0.49378,1.07279,1.15579,0.00827,3.7625e-05,3.7625e-05,3.7625e-05
