run,method,map50_95,arithmetic_cost_proxy,estimated_memory_traffic,binary_word_ops,fp_qk_mac,hadamard_add_sub,normalization_ops,t5_fusion_ops,value_path_ops
n0-exact,Exact Softmax,0.506657624,91910400,2764800,2560000,0,1024000,6406400,0,81920000
n0-lut,LUT,0.506700321,88070400,2764800,2560000,0,1024000,2566400,0,81920000
n0-pwl,Piecewise linear,0.506771552,89350400,2764800,2560000,0,1024000,3846400,0,81920000
n0-shift,Power-of-two zero-train,0.506746446,86790400,2764800,2560000,0,1024000,1286400,0,81920000
n0-hsig,Hard sigmoid approximation,0.505871589,88070400,2764800,2560000,0,1024000,2566400,0,81920000
n0-relu,ReLU normalization,0.494963716,86790400,2764800,2560000,0,1024000,1286400,0,81920000
n0-mk1,Multimax Top-1,0.486970006,88070400,2764800,2560000,0,1024000,2566400,0,81920000
n0-mk3,Multimax Top-3,0.493864375,88070400,2764800,2560000,0,1024000,2566400,0,81920000
n0-mk5,Multimax Top-5,0.494888289,88070400,2764800,2560000,0,1024000,2566400,0,81920000
r0-div,Exact reciprocal,0.500087547,90092800,4556800,2560000,0,1024000,4588800,0,81920000
r1-rlut,Reciprocal LUT,0.499812061,90070400,4556800,2560000,0,1024000,4566400,0,81920000
r2-pshift,Nearest-PoT denominator,0.004872126,90064000,4556800,2560000,0,1024000,4560000,0,81920000
