variant,stage,mAP50_95,coco_mAP50_95,mAPs,mAPm,mAPl,archived_weight,source_run,source_weight,model_yaml,config_hash,sha256,size_bytes,storage_mode,strict_reload_verified,verification_mode,checkpoint_weight_source,metrics_weight_source,epochs,trainable_scope
E0,validation,0.5048069544762941,0.510850334214168,0.3336263419692121,0.5664419010752192,0.6695556482447133,artifacts/final_weights/E0/weight.pt,artifacts/runs/E0/validation/8f9a4df0-113e-45f0-84e8-d85f6ee3335f,artifacts/runs/E0/validation/8f9a4df0-113e-45f0-84e8-d85f6ee3335f/checkpoints/strict-validation.pt,artifacts/final_weights/E0/model.yaml,7450d39349ea67a3079218cbdcddfb465952ef1907aa0263f32470574e9cbc17,e5f59dc0f988ea90ce50358ac40a8db367974fb3720ccd093c76370b7f960345,80868355,hardlink,True,legacy_schema2_strict_state_dict_reload,,,0,
E1-S,validation,0.45070248673578833,0.4592965400249649,0.2832132818847663,0.5037298241446655,0.6201403516854299,artifacts/final_weights/E1-S/weight.pt,artifacts/runs/E1-S/validation/b72b0628-a567-4baf-92f4-1e66a8ada2ac,artifacts/runs/E1-S/validation/b72b0628-a567-4baf-92f4-1e66a8ada2ac/checkpoints/strict-validation.pt,artifacts/final_weights/E1-S/model.yaml,f218837ec904f280034d76bad425c5ee8d793354b9683c3b972d02f883aa6950,57aab0a136b291a45fbcdb904752587cbbb8d40c7d264133c688c37579505cd2,80869667,hardlink,True,legacy_schema2_strict_state_dict_reload,,,0,
E1,validation,0.48121393727721495,0.48056105904621166,0.298182756827083,0.5322253046188234,0.6412899955447279,artifacts/final_weights/E1/weight.pt,artifacts/runs/E1/validation/66af3304-0c44-4347-97db-07cfbf9cc248,artifacts/runs/E1/validation/66af3304-0c44-4347-97db-07cfbf9cc248/checkpoints/strict-validation.pt,artifacts/final_weights/E1/model.yaml,402425cb8179e36e6e7b25eeb2b6f6664c0b82bbf4f6db97f6e95d49aa698d11,f42b6bf173ddeef5ccc51e0ce4d1527c2d60011c62b373ef4b296f17fbe38d5c,80869667,hardlink,True,legacy_schema2_strict_state_dict_reload,,,0,
E2-DUAL,validation,0.4871000483801535,0.49564519078282854,0.3140490751395591,0.5480286054393357,0.6519120044082246,artifacts/final_weights/E2-DUAL/weight.pt,artifacts/runs/E2-DUAL/validation/67c392ae-4c58-49ed-aa9a-8f922757b28c,artifacts/runs/E2-DUAL/validation/67c392ae-4c58-49ed-aa9a-8f922757b28c/checkpoints/strict-validation.pt,artifacts/final_weights/E2-DUAL/model.yaml,a525d230d65951414b833dc0b8df42e487a44e0c5b209b46adc8cbc1420b4c3e,d3965671dbade20ec490c93b51c0d5cb337ec51bde51549eef3b4a3860f39433,80873291,hardlink,True,legacy_schema2_strict_state_dict_reload,,,0,none
T0,full,0.50672,0.5126706001859774,0.33101947461760745,0.5653244369067247,0.6732951842831945,artifacts/final_weights/T0/weight.pt,artifacts/runs/T0/full/ebba4065-47f7-4eee-9ac4-0a324e8eee5c,artifacts/runs/T0/full/ebba4065-47f7-4eee-9ac4-0a324e8eee5c/checkpoints/strict-last.pt,artifacts/final_weights/T0/model.yaml,217e1156e2e22c1f9d96e5adab974e2e5adf02a3647c5e9c1d1456c320121a4e,f8cff6e352ab6a91b81b5d046fc89857d54e144561b7eff5e2c004a446a41a20,80864617,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T1,full,0.50188,0.507893221695251,0.3307358115514844,0.5595173937743365,0.6685295149437144,artifacts/final_weights/T1/weight.pt,artifacts/runs/T1/full/0721d713-d2d3-4952-bf55-62539b18b0ce,artifacts/runs/T1/full/0721d713-d2d3-4952-bf55-62539b18b0ce/checkpoints/strict-last.pt,artifacts/final_weights/T1/model.yaml,be9b62613a9341cc51dd8352dc3af7e1353414f413660b2123c7145f11803940,40f459d536182d6e2952f7e430c2384d15c2fbeef182604d5ff6339d97306f06,80874993,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T2,full,0.50346,0.5095113365809676,0.3320121727113555,0.5631109296186375,0.6699683237088675,artifacts/final_weights/T2/weight.pt,artifacts/runs/T2/full/70046bd9-3c19-40d9-921f-65acfa90a316,artifacts/runs/T2/full/70046bd9-3c19-40d9-921f-65acfa90a316/checkpoints/strict-last.pt,artifacts/final_weights/T2/model.yaml,ed7a5b51d8e62db06315774b14190551896596eecca3e952dc6954f528aaec08,3b1964380074ee5fc8f706293f82fa827da07bb6879c4af2da558cd43b894d48,80875057,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T3,full,0.50211,0.5079751733668936,0.3285037149653876,0.5598841695084313,0.668047215156748,artifacts/final_weights/T3/weight.pt,artifacts/runs/T3/full/bec8aa0e-78c6-43e0-8553-15037233c42d,artifacts/runs/T3/full/bec8aa0e-78c6-43e0-8553-15037233c42d/checkpoints/strict-last.pt,artifacts/final_weights/T3/model.yaml,9a95c24f2a195beb1a90be662e10a570706a81c616323025a774b914c491c88c,9bc2eea0bc67da5b03b526479348e584fae56274bc94b059bc6f1ca7ee1ab8b7,80878715,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T4,full,0.50586,0.5116308003527831,0.3310349051104756,0.5651071569376409,0.671337677628992,artifacts/final_weights/T4/weight.pt,artifacts/runs/T4/full/1777852c-436a-4aed-93f4-7193708dbfff,artifacts/runs/T4/full/1777852c-436a-4aed-93f4-7193708dbfff/checkpoints/strict-last.pt,artifacts/final_weights/T4/model.yaml,f7a72545e1fb49f221baadc26a27a70ed4e0ab1df2da35579d258b2855c8f6a5,e09ff0d1aed7479f6cbe6b922537377fb5d699ec0267c38c1b1517b77f93c970,80878715,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T5,full,0.50447,0.5100713936805696,0.32887670335635244,0.563768740094151,0.6679276909053743,artifacts/final_weights/T5/weight.pt,artifacts/runs/T5/full/71f17f1c-b7f8-4ba6-89f4-685167cb8b8a,artifacts/runs/T5/full/71f17f1c-b7f8-4ba6-89f4-685167cb8b8a/checkpoints/strict-last.pt,artifacts/final_weights/T5/model.yaml,234d10312d085931b3132df6dd273fa552207abe9756a9343b0c67f8e2060985,5990b765f65fc3028970c86e627f4824f928d22ad93a9ca3092ed6da93b3f0d5,80878715,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T6-O,full,0.5057,0.5113138419968082,0.3307638651551039,0.5648111375030683,0.670157298954889,artifacts/final_weights/T6-O/weight.pt,artifacts/runs/T6-O/full/c1694771-29ac-4d11-9c4c-b2143a457dd8,artifacts/runs/T6-O/full/c1694771-29ac-4d11-9c4c-b2143a457dd8/checkpoints/strict-last.pt,artifacts/final_weights/T6-O/model.yaml,96ba02a697642c3414bbe97237d10797fa40b017c82a852c8ad6b87ea2ddfcbc,2af313905e152310fc25f5d6ba80475ff6a8a9982c301e4be5afc743c19dc291,80878779,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T6-F,full,0.50547,0.5113938535778384,0.3301999706278611,0.5648126287146626,0.6694610473510578,artifacts/final_weights/T6-F/weight.pt,artifacts/runs/T6-F/full/a5d75086-f303-40ac-bed0-81864e42d4dc,artifacts/runs/T6-F/full/a5d75086-f303-40ac-bed0-81864e42d4dc/checkpoints/strict-last.pt,artifacts/final_weights/T6-F/model.yaml,408e3cb1e9ea50918b08039d0d2454cbcf7fb9f4148e98005ca6ec0faae14f5e,a7a62ca2c02173630032bf751138557ddb655ae594a0705cbda18614983f00fb,80878779,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T6-A,full,0.50539,0.5115138590997902,0.33251775258957184,0.5633634197252706,0.6684300713776422,artifacts/final_weights/T6-A/weight.pt,artifacts/runs/T6-A/full/1d979f3d-a4f0-4bc4-8c5f-697a7f4107d2,artifacts/runs/T6-A/full/1d979f3d-a4f0-4bc4-8c5f-697a7f4107d2/checkpoints/strict-last.pt,artifacts/final_weights/T6-A/model.yaml,079f6d08df28e2ce88c751a2ca965e5b7254efc0cde340771f6179bea984b5cd,284a8636bfe39f6dbeb6929c75a0af9b8a1407c738def4c1f3f48a3203cb94fa,80878779,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T6-O/F,full,0.50624,0.5117563675543679,0.33126252767721415,0.5644487640303936,0.671058979440228,artifacts/final_weights/T6-O-F/weight.pt,artifacts/runs/T6-O-F/full/b3ac13f4-5f8b-4319-b548-13fa1499260a,artifacts/runs/T6-O-F/full/b3ac13f4-5f8b-4319-b548-13fa1499260a/checkpoints/strict-last.pt,artifacts/final_weights/T6-O-F/model.yaml,5cd67df67ed177917c88bcb0609eda5732c691f97083d3dd48c1b76b28d87c83,b3d3d684171fff48be7a1a2355559e268844655bfde815a2d1af91c13f7ba11c,80878779,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T6-O/A,full,0.50549,0.5114617026285858,0.3325094266150388,0.5630769966852388,0.6691113443513907,artifacts/final_weights/T6-O-A/weight.pt,artifacts/runs/T6-O-A/full/13c0b1a4-2669-4533-9d3e-7867124dbf8d,artifacts/runs/T6-O-A/full/13c0b1a4-2669-4533-9d3e-7867124dbf8d/checkpoints/strict-last.pt,artifacts/final_weights/T6-O-A/model.yaml,6e532d3286bd758ff6ddcd604cdd1067a53c3be3d0f696f8c93f79d61f787736,3a24eae6a84e53de2ffe84786457de65770f6bb18c3efbcbd46765fbe5037233,80878779,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
T6-F/A,full,0.50563,0.5118404549080353,0.3337836040922652,0.5627496059540011,0.670613263108323,artifacts/final_weights/T6-F-A/weight.pt,artifacts/runs/T6-F-A/full/0306c018-041f-4327-a4cd-c8bae1c7e68e,artifacts/runs/T6-F-A/full/0306c018-041f-4327-a4cd-c8bae1c7e68e/checkpoints/strict-last.pt,artifacts/final_weights/T6-F-A/model.yaml,8db41a1b4b89d504a6eb3638fd880c85a684d0e92c66f05a5cfa2138491382bf,e32f48b7a83cfceaf1b41896a413b70d10e5320e23d8cbebca74da6badbb8423,80878779,hardlink,True,schema3_strict_reload,epoch_ema,epoch_ema,10,attention_only
