epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1170.22,0.89968,0.7746,1.07074,0.73108,0.61695,0.6718,0.50342,0.90694,0.88225,1.04536,5e-05,5e-05,5e-05
2,2306.11,0.89643,0.77055,1.06534,0.72799,0.61556,0.67143,0.50325,0.9084,0.88133,1.04636,4.88988e-05,4.88988e-05,4.88988e-05
3,3442.1,0.8946,0.76899,1.06415,0.71905,0.62272,0.67124,0.50314,0.90772,0.88264,1.04609,4.57029e-05,4.57029e-05,4.57029e-05
4,4591.15,0.89331,0.76727,1.06061,0.73394,0.61336,0.6715,0.50381,0.90761,0.88174,1.04653,4.07252e-05,4.07252e-05,4.07252e-05
5,5724.94,0.89119,0.7661,1.05976,0.72551,0.61834,0.67178,0.50339,0.90706,0.88024,1.04555,3.44529e-05,3.44529e-05,3.44529e-05
6,6862.7,0.89234,0.76688,1.05952,0.73187,0.61162,0.67174,0.50364,0.90695,0.87974,1.04536,2.75e-05,2.75e-05,2.75e-05
7,8000.82,0.89086,0.76495,1.05846,0.72717,0.6155,0.67169,0.50435,0.90694,0.87996,1.04596,2.05471e-05,2.05471e-05,2.05471e-05
8,9136.42,0.89152,0.76522,1.05888,0.72508,0.61767,0.6719,0.50417,0.90663,0.87896,1.04544,1.42748e-05,1.42748e-05,1.42748e-05
9,10271.5,0.88992,0.76339,1.05849,0.72168,0.6203,0.67167,0.50395,0.90642,0.87873,1.04517,9.29712e-06,9.29712e-06,9.29712e-06
10,11408.7,0.88992,0.76459,1.05818,0.72633,0.61812,0.67142,0.50384,0.90648,0.87886,1.04532,6.10123e-06,6.10123e-06,6.10123e-06
