epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1170.7,0.89964,0.7746,1.07072,0.72486,0.62346,0.67297,0.50415,0.90769,0.88218,1.04615,5e-05,5e-05,5e-05
2,2304.83,0.89617,0.77053,1.06511,0.72461,0.6198,0.67171,0.50366,0.90722,0.88079,1.04566,4.88988e-05,4.88988e-05,4.88988e-05
3,3443.33,0.8943,0.76889,1.06396,0.72727,0.61456,0.6721,0.50441,0.9074,0.88097,1.04591,4.57029e-05,4.57029e-05,4.57029e-05
4,4591.18,0.89352,0.76712,1.06071,0.72434,0.61761,0.67218,0.50404,0.90768,0.88113,1.04663,4.07252e-05,4.07252e-05,4.07252e-05
5,5724.44,0.89126,0.76622,1.05967,0.72492,0.6169,0.67241,0.50447,0.90711,0.8802,1.04569,3.44529e-05,3.44529e-05,3.44529e-05
6,6861.32,0.89243,0.76692,1.05957,0.71748,0.62445,0.67192,0.50373,0.90651,0.8803,1.04519,2.75e-05,2.75e-05,2.75e-05
7,7995.68,0.89073,0.76529,1.05829,0.71742,0.62587,0.67236,0.50366,0.90672,0.88053,1.04531,2.05471e-05,2.05471e-05,2.05471e-05
8,9131.42,0.89166,0.76536,1.05891,0.72092,0.62378,0.67195,0.50382,0.90685,0.88012,1.04513,1.42748e-05,1.42748e-05,1.42748e-05
9,10267.2,0.88994,0.76325,1.05855,0.71824,0.6252,0.67201,0.50428,0.90628,0.87964,1.04512,9.29712e-06,9.29712e-06,9.29712e-06
10,11423.5,0.88993,0.7644,1.05825,0.72175,0.62094,0.67187,0.50406,0.90659,0.88001,1.04523,6.10123e-06,6.10123e-06,6.10123e-06
