epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1172.67,0.89953,0.77481,1.07063,0.72181,0.62242,0.67161,0.50337,0.90678,0.88209,1.04547,5e-05,5e-05,5e-05
2,2310.47,0.8962,0.77059,1.06503,0.7318,0.61293,0.67132,0.50288,0.90779,0.88006,1.04612,4.88988e-05,4.88988e-05,4.88988e-05
3,3445.24,0.89435,0.76882,1.06389,0.7197,0.62255,0.67247,0.50373,0.90717,0.88133,1.04619,4.57029e-05,4.57029e-05,4.57029e-05
4,4592.93,0.89351,0.76716,1.06076,0.72961,0.61746,0.67231,0.50337,0.90732,0.88164,1.04565,4.07252e-05,4.07252e-05,4.07252e-05
5,5727.33,0.89124,0.7664,1.05976,0.73069,0.61649,0.67231,0.50364,0.90667,0.87969,1.0451,3.44529e-05,3.44529e-05,3.44529e-05
6,6866.92,0.8924,0.76705,1.05959,0.72076,0.62477,0.67223,0.50382,0.90695,0.87993,1.04534,2.75e-05,2.75e-05,2.75e-05
7,8035.22,0.89075,0.76497,1.05847,0.71939,0.62556,0.67196,0.50339,0.90733,0.88083,1.04574,2.05471e-05,2.05471e-05,2.05471e-05
8,9194.66,0.8915,0.76515,1.05883,0.71623,0.62676,0.67238,0.50375,0.90681,0.88028,1.04513,1.42748e-05,1.42748e-05,1.42748e-05
9,10361.2,0.88999,0.76348,1.05862,0.72099,0.62199,0.67214,0.50391,0.90646,0.88065,1.04502,9.29712e-06,9.29712e-06,9.29712e-06
10,11499.2,0.88996,0.76462,1.05825,0.71635,0.62523,0.67192,0.50374,0.90698,0.88079,1.04551,6.10123e-06,6.10123e-06,6.10123e-06
