epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1184.71,0.89965,0.77535,1.07085,0.73611,0.61744,0.67205,0.50366,0.90685,0.88198,1.04508,5e-05,5e-05,5e-05
2,2322.45,0.89632,0.77072,1.06522,0.72294,0.61794,0.6721,0.50364,0.90744,0.87991,1.04569,4.88988e-05,4.88988e-05,4.88988e-05
3,3456.88,0.89449,0.76909,1.06416,0.72511,0.62124,0.67197,0.5034,0.90768,0.88154,1.04588,4.57029e-05,4.57029e-05,4.57029e-05
4,4607.84,0.89347,0.76727,1.06091,0.72543,0.61961,0.67175,0.50367,0.90672,0.88232,1.0452,4.07252e-05,4.07252e-05,4.07252e-05
5,5745.4,0.89133,0.76634,1.05995,0.72073,0.62176,0.67206,0.50408,0.90673,0.88024,1.04483,3.44529e-05,3.44529e-05,3.44529e-05
6,6884.28,0.89248,0.76724,1.05972,0.72451,0.6191,0.67166,0.50345,0.90725,0.88009,1.04503,2.75e-05,2.75e-05,2.75e-05
7,8137.9,0.89092,0.76517,1.05864,0.72657,0.61855,0.67145,0.50367,0.90688,0.88061,1.04481,2.05471e-05,2.05471e-05,2.05471e-05
8,9310.7,0.89175,0.76534,1.05908,0.72545,0.61878,0.67163,0.50369,0.90721,0.87988,1.04505,1.42748e-05,1.42748e-05,1.42748e-05
9,10524.6,0.89011,0.76376,1.0587,0.72734,0.61896,0.67188,0.50382,0.9071,0.87954,1.04483,9.29712e-06,9.29712e-06,9.29712e-06
10,11734.8,0.89,0.76488,1.05825,0.72779,0.61781,0.67216,0.50402,0.9072,0.87972,1.0451,6.10123e-06,6.10123e-06,6.10123e-06
