epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1147.34,0.89624,0.76219,1.0678,0.71793,0.62859,0.6756,0.50585,0.90676,0.87853,1.04488,5e-05,5e-05,5e-05
2,2302.6,0.89206,0.76197,1.06082,0.72578,0.62223,0.67446,0.50506,0.90599,0.87717,1.04487,4.88988e-05,4.88988e-05,4.88988e-05
3,3424.13,0.89068,0.76059,1.06047,0.71604,0.6312,0.6759,0.5063,0.90727,0.87718,1.04559,4.57029e-05,4.57029e-05,4.57029e-05
4,4561.95,0.88984,0.7592,1.05753,0.71903,0.62761,0.67509,0.50579,0.90715,0.87833,1.04572,4.07252e-05,4.07252e-05,4.07252e-05
5,5661.85,0.88793,0.75829,1.05682,0.73589,0.62071,0.67624,0.50708,0.90602,0.87539,1.0452,3.44529e-05,3.44529e-05,3.44529e-05
6,6750.92,0.88895,0.75903,1.05677,0.73082,0.62246,0.67565,0.50689,0.90664,0.87609,1.04528,2.75e-05,2.75e-05,2.75e-05
7,7836.76,0.88767,0.7572,1.05585,0.73057,0.62414,0.67606,0.50657,0.90667,0.87643,1.04534,2.05471e-05,2.05471e-05,2.05471e-05
8,8923.25,0.88815,0.75737,1.0562,0.72615,0.62622,0.67612,0.50685,0.90647,0.87587,1.04517,1.42748e-05,1.42748e-05,1.42748e-05
9,10012.1,0.88684,0.75587,1.05603,0.72746,0.6242,0.67611,0.5068,0.90635,0.87558,1.04516,9.29712e-06,9.29712e-06,9.29712e-06
10,11097.1,0.88665,0.75639,1.05555,0.72326,0.62743,0.67581,0.50672,0.90644,0.87613,1.04523,6.10123e-06,6.10123e-06,6.10123e-06
