epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1124.81,0.9022,0.78749,1.07285,0.72418,0.61175,0.66882,0.50084,0.90759,0.88529,1.04585,5e-05,5e-05,5e-05
2,2229.1,0.89765,0.77655,1.06611,0.71721,0.61634,0.66869,0.50066,0.90772,0.88285,1.04565,4.88988e-05,4.88988e-05,4.88988e-05
3,3354.55,0.89541,0.77388,1.06438,0.71894,0.61981,0.67019,0.50155,0.90758,0.88368,1.04582,4.57029e-05,4.57029e-05,4.57029e-05
4,4489.41,0.89449,0.77141,1.06128,0.72252,0.61847,0.66931,0.50148,0.90624,0.884,1.04451,4.07252e-05,4.07252e-05,4.07252e-05
5,5599.13,0.89214,0.77006,1.06025,0.7211,0.61798,0.66943,0.50167,0.90545,0.882,1.04414,3.44529e-05,3.44529e-05,3.44529e-05
6,6709.34,0.89318,0.77054,1.06002,0.71929,0.62106,0.66985,0.50209,0.90639,0.88122,1.04496,2.75e-05,2.75e-05,2.75e-05
7,7822.98,0.89167,0.76852,1.05904,0.71825,0.61921,0.67,0.50201,0.90651,0.88169,1.04493,2.05471e-05,2.05471e-05,2.05471e-05
8,8932.33,0.89247,0.76868,1.05958,0.71844,0.61941,0.67032,0.50217,0.90639,0.88156,1.04479,1.42748e-05,1.42748e-05,1.42748e-05
9,10049.2,0.89068,0.76684,1.05902,0.71498,0.62161,0.67032,0.50184,0.90585,0.8816,1.04444,9.29712e-06,9.29712e-06,9.29712e-06
10,11161,0.89074,0.76743,1.05868,0.72533,0.61481,0.66988,0.50188,0.90615,0.8814,1.04461,6.10123e-06,6.10123e-06,6.10123e-06
