epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1136.13,0.90104,0.78211,1.0718,0.72789,0.61573,0.67002,0.50172,0.90745,0.88218,1.04569,5e-05,5e-05,5e-05
2,2254.84,0.89661,0.77283,1.06522,0.72345,0.62006,0.67159,0.50303,0.90738,0.8803,1.04594,4.88988e-05,4.88988e-05,4.88988e-05
3,3369.22,0.89485,0.77042,1.0642,0.72905,0.61771,0.67093,0.50284,0.90766,0.88026,1.04604,4.57029e-05,4.57029e-05,4.57029e-05
4,4502.24,0.894,0.76854,1.06102,0.72075,0.62099,0.67113,0.50302,0.90653,0.87928,1.04498,4.07252e-05,4.07252e-05,4.07252e-05
5,5632.33,0.8916,0.76708,1.06022,0.72319,0.62222,0.67111,0.50306,0.90606,0.87888,1.04455,3.44529e-05,3.44529e-05,3.44529e-05
6,6736.96,0.89272,0.7678,1.05999,0.71987,0.62337,0.67043,0.50321,0.90616,0.87774,1.04474,2.75e-05,2.75e-05,2.75e-05
7,7832.08,0.89127,0.76595,1.05898,0.72317,0.62121,0.67122,0.50333,0.90678,0.87889,1.04526,2.05471e-05,2.05471e-05,2.05471e-05
8,8927.3,0.892,0.7659,1.05931,0.7185,0.62416,0.67114,0.50345,0.90677,0.87814,1.04539,1.42748e-05,1.42748e-05,1.42748e-05
9,10025.7,0.89027,0.76427,1.05894,0.7163,0.62421,0.67148,0.50387,0.90611,0.87788,1.04455,9.29712e-06,9.29712e-06,9.29712e-06
10,11120.7,0.89035,0.76522,1.05856,0.71815,0.623,0.67122,0.50346,0.90609,0.87799,1.04467,6.10123e-06,6.10123e-06,6.10123e-06
