epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1157.04,0.90188,0.78736,1.07263,0.72541,0.61207,0.66943,0.50148,0.90704,0.88592,1.04611,5e-05,5e-05,5e-05
2,2277.11,0.89769,0.77636,1.0664,0.7254,0.61301,0.66892,0.50123,0.90675,0.88423,1.04579,4.88988e-05,4.88988e-05,4.88988e-05
3,3396.8,0.89562,0.77384,1.06479,0.72087,0.62336,0.67149,0.50228,0.90804,0.88387,1.04677,4.57029e-05,4.57029e-05,4.57029e-05
4,4530.12,0.89455,0.77171,1.06128,0.7231,0.61707,0.67101,0.50227,0.90755,0.88337,1.04667,4.07252e-05,4.07252e-05,4.07252e-05
5,5653.01,0.89214,0.77018,1.06037,0.7208,0.61594,0.67018,0.50202,0.90693,0.8829,1.0464,3.44529e-05,3.44529e-05,3.44529e-05
6,6777.72,0.89342,0.77089,1.06023,0.72855,0.61168,0.66983,0.50167,0.90748,0.88238,1.04643,2.75e-05,2.75e-05,2.75e-05
7,7899.66,0.89177,0.7687,1.05916,0.72621,0.61238,0.66995,0.50159,0.9074,0.88283,1.04659,2.05471e-05,2.05471e-05,2.05471e-05
8,9022.76,0.89248,0.76903,1.05966,0.7261,0.61191,0.67,0.5023,0.90731,0.88213,1.04645,1.42748e-05,1.42748e-05,1.42748e-05
9,10150.6,0.89079,0.76708,1.05914,0.72505,0.61237,0.67044,0.50197,0.90705,0.88192,1.04608,9.29712e-06,9.29712e-06,9.29712e-06
10,11273.4,0.89094,0.76808,1.05893,0.72311,0.61283,0.67012,0.50211,0.90697,0.88196,1.04609,6.10123e-06,6.10123e-06,6.10123e-06
