epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1154.37,0.89763,0.76814,1.06934,0.72894,0.61985,0.67334,0.50453,0.90639,0.87979,1.04522,5e-05,5e-05,5e-05
2,2276.74,0.89435,0.76632,1.06334,0.72785,0.61676,0.67286,0.50469,0.90646,0.87849,1.04498,4.88988e-05,4.88988e-05,4.88988e-05
3,3395.78,0.89262,0.76471,1.06234,0.72267,0.62191,0.67323,0.50424,0.9073,0.87914,1.04552,4.57029e-05,4.57029e-05,4.57029e-05
4,4530.06,0.89141,0.7631,1.05896,0.72573,0.61918,0.67399,0.50477,0.90699,0.87871,1.04581,4.07252e-05,4.07252e-05,4.07252e-05
5,5649.92,0.88936,0.76201,1.05808,0.71724,0.62553,0.67416,0.50569,0.90492,0.87722,1.04443,3.44529e-05,3.44529e-05,3.44529e-05
6,6769.41,0.89069,0.76259,1.05814,0.72158,0.62638,0.67447,0.50568,0.90476,0.87727,1.04407,2.75e-05,2.75e-05,2.75e-05
7,7893.53,0.88907,0.76081,1.05704,0.72711,0.62213,0.67445,0.50566,0.90526,0.8769,1.04429,2.05471e-05,2.05471e-05,2.05471e-05
8,9019.55,0.88982,0.7612,1.0576,0.72997,0.62048,0.67437,0.50588,0.90525,0.87729,1.04418,1.42748e-05,1.42748e-05,1.42748e-05
9,10139.4,0.88842,0.75949,1.0574,0.72965,0.61938,0.67422,0.50585,0.90513,0.87684,1.04435,9.29712e-06,9.29712e-06,9.29712e-06
10,11262.2,0.88824,0.76033,1.05686,0.7261,0.62149,0.67419,0.50586,0.90525,0.87748,1.04448,6.10123e-06,6.10123e-06,6.10123e-06
