epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1146.61,0.89959,0.77459,1.07073,0.72612,0.61863,0.67207,0.50352,0.90719,0.88164,1.04596,5e-05,5e-05,5e-05
2,2261.75,0.89622,0.77081,1.06492,0.732,0.61506,0.67205,0.50318,0.90697,0.88035,1.04543,4.88988e-05,4.88988e-05,4.88988e-05
3,3377.59,0.89438,0.76884,1.06376,0.71439,0.62379,0.67266,0.50401,0.90782,0.88152,1.04635,4.57029e-05,4.57029e-05,4.57029e-05
4,4503.76,0.89338,0.76747,1.06053,0.71904,0.62054,0.67198,0.50327,0.9077,0.88237,1.04615,4.07252e-05,4.07252e-05,4.07252e-05
5,5617.03,0.89109,0.76638,1.05955,0.72611,0.61737,0.6721,0.50374,0.90708,0.87971,1.04573,3.44529e-05,3.44529e-05,3.44529e-05
6,6732.21,0.89241,0.76723,1.05952,0.72706,0.61935,0.67197,0.50412,0.90723,0.8799,1.04563,2.75e-05,2.75e-05,2.75e-05
7,7845.45,0.89065,0.76541,1.05819,0.72177,0.62224,0.672,0.5038,0.90772,0.8807,1.04625,2.05471e-05,2.05471e-05,2.05471e-05
8,8963.1,0.89168,0.76549,1.05892,0.72473,0.62025,0.67182,0.50385,0.90709,0.87916,1.04574,1.42748e-05,1.42748e-05,1.42748e-05
9,10081.5,0.88998,0.76349,1.05849,0.72608,0.62079,0.67275,0.50497,0.90641,0.87886,1.0454,9.29712e-06,9.29712e-06,9.29712e-06
10,11192.3,0.88999,0.76469,1.05821,0.72167,0.62327,0.67231,0.50447,0.90679,0.87972,1.04575,6.10123e-06,6.10123e-06,6.10123e-06
