epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1457.11,0.89755,0.76722,1.06907,0.73251,0.6185,0.67422,0.50476,0.90617,0.87918,1.04489,5e-05,5e-05,5e-05
2,2866.27,0.89417,0.76609,1.06313,0.7144,0.62119,0.67287,0.50436,0.9065,0.87755,1.04495,4.88988e-05,4.88988e-05,4.88988e-05
3,4279.18,0.89246,0.76438,1.06246,0.73317,0.61639,0.67364,0.50515,0.90672,0.87899,1.04536,4.57029e-05,4.57029e-05,4.57029e-05
4,5728.78,0.89177,0.763,1.05955,0.73373,0.61433,0.6734,0.50516,0.90631,0.87851,1.04481,4.07252e-05,4.07252e-05,4.07252e-05
5,7162.08,0.88982,0.76241,1.05867,0.71548,0.62741,0.67428,0.5062,0.90573,0.87695,1.0447,3.44529e-05,3.44529e-05,3.44529e-05
6,8588.39,0.89083,0.76333,1.05838,0.7147,0.62805,0.67414,0.50566,0.90647,0.87771,1.04531,2.75e-05,2.75e-05,2.75e-05
7,9998.81,0.8898,0.76173,1.05779,0.71931,0.62384,0.67457,0.50574,0.90591,0.87761,1.0449,2.05471e-05,2.05471e-05,2.05471e-05
8,11418.6,0.89025,0.76222,1.05803,0.73162,0.61695,0.67431,0.50554,0.90587,0.87717,1.04464,1.42748e-05,1.42748e-05,1.42748e-05
9,13658.5,0.88883,0.76042,1.05778,0.72465,0.62094,0.67458,0.50597,0.90565,0.87741,1.04458,9.29712e-06,9.29712e-06,9.29712e-06
10,15413.4,0.88894,0.76141,1.05756,0.73616,0.61417,0.67408,0.50539,0.90567,0.87751,1.0446,6.10123e-06,6.10123e-06,6.10123e-06
