epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1443.66,0.89772,0.76721,1.06921,0.73045,0.62075,0.67342,0.50437,0.90666,0.8797,1.04532,5e-05,5e-05,5e-05
2,2854.24,0.8942,0.76595,1.06309,0.71816,0.61967,0.6737,0.50473,0.90658,0.87709,1.0452,4.88988e-05,4.88988e-05,4.88988e-05
3,4266.63,0.89234,0.76448,1.06228,0.73205,0.61885,0.67353,0.505,0.90732,0.87903,1.04535,4.57029e-05,4.57029e-05,4.57029e-05
4,5692.31,0.89179,0.76298,1.05952,0.72419,0.62282,0.67345,0.50437,0.90649,0.87828,1.04506,4.07252e-05,4.07252e-05,4.07252e-05
5,7107.89,0.88992,0.76216,1.05884,0.72608,0.62098,0.67421,0.50574,0.90574,0.8773,1.0447,3.44529e-05,3.44529e-05,3.44529e-05
6,8520.04,0.89095,0.76343,1.05854,0.72122,0.62505,0.67377,0.50536,0.90633,0.87767,1.04518,2.75e-05,2.75e-05,2.75e-05
7,9934.74,0.88976,0.76162,1.05777,0.72079,0.62482,0.67374,0.50512,0.90591,0.87798,1.04506,2.05471e-05,2.05471e-05,2.05471e-05
8,11347.6,0.89026,0.76217,1.05812,0.71485,0.62629,0.67368,0.50522,0.90595,0.87746,1.0452,1.42748e-05,1.42748e-05,1.42748e-05
9,12761.9,0.88901,0.76033,1.05796,0.71376,0.62727,0.67438,0.50585,0.90621,0.87743,1.04523,9.29712e-06,9.29712e-06,9.29712e-06
10,14173,0.88889,0.76136,1.05755,0.71644,0.62619,0.67425,0.50563,0.90583,0.87741,1.04498,6.10123e-06,6.10123e-06,6.10123e-06
