epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1433.02,0.89766,0.76809,1.06925,0.72982,0.61795,0.67332,0.50517,0.90626,0.88016,1.04486,5e-05,5e-05,5e-05
2,2832.19,0.89459,0.76603,1.06377,0.71452,0.62696,0.67372,0.50528,0.9065,0.87764,1.0454,4.88988e-05,4.88988e-05,4.88988e-05
3,4225.72,0.89254,0.76466,1.06223,0.71967,0.62029,0.67328,0.50484,0.90601,0.87878,1.04477,4.57029e-05,4.57029e-05,4.57029e-05
4,5634.36,0.8916,0.76295,1.05901,0.7175,0.62681,0.67307,0.5048,0.90746,0.87988,1.0456,4.07252e-05,4.07252e-05,4.07252e-05
5,7029.61,0.88946,0.76194,1.0582,0.73206,0.61574,0.67354,0.50545,0.90577,0.87792,1.04507,3.44529e-05,3.44529e-05,3.44529e-05
6,8427.32,0.89053,0.76275,1.05801,0.72129,0.62416,0.67346,0.5053,0.90558,0.8779,1.04467,2.75e-05,2.75e-05,2.75e-05
7,9832.03,0.88919,0.76093,1.05708,0.73055,0.62038,0.67361,0.50529,0.90658,0.87857,1.04541,2.05471e-05,2.05471e-05,2.05471e-05
8,11232.8,0.88986,0.76117,1.05763,0.73178,0.61646,0.67335,0.50499,0.90559,0.87737,1.0447,1.42748e-05,1.42748e-05,1.42748e-05
9,12636,0.88838,0.75967,1.0573,0.72469,0.62045,0.67332,0.5053,0.90615,0.87714,1.045,9.29712e-06,9.29712e-06,9.29712e-06
10,14035.8,0.88825,0.76021,1.05682,0.72464,0.62032,0.67378,0.50547,0.90589,0.87746,1.04476,6.10123e-06,6.10123e-06,6.10123e-06
