epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1445.05,0.89754,0.76711,1.06914,0.73338,0.61673,0.67291,0.50407,0.90708,0.87997,1.04537,5e-05,5e-05,5e-05
2,2854.68,0.89425,0.76587,1.06315,0.73506,0.615,0.67342,0.50471,0.90665,0.87749,1.04518,4.88988e-05,4.88988e-05,4.88988e-05
3,4264.64,0.89245,0.76425,1.06241,0.7266,0.62089,0.67331,0.50453,0.90715,0.87906,1.04564,4.57029e-05,4.57029e-05,4.57029e-05
4,5684.77,0.89185,0.76283,1.05968,0.72877,0.61986,0.67369,0.50484,0.90688,0.87857,1.04508,4.07252e-05,4.07252e-05,4.07252e-05
5,7093.49,0.88991,0.76227,1.05876,0.72782,0.62127,0.67435,0.50606,0.90667,0.87765,1.04541,3.44529e-05,3.44529e-05,3.44529e-05
6,8502.96,0.89103,0.76345,1.05858,0.72399,0.62337,0.67456,0.50579,0.90617,0.87738,1.04492,2.75e-05,2.75e-05,2.75e-05
7,9912.16,0.88984,0.76172,1.05783,0.72038,0.62602,0.67372,0.50507,0.90635,0.87784,1.04532,2.05471e-05,2.05471e-05,2.05471e-05
8,11324.8,0.89041,0.76218,1.05824,0.71849,0.62333,0.67336,0.50541,0.90623,0.87777,1.04533,1.42748e-05,1.42748e-05,1.42748e-05
9,12740.2,0.88879,0.76031,1.05781,0.72096,0.62252,0.67368,0.50548,0.90624,0.87733,1.04508,9.29712e-06,9.29712e-06,9.29712e-06
10,14150.5,0.88889,0.76144,1.05754,0.72334,0.62305,0.67347,0.50549,0.90598,0.87787,1.04509,6.10123e-06,6.10123e-06,6.10123e-06
