epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1427.45,0.89775,0.7681,1.06932,0.73625,0.6167,0.67352,0.5051,0.9062,0.87941,1.045,5e-05,5e-05,5e-05
2,2819.27,0.89448,0.76621,1.0635,0.72903,0.61976,0.67349,0.50454,0.90609,0.87806,1.04495,4.88988e-05,4.88988e-05,4.88988e-05
3,4211.15,0.89246,0.76477,1.06205,0.72136,0.62134,0.67315,0.50457,0.90727,0.87928,1.0456,4.57029e-05,4.57029e-05,4.57029e-05
4,5618.68,0.89149,0.76319,1.05879,0.7198,0.62164,0.67309,0.50463,0.90616,0.87833,1.04487,4.07252e-05,4.07252e-05,4.07252e-05
5,7015.55,0.88934,0.76204,1.05807,0.73348,0.61448,0.67351,0.50603,0.90473,0.87676,1.04429,3.44529e-05,3.44529e-05,3.44529e-05
6,8412.43,0.89053,0.76304,1.0579,0.72345,0.61736,0.67308,0.50522,0.90519,0.877,1.04419,2.75e-05,2.75e-05,2.75e-05
7,9810.53,0.8892,0.76085,1.05703,0.71452,0.62423,0.67414,0.50575,0.90516,0.87709,1.04431,2.05471e-05,2.05471e-05,2.05471e-05
8,11206.8,0.88981,0.76132,1.05752,0.72661,0.61911,0.67362,0.50542,0.90497,0.87684,1.04419,1.42748e-05,1.42748e-05,1.42748e-05
9,12605.3,0.88815,0.75959,1.0571,0.72334,0.62092,0.67347,0.50539,0.90484,0.8764,1.04425,9.29712e-06,9.29712e-06,9.29712e-06
10,13999.3,0.88815,0.76053,1.05681,0.72721,0.619,0.67346,0.5057,0.9055,0.87718,1.04479,6.10123e-06,6.10123e-06,6.10123e-06
