epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1440.67,0.89774,0.76813,1.06937,0.72869,0.62069,0.67284,0.50491,0.90593,0.88059,1.04514,5e-05,5e-05,5e-05
2,2844.35,0.89446,0.76611,1.06355,0.72536,0.62105,0.67289,0.50414,0.90712,0.87937,1.04571,4.88988e-05,4.88988e-05,4.88988e-05
3,4249.74,0.89245,0.76452,1.06212,0.72593,0.62215,0.67322,0.50467,0.90651,0.8788,1.04491,4.57029e-05,4.57029e-05,4.57029e-05
4,5669.68,0.89145,0.7631,1.05899,0.72468,0.61972,0.67314,0.50455,0.90663,0.87914,1.04517,4.07252e-05,4.07252e-05,4.07252e-05
5,7072.94,0.88948,0.76202,1.05832,0.72385,0.62426,0.67336,0.50513,0.90554,0.87737,1.04461,3.44529e-05,3.44529e-05,3.44529e-05
6,8476.51,0.89059,0.76287,1.0582,0.72225,0.62186,0.6735,0.50554,0.90524,0.87648,1.04438,2.75e-05,2.75e-05,2.75e-05
7,9883.56,0.88907,0.76091,1.05707,0.71806,0.62633,0.67416,0.50573,0.9056,0.87725,1.04456,2.05471e-05,2.05471e-05,2.05471e-05
8,11287.7,0.88984,0.76114,1.05771,0.72204,0.62369,0.67395,0.50581,0.90516,0.87681,1.04444,1.42748e-05,1.42748e-05,1.42748e-05
9,12693.7,0.88833,0.75948,1.05736,0.72246,0.62271,0.67403,0.50606,0.90501,0.8764,1.04428,9.29712e-06,9.29712e-06,9.29712e-06
10,14095.8,0.88834,0.76038,1.05694,0.71769,0.62611,0.67423,0.50624,0.90534,0.87695,1.04443,6.10123e-06,6.10123e-06,6.10123e-06
