epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1442.33,0.89775,0.76819,1.06936,0.7297,0.61966,0.67288,0.50521,0.90539,0.87885,1.04447,5e-05,5e-05,5e-05
2,2854.03,0.89444,0.7662,1.06343,0.73446,0.61221,0.67342,0.50513,0.90648,0.87762,1.04527,4.88988e-05,4.88988e-05,4.88988e-05
3,4262.46,0.89246,0.76451,1.06214,0.72436,0.62142,0.67388,0.5055,0.90671,0.87841,1.04523,4.57029e-05,4.57029e-05,4.57029e-05
4,5682.21,0.89156,0.76292,1.05906,0.7282,0.61532,0.67319,0.50483,0.90661,0.87907,1.0452,4.07252e-05,4.07252e-05,4.07252e-05
5,7089.34,0.88934,0.76189,1.05806,0.72985,0.61382,0.67396,0.50613,0.90538,0.87707,1.04471,3.44529e-05,3.44529e-05,3.44529e-05
6,8499.55,0.89064,0.76282,1.05809,0.72805,0.61696,0.67358,0.50582,0.9053,0.87776,1.04448,2.75e-05,2.75e-05,2.75e-05
7,9906.59,0.88911,0.76091,1.05703,0.72108,0.62216,0.67401,0.5053,0.90604,0.8775,1.0452,2.05471e-05,2.05471e-05,2.05471e-05
8,11313.5,0.88985,0.76111,1.05766,0.71467,0.62413,0.67445,0.50622,0.9056,0.87678,1.04444,1.42748e-05,1.42748e-05,1.42748e-05
9,12722.9,0.88836,0.75946,1.05733,0.72089,0.62181,0.67412,0.50626,0.90564,0.87633,1.04453,9.29712e-06,9.29712e-06,9.29712e-06
10,14130.9,0.88825,0.76037,1.05685,0.72343,0.62004,0.67395,0.50616,0.90555,0.87653,1.04457,6.10123e-06,6.10123e-06,6.10123e-06
