epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1454.65,0.89781,0.76861,1.06938,0.71344,0.62412,0.67182,0.50413,0.90562,0.8792,1.04451,5e-05,5e-05,5e-05
2,2871.44,0.89442,0.76675,1.06343,0.72187,0.62161,0.67278,0.50431,0.90598,0.87815,1.04457,4.88988e-05,4.88988e-05,4.88988e-05
3,4288.23,0.89268,0.76493,1.06228,0.71742,0.62602,0.67286,0.5044,0.90671,0.87991,1.04534,4.57029e-05,4.57029e-05,4.57029e-05
4,5712.93,0.89172,0.76324,1.05926,0.71647,0.62272,0.67367,0.5045,0.90589,0.87863,1.04453,4.07252e-05,4.07252e-05,4.07252e-05
5,7128.37,0.88959,0.76203,1.05833,0.72102,0.6202,0.67362,0.50535,0.90559,0.87717,1.04477,3.44529e-05,3.44529e-05,3.44529e-05
6,8555.68,0.89068,0.76315,1.05814,0.71255,0.63016,0.67427,0.50581,0.90627,0.87818,1.04499,2.75e-05,2.75e-05,2.75e-05
7,9971.67,0.88917,0.76103,1.05718,0.7132,0.63047,0.67359,0.50537,0.90589,0.87728,1.04477,2.05471e-05,2.05471e-05,2.05471e-05
8,11388.4,0.88995,0.76136,1.05773,0.72059,0.62234,0.67391,0.50534,0.90619,0.87788,1.04479,1.42748e-05,1.42748e-05,1.42748e-05
9,12810.6,0.8884,0.75951,1.05737,0.72389,0.62103,0.67398,0.50587,0.90584,0.87701,1.04452,9.29712e-06,9.29712e-06,9.29712e-06
10,14227.4,0.88837,0.76059,1.05691,0.72469,0.62186,0.67368,0.50562,0.90593,0.87785,1.04466,6.10123e-06,6.10123e-06,6.10123e-06
