epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1449.61,0.89798,0.76864,1.06946,0.71791,0.62107,0.67329,0.50444,0.90619,0.87908,1.04506,5e-05,5e-05,5e-05
2,2864.27,0.89472,0.76642,1.06377,0.7221,0.61631,0.67248,0.50492,0.90575,0.87863,1.04485,4.88988e-05,4.88988e-05,4.88988e-05
3,4280.45,0.89274,0.76477,1.06236,0.71519,0.62966,0.67335,0.50467,0.90702,0.87933,1.04564,4.57029e-05,4.57029e-05,4.57029e-05
4,5709.34,0.8915,0.76325,1.05895,0.73312,0.61303,0.67349,0.50392,0.9066,0.88032,1.04535,4.07252e-05,4.07252e-05,4.07252e-05
5,7128.49,0.88947,0.76228,1.05815,0.7315,0.61609,0.67389,0.50473,0.90599,0.87791,1.04523,3.44529e-05,3.44529e-05,3.44529e-05
6,8549.09,0.89067,0.76322,1.05815,0.71604,0.62725,0.67213,0.50424,0.90669,0.87878,1.04534,2.75e-05,2.75e-05,2.75e-05
7,9965.37,0.88912,0.76119,1.05719,0.72505,0.62451,0.67328,0.50465,0.90623,0.87772,1.04514,2.05471e-05,2.05471e-05,2.05471e-05
8,11386.2,0.88986,0.76147,1.05767,0.72034,0.62413,0.67328,0.50515,0.90608,0.87771,1.04473,1.42748e-05,1.42748e-05,1.42748e-05
9,12806.9,0.88856,0.75982,1.05742,0.71862,0.62591,0.67352,0.5053,0.90608,0.87759,1.04485,9.29712e-06,9.29712e-06,9.29712e-06
10,14225.1,0.88846,0.7606,1.05693,0.72478,0.62197,0.67361,0.50513,0.90596,0.87792,1.04489,6.10123e-06,6.10123e-06,6.10123e-06
