epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1452.32,0.89777,0.768,1.06933,0.72536,0.62427,0.67381,0.50501,0.9063,0.87912,1.04496,5e-05,5e-05,5e-05
2,2873.26,0.89467,0.76607,1.06368,0.71707,0.62258,0.67229,0.50394,0.90652,0.87934,1.04563,4.88988e-05,4.88988e-05,4.88988e-05
3,4304.99,0.89247,0.76476,1.06209,0.7183,0.62377,0.67361,0.50482,0.90635,0.87827,1.04492,4.57029e-05,4.57029e-05,4.57029e-05
4,5736.05,0.89157,0.76316,1.05904,0.72987,0.61592,0.67372,0.50511,0.9068,0.87838,1.04527,4.07252e-05,4.07252e-05,4.07252e-05
5,7151.29,0.88937,0.76202,1.05815,0.73078,0.61694,0.67398,0.50555,0.90537,0.87807,1.0445,3.44529e-05,3.44529e-05,3.44529e-05
6,8566.81,0.89062,0.763,1.05811,0.72712,0.62004,0.67405,0.50567,0.90519,0.8777,1.04468,2.75e-05,2.75e-05,2.75e-05
7,9982.52,0.88909,0.7608,1.0571,0.7221,0.62309,0.67421,0.50551,0.9058,0.87722,1.04493,2.05471e-05,2.05471e-05,2.05471e-05
8,11636.8,0.88975,0.76105,1.05761,0.72263,0.62369,0.67417,0.5057,0.90585,0.87685,1.04469,1.42748e-05,1.42748e-05,1.42748e-05
9,13592,0.88815,0.75944,1.05718,0.7238,0.62201,0.67421,0.50616,0.90568,0.87647,1.04446,9.29712e-06,9.29712e-06,9.29712e-06
10,15174,0.88821,0.76025,1.05688,0.71913,0.62532,0.67402,0.50577,0.90559,0.87711,1.04453,6.10123e-06,6.10123e-06,6.10123e-06
