epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1454.92,0.89775,0.76811,1.0693,0.72711,0.62238,0.67282,0.50454,0.90655,0.88027,1.0453,5e-05,5e-05,5e-05
2,2868.26,0.89457,0.7662,1.06363,0.72509,0.61994,0.67295,0.50467,0.90719,0.87924,1.04644,4.88988e-05,4.88988e-05,4.88988e-05
3,4281.84,0.89256,0.76449,1.06223,0.71991,0.62498,0.67303,0.50426,0.90747,0.879,1.04635,4.57029e-05,4.57029e-05,4.57029e-05
4,5707.55,0.89165,0.76284,1.05912,0.72232,0.62188,0.6725,0.5045,0.90663,0.87922,1.04548,4.07252e-05,4.07252e-05,4.07252e-05
5,7120.64,0.8895,0.7619,1.05826,0.71979,0.62311,0.67349,0.50506,0.90583,0.87698,1.0453,3.44529e-05,3.44529e-05,3.44529e-05
6,8537.42,0.89077,0.76284,1.05817,0.72126,0.62325,0.67333,0.50523,0.90562,0.87771,1.04466,2.75e-05,2.75e-05,2.75e-05
7,9948.07,0.8891,0.76087,1.0571,0.73013,0.62063,0.67304,0.50505,0.90588,0.8781,1.0451,2.05471e-05,2.05471e-05,2.05471e-05
8,11358.8,0.88988,0.76109,1.05769,0.72363,0.6212,0.6733,0.50538,0.90535,0.87682,1.04465,1.42748e-05,1.42748e-05,1.42748e-05
9,12774.5,0.88823,0.75947,1.05718,0.72638,0.61911,0.67316,0.50517,0.90549,0.87649,1.04456,9.29712e-06,9.29712e-06,9.29712e-06
10,14186.4,0.8882,0.76028,1.0568,0.72446,0.6208,0.6728,0.50506,0.90569,0.87705,1.04473,6.10123e-06,6.10123e-06,6.10123e-06
