step,time_unix,metric,value
28,1787745597.9566376,best_score,0.7045303651100063
28,1787745597.9566376,improved,1.0
28,1787745597.9566376,lr_multiplier,1.0
28,1787745597.9566376,recovery_applied,0.0
28,1787745597.9566376,reductions,0.0
28,1787745597.9566376,score,0.7045303651100063
28,1787745597.9566376,should_stop,0.0
28,1787745597.9566376,stale_epochs,0.0
29,1787746216.9619663,best_score,0.7045303651100063
29,1787746216.9619663,improved,0.0
29,1787746216.9619663,lr_multiplier,1.0
29,1787746216.9619663,recovery_applied,0.0
29,1787746216.9619663,reductions,0.0
29,1787746216.9619663,score,0.7044025059892216
29,1787746216.9619663,should_stop,0.0
29,1787746216.9619663,stale_epochs,1.0
30,1787746835.233494,best_score,0.7045303651100063
30,1787746835.233494,improved,0.0
30,1787746835.233494,lr_multiplier,1.0
30,1787746835.233494,recovery_applied,0.0
30,1787746835.233494,reductions,0.0
30,1787746835.233494,score,0.7026489485296683
30,1787746835.233494,should_stop,0.0
30,1787746835.233494,stale_epochs,2.0
31,1787747454.388425,best_score,0.7045303651100063
31,1787747454.388425,improved,0.0
31,1787747454.388425,lr_multiplier,1.0
31,1787747454.388425,recovery_applied,0.0
31,1787747454.388425,reductions,0.0
31,1787747454.388425,score,0.7040235126693819
31,1787747454.388425,should_stop,0.0
31,1787747454.388425,stale_epochs,3.0
32,1787748074.0279245,best_score,0.7045303651100063
32,1787748074.0279245,improved,0.0
32,1787748074.0279245,lr_multiplier,1.0
32,1787748074.0279245,recovery_applied,0.0
32,1787748074.0279245,reductions,0.0
32,1787748074.0279245,score,0.7026542327616057
32,1787748074.0279245,should_stop,0.0
32,1787748074.0279245,stale_epochs,4.0
33,1787748691.772113,best_score,0.7051347345433846
33,1787748691.772113,improved,1.0
33,1787748691.772113,lr_multiplier,1.0
33,1787748691.772113,recovery_applied,0.0
33,1787748691.772113,reductions,0.0
33,1787748691.772113,score,0.7051347345433846
33,1787748691.772113,should_stop,0.0
33,1787748691.772113,stale_epochs,0.0
34,1787749311.7898147,best_score,0.7068723371718595
34,1787749311.7898147,improved,1.0
34,1787749311.7898147,lr_multiplier,1.0
34,1787749311.7898147,recovery_applied,0.0
34,1787749311.7898147,reductions,0.0
34,1787749311.7898147,score,0.7068723371718595
34,1787749311.7898147,should_stop,0.0
34,1787749311.7898147,stale_epochs,0.0
35,1787749931.3964558,best_score,0.7100382159275817
35,1787749931.3964558,improved,1.0
35,1787749931.3964558,lr_multiplier,1.0
35,1787749931.3964558,recovery_applied,0.0
35,1787749931.3964558,reductions,0.0
35,1787749931.3964558,score,0.7100382159275817
35,1787749931.3964558,should_stop,0.0
35,1787749931.3964558,stale_epochs,0.0
36,1787750550.98522,best_score,0.7100382159275817
36,1787750550.98522,improved,0.0
36,1787750550.98522,lr_multiplier,1.0
36,1787750550.98522,recovery_applied,0.0
36,1787750550.98522,reductions,0.0
36,1787750550.98522,score,0.7088164563523125
36,1787750550.98522,should_stop,0.0
36,1787750550.98522,stale_epochs,1.0
37,1787751169.0576112,best_score,0.7100382159275817
37,1787751169.0576112,improved,0.0
37,1787751169.0576112,lr_multiplier,1.0
37,1787751169.0576112,recovery_applied,0.0
37,1787751169.0576112,reductions,0.0
37,1787751169.0576112,score,0.7076020898001123
37,1787751169.0576112,should_stop,0.0
37,1787751169.0576112,stale_epochs,2.0
38,1787751786.5409486,best_score,0.7100382159275817
38,1787751786.5409486,improved,0.0
38,1787751786.5409486,lr_multiplier,1.0
38,1787751786.5409486,recovery_applied,0.0
38,1787751786.5409486,reductions,0.0
38,1787751786.5409486,score,0.708416629760817
38,1787751786.5409486,should_stop,0.0
38,1787751786.5409486,stale_epochs,3.0
39,1787752405.5518272,best_score,0.7100382159275817
39,1787752405.5518272,improved,0.0
39,1787752405.5518272,lr_multiplier,1.0
39,1787752405.5518272,recovery_applied,0.0
39,1787752405.5518272,reductions,0.0
39,1787752405.5518272,score,0.7085104935462644
39,1787752405.5518272,should_stop,0.0
39,1787752405.5518272,stale_epochs,4.0
40,1787753024.5216913,best_score,0.7100382159275817
40,1787753024.5216913,improved,0.0
40,1787753024.5216913,lr_multiplier,1.0
40,1787753024.5216913,recovery_applied,0.0
40,1787753024.5216913,reductions,0.0
40,1787753024.5216913,score,0.7093286030149898
40,1787753024.5216913,should_stop,0.0
40,1787753024.5216913,stale_epochs,5.0
41,1787753642.1518006,best_score,0.7100382159275817
41,1787753642.1518006,improved,0.0
41,1787753642.1518006,lr_multiplier,1.0
41,1787753642.1518006,recovery_applied,0.0
41,1787753642.1518006,reductions,0.0
41,1787753642.1518006,score,0.7093368174557485
41,1787753642.1518006,should_stop,0.0
41,1787753642.1518006,stale_epochs,6.0
42,1787754261.9907415,best_score,0.7100382159275817
42,1787754261.9907415,improved,0.0
42,1787754261.9907415,lr_multiplier,1.0
42,1787754261.9907415,recovery_applied,0.0
42,1787754261.9907415,reductions,0.0
42,1787754261.9907415,score,0.7079680411511505
42,1787754261.9907415,should_stop,0.0
42,1787754261.9907415,stale_epochs,7.0
43,1787754878.9926205,best_score,0.7100382159275817
43,1787754878.9926205,improved,0.0
43,1787754878.9926205,lr_multiplier,0.5
43,1787754878.9926205,recovery_applied,1.0
43,1787754878.9926205,reductions,1.0
43,1787754878.9926205,score,0.7072180308241012
43,1787754878.9926205,should_stop,0.0
43,1787754878.9926205,stale_epochs,8.0
44,1787755498.6513693,best_score,0.7100382159275817
44,1787755498.6513693,improved,0.0
44,1787755498.6513693,lr_multiplier,0.5
44,1787755498.6513693,recovery_applied,0.0
44,1787755498.6513693,reductions,1.0
44,1787755498.6513693,score,0.7072692145597119
