step,time_unix,metric,value
53,1787762862.7474096,best_score,0.7096216737087447
53,1787762862.7474096,improved,1.0
53,1787762862.7474096,patience,5.0
53,1787762862.7474096,score,0.7096216737087447
53,1787762862.7474096,should_stop,0.0
53,1787762862.7474096,stale_epochs,0.0
54,1787763723.7710285,best_score,0.7099014168306224
54,1787763723.7710285,improved,1.0
54,1787763723.7710285,patience,5.0
54,1787763723.7710285,score,0.7099014168306224
54,1787763723.7710285,should_stop,0.0
54,1787763723.7710285,stale_epochs,0.0
55,1787764587.637846,best_score,0.7104944157118196
55,1787764587.637846,improved,1.0
55,1787764587.637846,patience,5.0
55,1787764587.637846,score,0.7104944157118196
55,1787764587.637846,should_stop,0.0
55,1787764587.637846,stale_epochs,0.0
56,1787765449.6749375,best_score,0.7109232459045427
56,1787765449.6749375,improved,1.0
56,1787765449.6749375,patience,5.0
56,1787765449.6749375,score,0.7109232459045427
56,1787765449.6749375,should_stop,0.0
56,1787765449.6749375,stale_epochs,0.0
57,1787766313.1769738,best_score,0.7109232459045427
57,1787766313.1769738,improved,0.0
57,1787766313.1769738,patience,5.0
57,1787766313.1769738,score,0.7106537360962557
57,1787766313.1769738,should_stop,0.0
57,1787766313.1769738,stale_epochs,1.0
58,1787767174.6260374,best_score,0.7111747389752653
58,1787767174.6260374,improved,1.0
58,1787767174.6260374,patience,5.0
58,1787767174.6260374,score,0.7111747389752653
58,1787767174.6260374,should_stop,0.0
58,1787767174.6260374,stale_epochs,0.0
59,1787768043.4979594,best_score,0.7111747389752653
59,1787768043.4979594,improved,0.0
59,1787768043.4979594,patience,5.0
59,1787768043.4979594,score,0.7111415212904801
59,1787768043.4979594,should_stop,0.0
59,1787768043.4979594,stale_epochs,1.0
60,1787768909.49955,best_score,0.7111747389752653
60,1787768909.49955,improved,0.0
60,1787768909.49955,patience,5.0
60,1787768909.49955,score,0.7109930174295822
60,1787768909.49955,should_stop,0.0
60,1787768909.49955,stale_epochs,2.0
61,1787769771.2121632,best_score,0.7111747389752653
61,1787769771.2121632,improved,0.0
61,1787769771.2121632,patience,5.0
61,1787769771.2121632,score,0.7103079264406353
61,1787769771.2121632,should_stop,0.0
61,1787769771.2121632,stale_epochs,3.0
62,1787770631.5132778,best_score,0.7111747389752653
62,1787770631.5132778,improved,0.0
62,1787770631.5132778,patience,5.0
62,1787770631.5132778,score,0.7101576599190794
62,1787770631.5132778,should_stop,0.0
62,1787770631.5132778,stale_epochs,4.0
63,1787771491.7315137,best_score,0.7111747389752653
63,1787771491.7315137,improved,0.0
63,1787771491.7315137,patience,5.0
63,1787771491.7315137,score,0.7099739723667974
63,1787771491.7315137,should_stop,1.0
63,1787771491.7315137,stale_epochs,5.0
