step,time_unix,metric,value
53,1787762796.3045743,images/detect,118287.0
53,1787762796.3045743,images/pose,7404.0
53,1787762796.3045743,loss/detect_mean,1.8091681210632538
53,1787762796.3045743,loss/joint_mean,1.6376885785414568
53,1787762796.3045743,loss/pose_mean,0.9509681872198351
53,1787762796.3045743,macros,463.0
53,1787762796.3045743,passes/detect,1.0
53,1787762796.3045743,passes/pose,1.2414486921529175
53,1787762796.3045743,pose_wraps,1.0
54,1787763657.608914,images/detect,118287.0
54,1787763657.608914,images/pose,7404.0
54,1787763657.608914,loss/detect_mean,1.7772659235259332
54,1787763657.608914,loss/joint_mean,1.6051936814886265
54,1787763657.608914,loss/pose_mean,0.913401362832851
54,1787763657.608914,macros,463.0
54,1787763657.608914,passes/detect,1.0
54,1787763657.608914,passes/pose,1.2414486921529175
54,1787763657.608914,pose_wraps,1.0
55,1787764519.7102,images/detect,118287.0
55,1787764519.7102,images/pose,7404.0
55,1787764519.7102,loss/detect_mean,1.78263456237907
55,1787764519.7102,loss/joint_mean,1.6089211977086002
55,1787764519.7102,loss/pose_mean,0.9152099087971214
55,1787764519.7102,macros,463.0
55,1787764519.7102,passes/detect,1.0
55,1787764519.7102,passes/pose,1.2414486921529175
55,1787764519.7102,pose_wraps,1.0
56,1787765382.4192662,images/detect,118287.0
56,1787765382.4192662,images/pose,7404.0
56,1787765382.4192662,loss/detect_mean,1.7876897222191315
56,1787765382.4192662,loss/joint_mean,1.612212057450079
56,1787765382.4192662,loss/pose_mean,0.9087756915326893
56,1787765382.4192662,macros,463.0
56,1787765382.4192662,passes/detect,1.0
56,1787765382.4192662,passes/pose,1.2414486921529175
56,1787765382.4192662,pose_wraps,1.0
57,1787766246.2557907,images/detect,118287.0
57,1787766246.2557907,images/pose,7404.0
57,1787766246.2557907,loss/detect_mean,1.7869568895660541
57,1787766246.2557907,loss/joint_mean,1.6109959772819236
57,1787766246.2557907,loss/pose_mean,0.9064126603349617
57,1787766246.2557907,macros,463.0
57,1787766246.2557907,passes/detect,1.0
57,1787766246.2557907,passes/pose,1.2414486921529175
57,1787766246.2557907,pose_wraps,1.0
58,1787767107.8169234,images/detect,118287.0
58,1787767107.8169234,images/pose,7404.0
58,1787767107.8169234,loss/detect_mean,1.7913004712734284
58,1787767107.8169234,loss/joint_mean,1.6154202047400188
58,1787767107.8169234,loss/pose_mean,0.9146989650303837
58,1787767107.8169234,macros,463.0
58,1787767107.8169234,passes/detect,1.0
58,1787767107.8169234,passes/pose,1.2414486921529175
58,1787767107.8169234,pose_wraps,1.0
59,1787767973.3069158,images/detect,118287.0
59,1787767973.3069158,images/pose,7404.0
59,1787767973.3069158,loss/detect_mean,1.7918552551641045
59,1787767973.3069158,loss/joint_mean,1.6158773750723296
59,1787767973.3069158,loss/pose_mean,0.9138170559943398
59,1787767973.3069158,macros,463.0
59,1787767973.3069158,passes/detect,1.0
59,1787767973.3069158,passes/pose,1.2414486921529175
59,1787767973.3069158,pose_wraps,1.0
60,1787768842.050989,images/detect,118287.0
60,1787768842.050989,images/pose,7404.0
60,1787768842.050989,loss/detect_mean,1.7916221296318535
60,1787768842.050989,loss/joint_mean,1.6142193954758195
60,1787768842.050989,loss/pose_mean,0.9055272009100932
60,1787768842.050989,macros,463.0
60,1787768842.050989,passes/detect,1.0
60,1787768842.050989,passes/pose,1.2414486921529175
60,1787768842.050989,pose_wraps,1.0
61,1787769704.0019376,images/detect,118287.0
61,1787769704.0019376,images/pose,7404.0
61,1787769704.0019376,loss/detect_mean,1.7919669842372745
61,1787769704.0019376,loss/joint_mean,1.611775934682465
61,1787769704.0019376,loss/pose_mean,0.8908856910734418
61,1787769704.0019376,macros,463.0
61,1787769704.0019376,passes/detect,1.0
61,1787769704.0019376,passes/pose,1.2414486921529175
61,1787769704.0019376,pose_wraps,1.0
62,1787770564.3622239,images/detect,118287.0
62,1787770564.3622239,images/pose,7404.0
62,1787770564.3622239,loss/detect_mean,1.7927633446108875
62,1787770564.3622239,loss/joint_mean,1.6125862360120766
62,1787770564.3622239,loss/pose_mean,0.8875223425901754
62,1787770564.3622239,macros,463.0
62,1787770564.3622239,passes/detect,1.0
62,1787770564.3622239,passes/pose,1.2414486921529175
62,1787770564.3622239,pose_wraps,1.0
63,1787771424.9396665,images/detect,118287.0
63,1787771424.9396665,images/pose,7404.0
63,1787771424.9396665,loss/detect_mean,1.7933031110194266
63,1787771424.9396665,loss/joint_mean,1.6119223299483063
63,1787771424.9396665,loss/pose_mean,0.8863841764737567
63,1787771424.9396665,macros,463.0
63,1787771424.9396665,passes/detect,1.0
63,1787771424.9396665,passes/pose,1.2414486921529175
63,1787771424.9396665,pose_wraps,1.0
