step,time_unix,metric,value
53,1787762862.7473145,delta/bbat/ball/box/map50_95,-0.006844308026750512
53,1787762862.7473145,delta/bbat/ball/pose/map50_95,-0.02355754733864346
53,1787762862.7473145,delta/bbat/bat/box/map50_95,0.0029672661995201466
53,1787762862.7473145,delta/bbat/bat/pose/map50_95,-0.0004196976131266572
53,1787762862.7473145,delta/bbat/box/map50_95,-0.0019385209136153492
53,1787762862.7473145,delta/bbat/pose/map50_95,-0.011988622475885169
53,1787762862.7473145,delta/coco/box/map50_95,-0.007479531362526881
53,1787762862.7473145,delta/coco/person/box/map50_95,-0.006367490083530214
53,1787762862.7473145,passed,1.0
53,1787762862.7473145,score/best_detect,0.5593697127143371
53,1787762862.7473145,score/best_joint,0.7096216737087447
53,1787762862.7473145,score/best_pose,0.7645985088048728
54,1787763723.7709498,delta/bbat/ball/box/map50_95,-0.00516812407978029
54,1787763723.7709498,delta/bbat/ball/pose/map50_95,-0.023115056332987494
54,1787763723.7709498,delta/bbat/bat/box/map50_95,0.002860992332126222
54,1787763723.7709498,delta/bbat/bat/pose/map50_95,-0.0003062344943804973
54,1787763723.7709498,delta/bbat/box/map50_95,-0.0011535658738269783
54,1787763723.7709498,delta/bbat/pose/map50_95,-0.011710645413684162
54,1787763723.7709498,delta/coco/box/map50_95,-0.0074325947333677145
54,1787763723.7709498,delta/coco/person/box/map50_95,-0.006356620267490842
54,1787763723.7709498,passed,1.0
54,1787763723.7709498,score/best_detect,0.5593986159369363
54,1787763723.7709498,score/best_joint,0.7099014168306224
54,1787763723.7709498,score/best_pose,0.7651299748558674
55,1787764587.6377716,delta/bbat/ball/box/map50_95,-0.004355563203397139
55,1787764587.6377716,delta/bbat/ball/pose/map50_95,-0.020484010241616946
55,1787764587.6377716,delta/bbat/bat/box/map50_95,0.002514323758481929
55,1787764587.6377716,delta/bbat/bat/pose/map50_95,-0.00031712599400568475
55,1787764587.6377716,delta/bbat/box/map50_95,-0.0009206197224577162
55,1787764587.6377716,delta/bbat/pose/map50_95,-0.010400568117811204
55,1787764587.6377716,delta/coco/box/map50_95,-0.007898906312294895
55,1787764587.6377716,delta/coco/person/box/map50_95,-0.0057784150256929845
55,1787764587.6377716,passed,1.0
55,1787764587.6377716,score/best_detect,0.5594545627683717
55,1787764587.6377716,score/best_joint,0.7104944157118196
55,1787764587.6377716,score/best_pose,0.7659014865794885
56,1787765449.6748617,delta/bbat/ball/box/map50_95,-0.003077502989256242
56,1787765449.6748617,delta/bbat/ball/pose/map50_95,-0.01918136118587188
56,1787765449.6748617,delta/bbat/bat/box/map50_95,0.001976034218622247
56,1787765449.6748617,delta/bbat/bat/pose/map50_95,0.00038549625686601363
56,1787765449.6748617,delta/bbat/box/map50_95,-0.0005507343853170532
56,1787765449.6748617,delta/bbat/pose/map50_95,-0.009397932464502823
56,1787765449.6748617,delta/coco/box/map50_95,-0.007651258259450067
56,1787765449.6748617,delta/coco/person/box/map50_95,-0.006257068758680151
56,1787765449.6748617,passed,1.0
56,1787765449.6748617,score/best_detect,0.5593390599283005
56,1787765449.6748617,score/best_joint,0.7109232459045427
56,1787765449.6748617,score/best_pose,0.7665877470747131
57,1787766313.176889,delta/bbat/ball/box/map50_95,-0.0038110396908838107
57,1787766313.176889,delta/bbat/ball/pose/map50_95,-0.018963717880979725
57,1787766313.176889,delta/bbat/bat/box/map50_95,0.0018270521320307154
57,1787766313.176889,delta/bbat/bat/pose/map50_95,-0.000541340491790443
57,1787766313.176889,delta/bbat/box/map50_95,-0.0009919937794267142
57,1787766313.176889,delta/bbat/pose/map50_95,-0.009752529186385028
57,1787766313.176889,delta/coco/box/map50_95,-0.008194526958398896
57,1787766313.176889,delta/coco/person/box/map50_95,-0.005910896263291776
57,1787766313.176889,passed,1.0
57,1787766313.176889,score/best_detect,0.5592405118265202
57,1787766313.176889,score/best_joint,0.7106537360962557
57,1787766313.176889,score/best_pose,0.7661898190167171
58,1787767174.6259596,delta/bbat/ball/box/map50_95,-0.0033098636992267005
58,1787767174.6259596,delta/bbat/ball/pose/map50_95,-0.016354364920575293
58,1787767174.6259596,delta/bbat/bat/box/map50_95,0.0014536811772437597
58,1787767174.6259596,delta/bbat/bat/pose/map50_95,-0.0005323828159121691
58,1787767174.6259596,delta/bbat/box/map50_95,-0.0009280912609916925
58,1787767174.6259596,delta/bbat/pose/map50_95,-0.008443373868243897
58,1787767174.6259596,delta/coco/box/map50_95,-0.008378549171908889
58,1787767174.6259596,delta/coco/person/box/map50_95,-0.005804072809451277
58,1787767174.6259596,passed,1.0
58,1787767174.6259596,score/best_detect,0.5592019124466855
58,1787767174.6259596,score/best_joint,0.7111747389752653
58,1787767174.6259596,score/best_pose,0.7668763479350051
59,1787768043.497862,delta/bbat/ball/box/map50_95,-0.0024351906159412184
59,1787768043.497862,delta/bbat/ball/pose/map50_95,-0.01669221572606272
59,1787768043.497862,delta/bbat/bat/box/map50_95,0.0013987962981981683
59,1787768043.497862,delta/bbat/bat/pose/map50_95,-0.0009512091033039294
59,1787768043.497862,delta/bbat/box/map50_95,-0.0005181971588715806
59,1787768043.497862,delta/bbat/pose/map50_95,-0.008821712414683214
59,1787768043.497862,delta/coco/box/map50_95,-0.008329050728125953
59,1787768043.497862,delta/coco/person/box/map50_95,-0.0056728766864012625
59,1787768043.497862,passed,1.0
59,1787768043.497862,score/best_detect,0.559292259730102
59,1787768043.497862,score/best_joint,0.7111415212904801
59,1787768043.497862,score/best_pose,0.7668921257128456
60,1787768909.4994693,delta/bbat/ball/box/map50_95,-0.00304319740557768
60,1787768909.4994693,delta/bbat/ball/pose/map50_95,-0.016261362041118388
60,1787768909.4994693,delta/bbat/bat/box/map50_95,0.0009502360192561454
60,1787768909.4994693,delta/bbat/bat/pose/map50_95,-0.001461790169400512
60,1787768909.4994693,delta/bbat/box/map50_95,-0.0010464806931608228
60,1787768909.4994693,delta/bbat/pose/map50_95,-0.008861576105259616
60,1787768909.4994693,delta/coco/box/map50_95,-0.008238447977883201
60,1787768909.4994693,delta/coco/person/box/map50_95,-0.005897987825692286
60,1787768909.4994693,passed,1.0
60,1787768909.4994693,score/best_detect,0.5592250055355779
60,1787768909.4994693,score/best_joint,0.7109930174295822
60,1787768909.4994693,score/best_pose,0.7666080521004128
61,1787769771.2120821,delta/bbat/ball/box/map50_95,-0.0032942451433723985
61,1787769771.2120821,delta/bbat/ball/pose/map50_95,-0.015024919149608351
61,1787769771.2120821,delta/bbat/bat/box/map50_95,-0.0004344585921248756
61,1787769771.2120821,delta/bbat/bat/pose/map50_95,-0.005147792734892409
61,1787769771.2120821,delta/bbat/box/map50_95,-0.0018643518677488036
61,1787769771.2120821,delta/bbat/pose/map50_95,-0.010086355942250602
61,1787769771.2120821,delta/coco/box/map50_95,-0.008568434512774281
61,1787769771.2120821,delta/coco/person/box/map50_95,-0.005726025386965539
61,1787769771.2120821,passed,1.0
61,1787769771.2120821,score/best_detect,0.5591459934874957
61,1787769771.2120821,score/best_joint,0.7103079264406353
61,1787769771.2120821,score/best_pose,0.7655867265946232
62,1787770631.5131943,delta/bbat/ball/box/map50_95,-0.004067619734255956
62,1787770631.5131943,delta/bbat/ball/pose/map50_95,-0.014717806795696897
62,1787770631.5131943,delta/bbat/bat/box/map50_95,-0.0008591681601082257
62,1787770631.5131943,delta/bbat/bat/pose/map50_95,-0.005572515524767119
62,1787770631.5131943,delta/bbat/box/map50_95,-0.002463393947182202
62,1787770631.5131943,delta/bbat/pose/map50_95,-0.01014516116023223
62,1787770631.5131943,delta/coco/box/map50_95,-0.008685206330670991
62,1787770631.5131943,delta/coco/person/box/map50_95,-0.005643933661451328
62,1787770631.5131943,passed,1.0
62,1787770631.5131943,score/best_detect,0.5591286534413045
62,1787770631.5131943,score/best_joint,0.7101576599190794
62,1787770631.5131943,score/best_pose,0.7652578029459158
63,1787771491.7314363,delta/bbat/ball/box/map50_95,-0.0030092821183078655
63,1787771491.7314363,delta/bbat/ball/pose/map50_95,-0.015083280141345745
63,1787771491.7314363,delta/bbat/bat/box/map50_95,-0.0009442033899617064
63,1787771491.7314363,delta/bbat/bat/pose/map50_95,-0.006585999119889774
63,1787771491.7314363,delta/bbat/box/map50_95,-0.0019767427541348415
63,1787771491.7314363,delta/bbat/pose/map50_95,-0.010834639630618037
63,1787771491.7314363,delta/coco/box/map50_95,-0.008568072328137055
63,1787771491.7314363,delta/coco/person/box/map50_95,-0.005787199677671273
63,1787771491.7314363,passed,1.0
63,1787771491.7314363,score/best_detect,0.5591155874344614
63,1787771491.7314363,score/best_joint,0.7099739723667974
63,1787771491.7314363,score/best_pose,0.7651563893072466
