step,time_unix,metric,value
23819,1787762006.2098536,amp/overflow_retries,0.0
23819,1787762006.2098536,amp/scale,512.0
23819,1787762006.2098536,detect/component_0,1.0767582654953003
23819,1787762006.2098536,detect/component_1,0.9699996709823608
23819,1787762006.2098536,detect/component_2,0.00609106570482254
23819,1787762006.2098536,gradient/clipped_norm,642.2721557617188
23819,1787762006.2098536,images/detect,256.0
23819,1787762006.2098536,images/pose,16.0
23819,1787762006.2098536,loss/backward,106.2490135192871
23819,1787762006.2098536,loss/detect_mean,1.8214228600263596
23819,1787762006.2098536,loss/joint_mean,1.660140836238861
23819,1787762006.2098536,loss/pose_mean,1.0150127410888672
23819,1787762006.2098536,lr/attention.decay,5.0323974082073436e-08
23819,1787762006.2098536,lr/attention.no_decay,5.0323974082073436e-08
23819,1787762006.2098536,lr/backbone.decay,3.8246220302375816e-07
23819,1787762006.2098536,lr/backbone.no_decay,3.8246220302375816e-07
23819,1787762006.2098536,lr/detect_head.decay,5.032397408207344e-06
23819,1787762006.2098536,lr/detect_head.no_decay,5.032397408207344e-06
23819,1787762006.2098536,lr/masf.decay,3.824622030237581e-06
23819,1787762006.2098536,lr/masf.no_decay,3.824622030237581e-06
23819,1787762006.2098536,lr/neck.decay,1.9123110151187906e-06
23819,1787762006.2098536,lr/neck.no_decay,1.9123110151187906e-06
23819,1787762006.2098536,lr/pose_head.decay,5.032397408207344e-06
23819,1787762006.2098536,lr/pose_head.no_decay,5.032397408207344e-06
23819,1787762006.2098536,pose/component_0,0.7476100921630859
23819,1787762006.2098536,pose/component_1,0.011141087859869003
23819,1787762006.2098536,pose/component_2,0.0010596675565466285
23819,1787762006.2098536,pose/component_3,0.3243122696876526
23819,1787762006.2098536,pose/component_4,0.0018532476387917995
23819,1787762006.2098536,pose/component_5,0.0
23820,1787762007.9045646,amp/overflow_retries,0.0
23820,1787762007.9045646,amp/scale,512.0
23820,1787762007.9045646,detect/component_0,1.100239634513855
23820,1787762007.9045646,detect/component_1,0.9633725881576538
23820,1787762007.9045646,detect/component_2,0.006741637829691172
23820,1787762007.9045646,gradient/clipped_norm,633.6710205078125
23820,1787762007.9045646,images/detect,256.0
23820,1787762007.9045646,images/pose,16.0
23820,1787762007.9045646,loss/backward,106.27012786865234
23820,1787762007.9045646,loss/detect_mean,1.8479824364185333
23820,1787762007.9045646,loss/joint_mean,1.6604707479476928
23820,1787762007.9045646,loss/pose_mean,0.910423994064331
23820,1787762007.9045646,lr/attention.decay,5.064794816414687e-08
23820,1787762007.9045646,lr/attention.no_decay,5.064794816414687e-08
23820,1787762007.9045646,lr/backbone.decay,3.849244060475162e-07
23820,1787762007.9045646,lr/backbone.no_decay,3.849244060475162e-07
23820,1787762007.9045646,lr/detect_head.decay,5.064794816414687e-06
23820,1787762007.9045646,lr/detect_head.no_decay,5.064794816414687e-06
23820,1787762007.9045646,lr/masf.decay,3.849244060475162e-06
23820,1787762007.9045646,lr/masf.no_decay,3.849244060475162e-06
23820,1787762007.9045646,lr/neck.decay,1.924622030237581e-06
23820,1787762007.9045646,lr/neck.no_decay,1.924622030237581e-06
23820,1787762007.9045646,lr/pose_head.decay,5.064794816414687e-06
23820,1787762007.9045646,lr/pose_head.no_decay,5.064794816414687e-06
23820,1787762007.9045646,pose/component_0,0.6772705316543579
23820,1787762007.9045646,pose/component_1,0.01609617844223976
23820,1787762007.9045646,pose/component_2,0.004810667131096125
23820,1787762007.9045646,pose/component_3,0.24034422636032104
23820,1787762007.9045646,pose/component_4,0.0021995799615979195
23820,1787762007.9045646,pose/component_5,0.0
23821,1787762009.5983677,amp/overflow_retries,0.0
23821,1787762009.5983677,amp/scale,512.0
23821,1787762009.5983677,detect/component_0,1.1246305704116821
23821,1787762009.5983677,detect/component_1,1.0148980617523193
23821,1787762009.5983677,detect/component_2,0.006683536805212498
23821,1787762009.5983677,gradient/clipped_norm,676.8172607421875
23821,1787762009.5983677,images/detect,256.0
23821,1787762009.5983677,images/pose,16.0
23821,1787762009.5983677,loss/backward,110.9347038269043
23821,1787762009.5983677,loss/detect_mean,1.90690179169178
23821,1787762009.5983677,loss/joint_mean,1.7333547472953796
23821,1787762009.5983677,loss/pose_mean,1.0391665697097778
23821,1787762009.5983677,lr/attention.decay,5.0971922246220305e-08
23821,1787762009.5983677,lr/attention.no_decay,5.0971922246220305e-08
23821,1787762009.5983677,lr/backbone.decay,3.8738660907127434e-07
23821,1787762009.5983677,lr/backbone.no_decay,3.8738660907127434e-07
23821,1787762009.5983677,lr/detect_head.decay,5.09719222462203e-06
23821,1787762009.5983677,lr/detect_head.no_decay,5.09719222462203e-06
23821,1787762009.5983677,lr/masf.decay,3.873866090712743e-06
23821,1787762009.5983677,lr/masf.no_decay,3.873866090712743e-06
23821,1787762009.5983677,lr/neck.decay,1.9369330453563717e-06
23821,1787762009.5983677,lr/neck.no_decay,1.9369330453563717e-06
23821,1787762009.5983677,lr/pose_head.decay,5.09719222462203e-06
23821,1787762009.5983677,lr/pose_head.no_decay,5.09719222462203e-06
23821,1787762009.5983677,pose/component_0,0.7821495532989502
23821,1787762009.5983677,pose/component_1,0.03124515898525715
23821,1787762009.5983677,pose/component_2,0.0006883882451802492
23821,1787762009.5983677,pose/component_3,0.27824172377586365
23821,1787762009.5983677,pose/component_4,0.0023795240558683872
23821,1787762009.5983677,pose/component_5,0.0
23822,1787762011.2855842,amp/overflow_retries,0.0
23822,1787762011.2855842,amp/scale,512.0
23822,1787762011.2855842,detect/component_0,1.078048586845398
23822,1787762011.2855842,detect/component_1,0.9869709610939026
23822,1787762011.2855842,detect/component_2,0.006405921652913094
23822,1787762011.2855842,gradient/clipped_norm,727.3029174804688
23822,1787762011.2855842,images/detect,256.0
23822,1787762011.2855842,images/pose,16.0
23822,1787762011.2855842,loss/backward,111.68240661621094
23822,1787762011.2855842,loss/detect_mean,1.8580259382724762
23822,1787762011.2855842,loss/joint_mean,1.745037603378296
23822,1787762011.2855842,loss/pose_mean,1.2930842638015747
23822,1787762011.2855842,lr/attention.decay,5.1295896328293736e-08
23822,1787762011.2855842,lr/attention.no_decay,5.1295896328293736e-08
23822,1787762011.2855842,lr/backbone.decay,3.8984881209503243e-07
23822,1787762011.2855842,lr/backbone.no_decay,3.8984881209503243e-07
23822,1787762011.2855842,lr/detect_head.decay,5.1295896328293745e-06
23822,1787762011.2855842,lr/detect_head.no_decay,5.1295896328293745e-06
23822,1787762011.2855842,lr/masf.decay,3.8984881209503245e-06
23822,1787762011.2855842,lr/masf.no_decay,3.8984881209503245e-06
23822,1787762011.2855842,lr/neck.decay,1.9492440604751623e-06
23822,1787762011.2855842,lr/neck.no_decay,1.9492440604751623e-06
23822,1787762011.2855842,lr/pose_head.decay,5.1295896328293745e-06
23822,1787762011.2855842,lr/pose_head.no_decay,5.1295896328293745e-06
23822,1787762011.2855842,pose/component_0,1.0491482019424438
23822,1787762011.2855842,pose/component_1,0.03194361925125122
23822,1787762011.2855842,pose/component_2,0.005298775155097246
23822,1787762011.2855842,pose/component_3,0.3537548780441284
23822,1787762011.2855842,pose/component_4,0.002099723555147648
23822,1787762011.2855842,pose/component_5,0.0
23823,1787762012.9734437,amp/overflow_retries,0.0
23823,1787762012.9734437,amp/scale,512.0
23823,1787762012.9734437,detect/component_0,1.0727859735488892
23823,1787762012.9734437,detect/component_1,0.9605271816253662
23823,1787762012.9734437,detect/component_2,0.006602015811949968
23823,1787762012.9734437,gradient/clipped_norm,684.8394775390625
23823,1787762012.9734437,images/detect,256.0
