step,time_unix,metric,value
0,1787732082.0648656,images/detect,0.0
0,1787732082.0648656,images/pose,5964.0
0,1787732082.0648656,loss/detect_mean,0.0
0,1787732082.0648656,loss/joint_mean,16.203820693580838
0,1787732082.0648656,loss/pose_mean,16.203820693580838
0,1787732082.0648656,macros,373.0
0,1787732082.0648656,passes/detect,0.0
0,1787732082.0648656,passes/pose,1.0
0,1787732082.0648656,pose_wraps,0.0
1,1787732188.1921134,images/detect,0.0
1,1787732188.1921134,images/pose,5964.0
1,1787732188.1921134,loss/detect_mean,0.0
1,1787732188.1921134,loss/joint_mean,9.716263234415445
1,1787732188.1921134,loss/pose_mean,9.716263234415445
1,1787732188.1921134,macros,373.0
1,1787732188.1921134,passes/detect,0.0
1,1787732188.1921134,passes/pose,1.0
1,1787732188.1921134,pose_wraps,0.0
2,1787732294.728619,images/detect,0.0
2,1787732294.728619,images/pose,5964.0
2,1787732294.728619,loss/detect_mean,0.0
2,1787732294.728619,loss/joint_mean,8.722584020203987
2,1787732294.728619,loss/pose_mean,8.722584020203987
2,1787732294.728619,macros,373.0
2,1787732294.728619,passes/detect,0.0
2,1787732294.728619,passes/pose,1.0
2,1787732294.728619,pose_wraps,0.0
3,1787732401.9069297,images/detect,0.0
3,1787732401.9069297,images/pose,5964.0
3,1787732401.9069297,loss/detect_mean,0.0
3,1787732401.9069297,loss/joint_mean,7.98817555269565
3,1787732401.9069297,loss/pose_mean,7.98817555269565
3,1787732401.9069297,macros,373.0
3,1787732401.9069297,passes/detect,0.0
3,1787732401.9069297,passes/pose,1.0
3,1787732401.9069297,pose_wraps,0.0
4,1787732508.2182477,images/detect,0.0
4,1787732508.2182477,images/pose,5964.0
4,1787732508.2182477,loss/detect_mean,0.0
4,1787732508.2182477,loss/joint_mean,7.361335346956208
4,1787732508.2182477,loss/pose_mean,7.361335346956208
4,1787732508.2182477,macros,373.0
4,1787732508.2182477,passes/detect,0.0
4,1787732508.2182477,passes/pose,1.0
4,1787732508.2182477,pose_wraps,0.0
5,1787732616.00512,images/detect,0.0
5,1787732616.00512,images/pose,5964.0
5,1787732616.00512,loss/detect_mean,0.0
5,1787732616.00512,loss/joint_mean,6.901773379842041
5,1787732616.00512,loss/pose_mean,6.901773379842041
5,1787732616.00512,macros,373.0
5,1787732616.00512,passes/detect,0.0
5,1787732616.00512,passes/pose,1.0
5,1787732616.00512,pose_wraps,0.0
6,1787732723.4154532,images/detect,0.0
6,1787732723.4154532,images/pose,5964.0
6,1787732723.4154532,loss/detect_mean,0.0
6,1787732723.4154532,loss/joint_mean,6.565201763176103
6,1787732723.4154532,loss/pose_mean,6.565201763176103
6,1787732723.4154532,macros,373.0
6,1787732723.4154532,passes/detect,0.0
6,1787732723.4154532,passes/pose,1.0
6,1787732723.4154532,pose_wraps,0.0
7,1787732830.5071168,images/detect,0.0
7,1787732830.5071168,images/pose,5964.0
7,1787732830.5071168,loss/detect_mean,0.0
7,1787732830.5071168,loss/joint_mean,6.2428328125849415
7,1787732830.5071168,loss/pose_mean,6.2428328125849415
7,1787732830.5071168,macros,373.0
7,1787732830.5071168,passes/detect,0.0
7,1787732830.5071168,passes/pose,1.0
7,1787732830.5071168,pose_wraps,0.0
8,1787733436.8069637,images/detect,118287.0
8,1787733436.8069637,images/pose,7404.0
8,1787733436.8069637,loss/detect_mean,1.818948906700946
8,1787733436.8069637,loss/joint_mean,2.547431679661108
8,1787733436.8069637,loss/pose_mean,5.462984828031881
8,1787733436.8069637,macros,463.0
8,1787733436.8069637,passes/detect,1.0
8,1787733436.8069637,passes/pose,1.2414486921529175
8,1787733436.8069637,pose_wraps,1.0
9,1787734042.6641538,images/detect,118287.0
9,1787734042.6641538,images/pose,7404.0
9,1787734042.6641538,loss/detect_mean,1.897871443036655
9,1787734042.6641538,loss/joint_mean,2.488463432103975
9,1787734042.6641538,loss/pose_mean,4.8518321476776105
9,1787734042.6641538,macros,463.0
9,1787734042.6641538,passes/detect,1.0
9,1787734042.6641538,passes/pose,1.2414486921529175
9,1787734042.6641538,pose_wraps,1.0
10,1787734647.7648146,images/detect,118287.0
10,1787734647.7648146,images/pose,7404.0
10,1787734647.7648146,loss/detect_mean,1.886837799307816
10,1787734647.7648146,loss/joint_mean,2.3083024423700857
10,1787734647.7648146,loss/pose_mean,3.9924963366850075
10,1787734647.7648146,macros,463.0
10,1787734647.7648146,passes/detect,1.0
10,1787734647.7648146,passes/pose,1.2414486921529175
10,1787734647.7648146,pose_wraps,1.0
11,1787735252.9768217,images/detect,118287.0
11,1787735252.9768217,images/pose,7404.0
11,1787735252.9768217,loss/detect_mean,1.882932552944679
11,1787735252.9768217,loss/joint_mean,2.1996371365177114
11,1787735252.9768217,loss/pose_mean,3.4675607472609857
11,1787735252.9768217,macros,463.0
11,1787735252.9768217,passes/detect,1.0
11,1787735252.9768217,passes/pose,1.2414486921529175
11,1787735252.9768217,pose_wraps,1.0
12,1787735858.6431322,images/detect,118287.0
12,1787735858.6431322,images/pose,7404.0
12,1787735858.6431322,loss/detect_mean,1.8792819037378543
12,1787735858.6431322,loss/joint_mean,2.0881720020686907
12,1787735858.6431322,loss/pose_mean,2.9251259490002304
12,1787735858.6431322,macros,463.0
12,1787735858.6431322,passes/detect,1.0
12,1787735858.6431322,passes/pose,1.2414486921529175
12,1787735858.6431322,pose_wraps,1.0
13,1787736463.6296184,images/detect,118287.0
13,1787736463.6296184,images/pose,7404.0
13,1787736463.6296184,loss/detect_mean,1.881645142475266
13,1787736463.6296184,loss/joint_mean,2.0233480237421158
13,1787736463.6296184,loss/pose_mean,2.5889811794027517
13,1787736463.6296184,macros,463.0
13,1787736463.6296184,passes/detect,1.0
13,1787736463.6296184,passes/pose,1.2414486921529175
13,1787736463.6296184,pose_wraps,1.0
14,1787737065.8779302,images/detect,118287.0
14,1787737065.8779302,images/pose,7404.0
14,1787737065.8779302,loss/detect_mean,1.888924277206589
14,1787737065.8779302,loss/joint_mean,1.998290942249064
14,1787737065.8779302,loss/pose_mean,2.434943068291547
14,1787737065.8779302,macros,463.0
14,1787737065.8779302,passes/detect,1.0
14,1787737065.8779302,passes/pose,1.2414486921529175
14,1787737065.8779302,pose_wraps,1.0
15,1787737668.375906,images/detect,118287.0
15,1787737668.375906,images/pose,7404.0
15,1787737668.375906,loss/detect_mean,1.8740314275085026
