step,time_unix,metric,value
0,1787732148.367479,delta/bbat/ball/box/map50_95,-0.22965752044703236
0,1787732148.367479,delta/bbat/ball/pose/map50_95,-0.1595845764304712
0,1787732148.367479,delta/bbat/bat/box/map50_95,-0.31581340288602056
0,1787732148.367479,delta/bbat/bat/pose/map50_95,-0.2530801190382892
0,1787732148.367479,delta/bbat/box/map50_95,-0.27273546166652657
0,1787732148.367479,delta/bbat/pose/map50_95,-0.20633234773438025
0,1787732148.367479,delta/coco/box/map50_95,0.00015368663004888816
0,1787732148.367479,delta/coco/person/box/map50_95,-0.00012852527929263502
0,1787732148.367479,passed,0.0
0,1787732148.367479,score/best_detect,0.5663058041127438
0,1787732148.367479,score/best_joint,0.580499232014127
0,1787732148.367479,score/best_pose,0.5320281757991696
1,1787732255.134101,delta/bbat/ball/box/map50_95,-0.15035671375775184
1,1787732255.134101,delta/bbat/ball/pose/map50_95,-0.14661186691673211
1,1787732255.134101,delta/bbat/bat/box/map50_95,-0.22612335495700453
1,1787732255.134101,delta/bbat/bat/pose/map50_95,-0.19020621192615828
1,1787732255.134101,delta/bbat/box/map50_95,-0.18824003435737824
1,1787732255.134101,delta/bbat/pose/map50_95,-0.16840903942144514
1,1787732255.134101,delta/coco/box/map50_95,-0.00012654686075730393
1,1787732255.134101,delta/coco/person/box/map50_95,-0.00013952963342844793
1,1787732255.134101,passed,0.0
1,1787732255.134101,score/best_detect,0.5661601851902727
1,1787732255.134101,score/best_joint,0.6125093932321424
1,1787732255.134101,score/best_pose,0.5932375436102113
2,1787732362.338648,delta/bbat/ball/box/map50_95,-0.10696763617628113
2,1787732362.338648,delta/bbat/ball/pose/map50_95,-0.08854033350835755
2,1787732362.338648,delta/bbat/bat/box/map50_95,-0.19792545531409222
2,1787732362.338648,delta/bbat/bat/pose/map50_95,-0.16318680253050488
2,1787732362.338648,delta/bbat/box/map50_95,-0.1524465457451868
2,1787732362.338648,delta/bbat/pose/map50_95,-0.12586356801943133
2,1787732362.338648,delta/coco/box/map50_95,-0.00014095379740375336
2,1787732362.338648,delta/coco/person/box/map50_95,-0.00016725289915808794
2,1787732362.338648,passed,0.0
2,1787732362.338648,score/best_detect,0.5661391200890846
2,1787732362.338648,score/best_joint,0.636677853474911
2,1787732362.338648,score/best_pose,0.6324070236173139
3,1787732469.2376814,delta/bbat/ball/box/map50_95,-0.10272040604103877
3,1787732469.2376814,delta/bbat/ball/pose/map50_95,-0.07690765378062492
3,1787732469.2376814,delta/bbat/bat/box/map50_95,-0.20996979059577892
3,1787732469.2376814,delta/bbat/bat/pose/map50_95,-0.16734714043285237
3,1787732469.2376814,delta/bbat/box/map50_95,-0.15634509831840887
3,1787732469.2376814,delta/bbat/pose/map50_95,-0.12212739710673881
3,1787732469.2376814,delta/coco/box/map50_95,0.0
3,1787732469.2376814,delta/coco/person/box/map50_95,0.0
3,1787732469.2376814,passed,0.0
3,1787732469.2376814,score/best_detect,0.5662932234373657
3,1787732469.2376814,score/best_joint,0.6374542526646559
3,1787732469.2376814,score/best_pose,0.6323258327870491
4,1787732575.5202906,delta/bbat/ball/box/map50_95,-0.09916391384500928
4,1787732575.5202906,delta/bbat/ball/pose/map50_95,-0.08016843094538384
4,1787732575.5202906,delta/bbat/bat/box/map50_95,-0.18735173783741477
4,1787732575.5202906,delta/bbat/bat/pose/map50_95,-0.1485450646948756
4,1787732575.5202906,delta/bbat/box/map50_95,-0.14325782584121233
4,1787732575.5202906,delta/bbat/pose/map50_95,-0.11435674782012972
4,1787732575.5202906,delta/coco/box/map50_95,0.0
4,1787732575.5202906,delta/coco/person/box/map50_95,0.0
4,1787732575.5202906,passed,0.0
4,1787732575.5202906,score/best_detect,0.5662932234373657
4,1787732575.5202906,score/best_joint,0.6431799668747389
4,1787732575.5202906,score/best_pose,0.6427547936689519
5,1787732683.623605,delta/bbat/ball/box/map50_95,-0.09250053442011974
5,1787732683.623605,delta/bbat/ball/pose/map50_95,-0.07808122714999599
5,1787732683.623605,delta/bbat/bat/box/map50_95,-0.1737441990032682
5,1787732683.623605,delta/bbat/bat/pose/map50_95,-0.13773487441307175
5,1787732683.623605,delta/bbat/box/map50_95,-0.13312236671169403
5,1787732683.623605,delta/bbat/pose/map50_95,-0.10790805078153398
5,1787732683.623605,delta/coco/box/map50_95,1.1712771366356733e-05
5,1787732683.623605,delta/coco/person/box/map50_95,-0.00013163638134583433
5,1787732683.623605,passed,0.0
5,1787732683.623605,score/best_detect,0.5662332616323759
5,1787732683.623605,score/best_joint,0.6477625527940849
5,1787732683.623605,score/best_pose,0.651046871753009
6,1787732790.9246352,delta/bbat/ball/box/map50_95,-0.08545907540831921
6,1787732790.9246352,delta/bbat/ball/pose/map50_95,-0.06772530688668998
6,1787732790.9246352,delta/bbat/bat/box/map50_95,-0.17394338270827647
6,1787732790.9246352,delta/bbat/bat/pose/map50_95,-0.13456671665436126
6,1787732790.9246352,delta/bbat/box/map50_95,-0.12970122905829784
6,1787732790.9246352,delta/bbat/pose/map50_95,-0.10114601177052573
6,1787732790.9246352,delta/coco/box/map50_95,0.00011605252770241492
6,1787732790.9246352,delta/coco/person/box/map50_95,-0.0002912802645335111
6,1787732790.9246352,passed,0.0
6,1787732790.9246352,score/best_detect,0.56620560956895
6,1787732790.9246352,score/best_joint,0.6511405351037971
6,1787732790.9246352,score/best_pose,0.6561384600852112
7,1787732898.1605868,delta/bbat/ball/box/map50_95,-0.08850901268121764
7,1787732898.1605868,delta/bbat/ball/pose/map50_95,-0.04496915739373575
7,1787732898.1605868,delta/bbat/bat/box/map50_95,-0.1636361272760153
7,1787732898.1605868,delta/bbat/bat/pose/map50_95,-0.129074540127736
7,1787732898.1605868,delta/bbat/box/map50_95,-0.1260725699786165
7,1787732898.1605868,delta/bbat/pose/map50_95,-0.08702184876073593
7,1787732898.1605868,delta/coco/box/map50_95,1.677582056824889e-05
7,1787732898.1605868,delta/coco/person/box/map50_95,-0.00029672944225034303
7,1787732898.1605868,passed,0.0
7,1787732898.1605868,score/best_detect,0.5661532466265246
7,1787732898.1605868,score/best_joint,0.6574949869466791
7,1787732898.1605868,score/best_pose,0.6650148711299468
8,1787733509.1289616,delta/bbat/ball/box/map50_95,-0.11530174516507058
8,1787733509.1289616,delta/bbat/ball/pose/map50_95,-0.14331260312379623
8,1787733509.1289616,delta/bbat/bat/box/map50_95,-0.1268363294624817
8,1787733509.1289616,delta/bbat/bat/pose/map50_95,-0.08051069766609265
8,1787733509.1289616,delta/bbat/box/map50_95,-0.12106903731377627
8,1787733509.1289616,delta/bbat/pose/map50_95,-0.11191165039494444
8,1787733509.1289616,delta/coco/box/map50_95,-0.026708371192415592
8,1787733509.1289616,delta/coco/person/box/map50_95,-0.023005662336190724
8,1787733509.1289616,passed,0.0
8,1787733509.1289616,score/best_detect,0.5414362066730625
8,1787733509.1289616,score/best_joint,0.6386529568445789
8,1787733509.1289616,score/best_pose,0.6550717366452626
9,1787734112.6474698,delta/bbat/ball/box/map50_95,-0.06510336967983565
9,1787734112.6474698,delta/bbat/ball/pose/map50_95,-0.06329949309466798
9,1787734112.6474698,delta/bbat/bat/box/map50_95,-0.0938426780835313
9,1787734112.6474698,delta/bbat/bat/pose/map50_95,-0.06891070891196194
9,1787734112.6474698,delta/bbat/box/map50_95,-0.07947302388168365
9,1787734112.6474698,delta/bbat/pose/map50_95,-0.06610510100331501
9,1787734112.6474698,delta/coco/box/map50_95,-0.03304270715230856
9,1787734112.6474698,delta/coco/person/box/map50_95,-0.02681807561255034
9,1787734112.6474698,passed,0.0
9,1787734112.6474698,score/best_detect,0.5363628320549362
9,1787734112.6474698,score/best_joint,0.6632654294403987
9,1787734112.6474698,score/best_pose,0.6987730180571237
10,1787734718.0570729,delta/bbat/ball/box/map50_95,-0.053186657961730666
10,1787734718.0570729,delta/bbat/ball/pose/map50_95,-0.05365572584542677
10,1787734718.0570729,delta/bbat/bat/box/map50_95,-0.0974442681039992
10,1787734718.0570729,delta/bbat/bat/pose/map50_95,-0.04073081438128989
10,1787734718.0570729,delta/bbat/box/map50_95,-0.07531546303286507
10,1787734718.0570729,delta/bbat/pose/map50_95,-0.04719327011335861
10,1787734718.0570729,delta/coco/box/map50_95,-0.032064451849466935
10,1787734718.0570729,delta/coco/person/box/map50_95,-0.027743671499831146
10,1787734718.0570729,passed,0.0
10,1787734718.0570729,score/best_detect,0.5363891617627166
10,1787734718.0570729,score/best_joint,0.6716722058492572
10,1787734718.0570729,score/best_pose,0.7103077139265112
11,1787735322.2424169,delta/bbat/ball/box/map50_95,-0.04922592102507273
11,1787735322.2424169,delta/bbat/ball/pose/map50_95,-0.05624929721015948
11,1787735322.2424169,delta/bbat/bat/box/map50_95,-0.05631053151629739
11,1787735322.2424169,delta/bbat/bat/pose/map50_95,-0.019967346082655935
11,1787735322.2424169,delta/bbat/box/map50_95,-0.052768226270685115
11,1787735322.2424169,delta/bbat/pose/map50_95,-0.03810832164640776
11,1787735322.2424169,delta/coco/box/map50_95,-0.03111638273059314
11,1787735322.2424169,delta/coco/person/box/map50_95,-0.023835846096066482
11,1787735322.2424169,passed,1.0
11,1787735322.2424169,score/best_detect,0.5388171090240358
11,1787735322.2424169,score/best_joint,0.6807868114930011
11,1787735322.2424169,score/best_pose,0.7261238065410766
12,1787735928.8070476,delta/bbat/ball/box/map50_95,-0.07157513655092218
12,1787735928.8070476,delta/bbat/ball/pose/map50_95,-0.07901436562356934
12,1787735928.8070476,delta/bbat/bat/box/map50_95,-0.07411863008188502
12,1787735928.8070476,delta/bbat/bat/pose/map50_95,-0.04022614214820219
12,1787735928.8070476,delta/bbat/box/map50_95,-0.07284688331640365
12,1787735928.8070476,delta/bbat/pose/map50_95,-0.059620253885885655
12,1787735928.8070476,delta/coco/box/map50_95,-0.03322193532434653
12,1787735928.8070476,delta/coco/person/box/map50_95,-0.023694009273388716
12,1787735928.8070476,passed,1.0
12,1787735928.8070476,score/best_detect,0.537835251138498
12,1787735928.8070476,score/best_joint,0.6677735640338511
12,1787735928.8070476,score/best_pose,0.7053285118984783
13,1787736532.1028898,delta/bbat/ball/box/map50_95,-0.05031360802813861
13,1787736532.1028898,delta/bbat/ball/pose/map50_95,-0.06823354341581145
13,1787736532.1028898,delta/bbat/bat/box/map50_95,-0.0645387865095649
13,1787736532.1028898,delta/bbat/bat/pose/map50_95,-0.027386442325117
13,1787736532.1028898,delta/bbat/box/map50_95,-0.0574261972688519
13,1787736532.1028898,delta/bbat/pose/map50_95,-0.04780999287046428
13,1787736532.1028898,delta/coco/box/map50_95,-0.02914459738709302
13,1787736532.1028898,delta/coco/person/box/map50_95,-0.021212027682820378
13,1787736532.1028898,passed,1.0
13,1787736532.1028898,score/best_detect,0.5411149109024089
13,1787736532.1028898,score/best_joint,0.6768936695550944
13,1787736532.1028898,score/best_pose,0.7189439854299648
14,1787737133.7735147,delta/bbat/ball/box/map50_95,-0.051305579209825924
14,1787737133.7735147,delta/bbat/ball/pose/map50_95,-0.0543610151515278
14,1787737133.7735147,delta/bbat/bat/box/map50_95,-0.04888708902712047
14,1787737133.7735147,delta/bbat/bat/pose/map50_95,-0.03112504567152674
14,1787737133.7735147,delta/bbat/box/map50_95,-0.05009633411847325
14,1787737133.7735147,delta/bbat/pose/map50_95,-0.04274303041152716
14,1787737133.7735147,delta/coco/box/map50_95,-0.02635783719976814
14,1787737133.7735147,delta/coco/person/box/map50_95,-0.021517790235621836
14,1787737133.7735147,passed,1.0
14,1787737133.7735147,score/best_detect,0.5423554097196706
14,1787737133.7735147,score/best_joint,0.6808826266956497
14,1787737133.7735147,score/best_pose,0.7251423982346228
15,1787737737.104801,delta/bbat/ball/box/map50_95,-0.03980303152098491
15,1787737737.104801,delta/bbat/ball/pose/map50_95,-0.029236505295879178
15,1787737737.104801,delta/bbat/bat/box/map50_95,-0.032344261723689094
15,1787737737.104801,delta/bbat/bat/pose/map50_95,-0.024230414854336857
15,1787737737.104801,delta/bbat/box/map50_95,-0.03607364662233703
15,1787737737.104801,delta/bbat/pose/map50_95,-0.026733460075107907
15,1787737737.104801,delta/coco/box/map50_95,-0.02365987417477028
15,1787737737.104801,delta/coco/person/box/map50_95,-0.01813712866674211
15,1787737737.104801,passed,1.0
15,1787737737.104801,score/best_detect,0.5453947220166094
15,1787737737.104801,score/best_joint,0.6913067172482201
15,1787737737.104801,score/best_pose,0.7401585271509006
16,1787738342.5821185,delta/bbat/ball/box/map50_95,-0.04298832462151503
16,1787738342.5821185,delta/bbat/ball/pose/map50_95,-0.05649787420167596
16,1787738342.5821185,delta/bbat/bat/box/map50_95,-0.027782634372888304
16,1787738342.5821185,delta/bbat/bat/pose/map50_95,-0.013897804938403757
16,1787738342.5821185,delta/bbat/box/map50_95,-0.03538547949720172
16,1787738342.5821185,delta/bbat/pose/map50_95,-0.03519783957003997
16,1787738342.5821185,delta/coco/box/map50_95,-0.02260698128036226
16,1787738342.5821185,delta/coco/person/box/map50_95,-0.016515025130784178
16,1787738342.5821185,passed,1.0
16,1787738342.5821185,score/best_detect,0.5467322202317924
16,1787738342.5821185,score/best_joint,0.6885935981613476
16,1787738342.5821185,score/best_pose,0.7362704209660021
17,1787738945.0472229,delta/bbat/ball/box/map50_95,-0.04515766026376844
17,1787738945.0472229,delta/bbat/ball/pose/map50_95,-0.04763491376382378
17,1787738945.0472229,delta/bbat/bat/box/map50_95,-0.029790893214453718
17,1787738945.0472229,delta/bbat/bat/pose/map50_95,-0.02023841160866513
17,1787738945.0472229,delta/bbat/box/map50_95,-0.0374742767391113
17,1787738945.0472229,delta/bbat/pose/map50_95,-0.03393666268624451
17,1787738945.0472229,delta/coco/box/map50_95,-0.021034968701879098
17,1787738945.0472229,delta/coco/person/box/map50_95,-0.01504831742188939
17,1787738945.0472229,passed,1.0
17,1787738945.0472229,score/best_detect,0.5482515803754814
17,1787738945.0472229,score/best_joint,0.6892880535239594
17,1787738945.0472229,score/best_pose,0.7358566107869451
18,1787739547.0723193,delta/bbat/ball/box/map50_95,-0.03703657139095162
18,1787739547.0723193,delta/bbat/ball/pose/map50_95,-0.016410254250848966
18,1787739547.0723193,delta/bbat/bat/box/map50_95,-0.030272768773266012
18,1787739547.0723193,delta/bbat/bat/pose/map50_95,-0.021174729474068732
18,1787739547.0723193,delta/bbat/box/map50_95,-0.033654670082108984
18,1787739547.0723193,delta/bbat/pose/map50_95,-0.018792491862458904
18,1787739547.0723193,delta/coco/box/map50_95,-0.019405090087954435
18,1787739547.0723193,delta/coco/person/box/map50_95,-0.014754670804808856
18,1787739547.0723193,passed,1.0
