global_epoch,stage,images/detect,images/pose,loss/detect_mean,loss/joint_mean,loss/pose_mean,macros,passes/detect,passes/pose,pose_wraps
0,J0,0.0,5964.0,0.0,16.203820693580838,16.203820693580838,373.0,0.0,1.0,0.0
1,J0,0.0,5964.0,0.0,9.716263234415445,9.716263234415445,373.0,0.0,1.0,0.0
2,J0,0.0,5964.0,0.0,8.722584020203987,8.722584020203987,373.0,0.0,1.0,0.0
3,J0,0.0,5964.0,0.0,7.98817555269565,7.98817555269565,373.0,0.0,1.0,0.0
4,J0,0.0,5964.0,0.0,7.361335346956208,7.361335346956208,373.0,0.0,1.0,0.0
5,J0,0.0,5964.0,0.0,6.901773379842041,6.901773379842041,373.0,0.0,1.0,0.0
6,J0,0.0,5964.0,0.0,6.565201763176103,6.565201763176103,373.0,0.0,1.0,0.0
7,J0,0.0,5964.0,0.0,6.2428328125849415,6.2428328125849415,373.0,0.0,1.0,0.0
8,J1,118287.0,7404.0,1.818948906700946,2.547431679661108,5.462984828031881,463.0,1.0,1.2414486921529175,1.0
9,J1,118287.0,7404.0,1.897871443036655,2.488463432103975,4.8518321476776105,463.0,1.0,1.2414486921529175,1.0
10,J1,118287.0,7404.0,1.886837799307816,2.3083024423700857,3.9924963366850075,463.0,1.0,1.2414486921529175,1.0
11,J1,118287.0,7404.0,1.882932552944679,2.1996371365177114,3.4675607472609857,463.0,1.0,1.2414486921529175,1.0
12,J1,118287.0,7404.0,1.8792819037378543,2.0881720020686907,2.9251259490002304,463.0,1.0,1.2414486921529175,1.0
13,J1,118287.0,7404.0,1.881645142475266,2.0233480237421158,2.5889811794027517,463.0,1.0,1.2414486921529175,1.0
14,J1,118287.0,7404.0,1.888924277206589,1.998290942249064,2.434943068291547,463.0,1.0,1.2414486921529175,1.0
15,J1,118287.0,7404.0,1.8740314275085026,1.9310617306972242,2.1597753645342017,463.0,1.0,1.2414486921529175,1.0
16,J1,118287.0,7404.0,1.8615835403585184,1.8932038641696878,2.0217178023743796,463.0,1.0,1.2414486921529175,1.0
17,J1,118287.0,7404.0,1.8502286143004891,1.8579928344406609,1.890949981139197,463.0,1.0,1.2414486921529175,1.0
18,J1,118287.0,7404.0,1.8392844001920754,1.8341815599629638,1.8132621534832873,463.0,1.0,1.2414486921529175,1.0
19,J1,118287.0,7404.0,1.8250200455638248,1.8025806107085076,1.7128524782849543,463.0,1.0,1.2414486921529175,1.0
20,J1,118287.0,7404.0,1.8172464259063625,1.7693393209188264,1.5763142987369267,463.0,1.0,1.2414486921529175,1.0
21,J1,118287.0,7404.0,1.8108387990562915,1.758206374289921,1.5465808424802807,463.0,1.0,1.2414486921529175,1.0
22,J1,118287.0,7404.0,1.8024515292601508,1.7388843504536315,1.485637227243375,463.0,1.0,1.2414486921529175,1.0
23,J1,118287.0,7404.0,1.7990032806431313,1.7260937360124344,1.4339081237665194,463.0,1.0,1.2414486921529175,1.0
24,J1,118287.0,7404.0,1.7952699133733596,1.712835046851953,1.383283339082583,463.0,1.0,1.2414486921529175,1.0
25,J1,118287.0,7404.0,1.7917436127776056,1.7051042282246616,1.356159783259783,463.0,1.0,1.2414486921529175,1.0
26,J1,118287.0,7404.0,1.7908315194418327,1.6911283128290753,1.292645334617825,463.0,1.0,1.2414486921529175,1.0
27,J1,118287.0,7404.0,1.7895926177273414,1.6876506831029767,1.2789597580846357,463.0,1.0,1.2414486921529175,1.0
28,J2,118287.0,7404.0,1.7838203475776582,1.682451239154012,1.2763747210634007,463.0,1.0,1.2414486921529175,1.0
29,J2,118287.0,7404.0,1.8313706675751058,1.7758221379847197,1.552206073562111,463.0,1.0,1.2414486921529175,1.0
30,J2,118287.0,7404.0,1.8488092874059054,1.7974486260932505,1.5912227504386056,463.0,1.0,1.2414486921529175,1.0
31,J2,118287.0,7404.0,1.8577263369061947,1.8011236227030727,1.5789568465442545,463.0,1.0,1.2414486921529175,1.0
32,J2,118287.0,7404.0,1.8691997775591127,1.8045019182307496,1.544114003240708,463.0,1.0,1.2414486921529175,1.0
33,J2,118287.0,7404.0,1.8738009352290053,1.8098338846082385,1.556572669779913,463.0,1.0,1.2414486921529175,1.0
34,J2,118287.0,7404.0,1.8740415784757498,1.8058631441763082,1.5317216043147701,463.0,1.0,1.2414486921529175,1.0
35,J2,118287.0,7404.0,1.8802768627264368,1.8134115300683176,1.5447171815081844,463.0,1.0,1.2414486921529175,1.0
36,J2,118287.0,7404.0,1.8823915962713882,1.8020037983594999,1.481934641838589,463.0,1.0,1.2414486921529175,1.0
37,J2,118287.0,7404.0,1.8821240620969173,1.8132550394732447,1.5391443815184953,463.0,1.0,1.2414486921529175,1.0
38,J2,118287.0,7404.0,1.883669949596159,1.7957062949595315,1.4457910872355852,463.0,1.0,1.2414486921529175,1.0
39,J2,118287.0,7404.0,1.8827385301153066,1.7921005140851098,1.429794566042677,463.0,1.0,1.2414486921529175,1.0
40,J2,118287.0,7404.0,1.8867905401083622,1.7873175146032199,1.391034182569647,463.0,1.0,1.2414486921529175,1.0
41,J2,118287.0,7404.0,1.885772135197112,1.7852761388580254,1.3803592512634624,463.0,1.0,1.2414486921529175,1.0
42,J2,118287.0,7404.0,1.8828683580786214,1.7762134749242264,1.3461469644343511,463.0,1.0,1.2414486921529175,1.0
43,J2,118287.0,7404.0,1.8828199953655862,1.7734690662147834,1.3350047186733516,463.0,1.0,1.2414486921529175,1.0
44,J2,118287.0,7404.0,1.8398618459070657,1.698992768317526,1.1315544513288154,463.0,1.0,1.2414486921529175,1.0
45,J2,118287.0,7404.0,1.8297064521894877,1.6783972666450684,1.0747459319911732,463.0,1.0,1.2414486921529175,1.0
46,J2,118287.0,7404.0,1.8292047677386016,1.676200877676085,1.0647221712857438,463.0,1.0,1.2414486921529175,1.0
47,J2,118287.0,7404.0,1.8269614921632453,1.6715918977351565,1.0506748429251516,463.0,1.0,1.2414486921529175,1.0
48,J2,118287.0,7404.0,1.8261681581154847,1.6671126246040382,1.0298065365101439,463.0,1.0,1.2414486921529175,1.0
49,J2,118287.0,7404.0,1.827770071971268,1.669909288730442,1.0378680951784651,463.0,1.0,1.2414486921529175,1.0
50,J2,118287.0,7404.0,1.828236504165118,1.6684098560025655,1.0276676724885747,463.0,1.0,1.2414486921529175,1.0
51,J2,118287.0,7404.0,1.8288083909844586,1.6723628653065605,1.0465049319882962,463.0,1.0,1.2414486921529175,1.0
52,J2,118287.0,7404.0,1.828499236388209,1.663633162534176,1.004480082431012,463.0,1.0,1.2414486921529175,1.0
53,J3,118287.0,7404.0,1.8091681210632538,1.6376885785414568,0.9509681872198351,463.0,1.0,1.2414486921529175,1.0
54,J3,118287.0,7404.0,1.7772659235259332,1.6051936814886265,0.913401362832851,463.0,1.0,1.2414486921529175,1.0
55,J3,118287.0,7404.0,1.78263456237907,1.6089211977086002,0.9152099087971214,463.0,1.0,1.2414486921529175,1.0
56,J3,118287.0,7404.0,1.7876897222191315,1.612212057450079,0.9087756915326893,463.0,1.0,1.2414486921529175,1.0
57,J3,118287.0,7404.0,1.7869568895660541,1.6109959772819236,0.9064126603349617,463.0,1.0,1.2414486921529175,1.0
58,J3,118287.0,7404.0,1.7913004712734284,1.6154202047400188,0.9146989650303837,463.0,1.0,1.2414486921529175,1.0
59,J3,118287.0,7404.0,1.7918552551641045,1.6158773750723296,0.9138170559943398,463.0,1.0,1.2414486921529175,1.0
60,J3,118287.0,7404.0,1.7916221296318535,1.6142193954758195,0.9055272009100932,463.0,1.0,1.2414486921529175,1.0
61,J3,118287.0,7404.0,1.7919669842372745,1.611775934682465,0.8908856910734418,463.0,1.0,1.2414486921529175,1.0
62,J3,118287.0,7404.0,1.7927633446108875,1.6125862360120766,0.8875223425901754,463.0,1.0,1.2414486921529175,1.0
63,J3,118287.0,7404.0,1.7933031110194266,1.6119223299483063,0.8863841764737567,463.0,1.0,1.2414486921529175,1.0
