epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.552,1.17399,1.29534,1.03377,0.83413,0.52231,0.58575,0.39671,1.14699,1.38691,1.02494,0.00332288,0.00332288,0.070094
2,62.995,1.19829,0.96126,1.01971,0.82087,0.5552,0.5946,0.37852,1.21212,1.27314,1.01532,0.00665459,0.00665459,0.0400924
3,90.1287,1.31951,1.11383,1.08042,0.65902,0.45911,0.52665,0.2612,1.58736,1.79311,1.25191,0.00997979,0.00997979,0.0100843
4,117.037,1.44055,1.28626,1.15068,0.79834,0.41916,0.48498,0.26477,1.55436,1.76387,1.19944,0.00997803,0.00997803,0.00997803
5,143.984,1.43615,1.254,1.16635,0.72697,0.44347,0.4723,0.27747,1.57521,1.78826,1.27293,0.00996097,0.00996097,0.00996097
6,170.819,1.36851,1.13512,1.13685,0.81355,0.50789,0.58365,0.32288,1.3564,1.39385,1.13813,0.00993906,0.00993906,0.00993906
7,197.591,1.33107,1.06821,1.13424,0.83385,0.50137,0.56043,0.3426,1.29535,1.36497,1.13644,0.00991232,0.00991232,0.00991232
8,224.432,1.27854,0.99662,1.09782,0.79015,0.50372,0.54445,0.32229,1.43901,1.49886,1.21109,0.00988079,0.00988079,0.00988079
9,251.332,1.26836,0.98333,1.09755,0.69434,0.46475,0.51421,0.33728,1.23467,1.53352,1.07156,0.00984449,0.00984449,0.00984449
10,278.08,1.22506,0.92545,1.0718,0.83203,0.51813,0.54857,0.33829,1.31151,1.45583,1.1432,0.00980345,0.00980345,0.00980345
11,305.355,1.20762,0.89289,1.07113,0.83315,0.49373,0.54024,0.33912,1.3314,1.53551,1.16827,0.00975773,0.00975773,0.00975773
12,332.034,1.17429,0.85805,1.05161,0.89813,0.71317,0.7516,0.47384,1.1967,1.15504,1.07095,0.00970736,0.00970736,0.00970736
13,359.039,1.15971,0.83449,1.05055,0.80557,0.52663,0.56265,0.35973,1.22606,1.46952,1.1025,0.00965239,0.00965239,0.00965239
14,385.864,1.129,0.8081,1.04065,0.82271,0.52034,0.55902,0.35393,1.28605,1.52748,1.15192,0.00959289,0.00959289,0.00959289
15,412.839,1.13151,0.79515,1.03673,0.82236,0.55058,0.61477,0.39166,1.19582,1.22953,1.103,0.00952889,0.00952889,0.00952889
16,439.719,1.10162,0.75819,1.02096,0.89484,0.54213,0.58099,0.36864,1.20173,1.24142,1.13497,0.00946048,0.00946048,0.00946048
17,466.45,1.0971,0.75437,1.02319,0.85972,0.51983,0.56731,0.37023,1.19181,1.25951,1.11241,0.00938772,0.00938772,0.00938772
18,493.238,1.07684,0.74281,1.01899,0.84124,0.49666,0.54353,0.35719,1.16619,1.48185,1.06816,0.00931067,0.00931067,0.00931067
19,520.077,1.06325,0.71402,1.00431,0.83384,0.51407,0.55933,0.36311,1.18091,1.48902,1.08764,0.00922942,0.00922942,0.00922942
20,547.014,1.04863,0.70579,1.00528,0.87824,0.55305,0.6075,0.39879,1.13701,1.32369,1.05459,0.00914405,0.00914405,0.00914405
21,573.863,1.03582,0.69151,0.99228,0.8344,0.55862,0.62174,0.40725,1.13814,1.20313,1.04397,0.00905463,0.00905463,0.00905463
22,600.56,1.03064,0.68482,0.99174,0.91482,0.54275,0.59261,0.385,1.12276,1.23116,1.06738,0.00896127,0.00896127,0.00896127
23,627.356,1.01856,0.68068,0.99108,0.8523,0.52204,0.60353,0.38803,1.15331,1.35999,1.0509,0.00886404,0.00886404,0.00886404
24,654.041,1.00222,0.6635,0.98348,0.92489,0.53179,0.58546,0.39547,1.1204,1.15783,1.06632,0.00876305,0.00876305,0.00876305
25,680.962,0.99259,0.64808,0.98083,0.89606,0.5686,0.60624,0.40118,1.15072,1.14725,1.082,0.00865839,0.00865839,0.00865839
26,707.763,0.98123,0.63673,0.97853,0.89508,0.54359,0.59744,0.40439,1.12906,1.27232,1.06508,0.00855018,0.00855018,0.00855018
27,734.724,0.97321,0.64005,0.97168,0.93351,0.54117,0.60572,0.40421,1.12893,1.30997,1.09614,0.00843851,0.00843851,0.00843851
28,761.487,0.97218,0.62761,0.96767,0.87867,0.52975,0.56635,0.37103,1.14765,1.3935,1.09573,0.00832349,0.00832349,0.00832349
29,788.258,0.95135,0.6122,0.96429,0.95259,0.55597,0.61421,0.40192,1.13649,1.305,1.08665,0.00820525,0.00820525,0.00820525
