epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1675,2.08341,2.88884,2.20588,0.65373,0.43339,0.46472,0.28014,1.60336,1.72201,1.52503,0.000332288,0.000332288,0.0671034
2,90.485,1.44599,1.21277,1.34891,0.69404,0.52869,0.56751,0.37563,1.23852,1.22713,1.13535,0.000665368,0.000665368,0.0341032
3,129.866,1.24815,0.96051,1.14689,0.68245,0.5934,0.59162,0.38767,1.2467,1.23359,1.11088,0.000997431,0.000997431,0.00110192
4,168.286,1.17421,0.87661,1.09694,0.72575,0.5849,0.65583,0.41818,1.18913,1.15591,1.08725,0.000996569,0.000996569,0.000996569
5,207.152,1.14121,0.82656,1.06534,0.86313,0.59511,0.66514,0.42969,1.12685,1.10901,1.0577,0.000993906,0.000993906,0.000993906
6,245.764,1.08617,0.76999,1.04047,0.87785,0.61297,0.65024,0.43199,1.1366,1.15598,1.04411,0.000990489,0.000990489,0.000990489
7,284.644,1.06717,0.7415,1.02386,0.88223,0.57623,0.6132,0.42643,1.10146,1.2404,1.05213,0.000986323,0.000986323,0.000986323
8,322.916,1.05331,0.71161,1.00726,0.85098,0.58795,0.62328,0.4232,1.09533,1.30724,1.06106,0.000981415,0.000981415,0.000981415
9,361.574,1.03348,0.69726,0.98986,0.90048,0.60124,0.65811,0.45041,1.05912,1.19751,1.0336,0.000975773,0.000975773,0.000975773
10,400.114,1.0044,0.66979,0.9778,0.85337,0.59314,0.62939,0.43077,1.11523,1.20524,1.06222,0.000969405,0.000969405,0.000969405
11,438.697,0.99032,0.64286,0.96022,0.91281,0.6091,0.66065,0.44657,1.10793,1.22694,1.05659,0.00096232,0.00096232,0.00096232
12,477.072,0.97083,0.62583,0.94697,0.92103,0.60564,0.64857,0.42565,1.11588,1.25971,1.05554,0.000954531,0.000954531,0.000954531
13,515.662,0.95721,0.6095,0.94429,0.86743,0.61247,0.63671,0.44007,1.10412,1.28089,1.03407,0.000946048,0.000946048,0.000946048
14,554.264,0.93805,0.59028,0.93731,0.8471,0.63073,0.66305,0.45981,1.08041,1.21582,1.00174,0.000936886,0.000936886,0.000936886
15,592.356,0.92206,0.57474,0.92456,0.83199,0.60631,0.64529,0.44653,1.10537,1.22056,1.00764,0.000927057,0.000927057,0.000927057
16,630.983,0.91842,0.56901,0.92474,0.95041,0.59559,0.64369,0.44378,1.08434,1.25808,1.03275,0.000916577,0.000916577,0.000916577
17,669.564,0.90042,0.55443,0.91879,0.91495,0.61667,0.6471,0.4633,1.06395,1.17306,1.01119,0.000905463,0.000905463,0.000905463
18,708.119,0.88807,0.54828,0.91883,0.91029,0.59923,0.64062,0.43915,1.10875,1.32742,1.05176,0.000893732,0.000893732,0.000893732
19,747.266,0.87532,0.53539,0.91034,0.89137,0.60287,0.63857,0.43172,1.08265,1.26393,1.0183,0.000881401,0.000881401,0.000881401
20,785.679,0.86204,0.5339,0.9101,0.91487,0.62193,0.65995,0.45366,1.09943,1.21036,1.041,0.00086849,0.00086849,0.00086849
21,824.523,0.85104,0.52082,0.90395,0.9331,0.61957,0.64686,0.44637,1.08535,1.19498,1.02896,0.000855018,0.000855018,0.000855018
22,862.825,0.84497,0.51875,0.90437,0.93522,0.59741,0.62055,0.42551,1.10443,1.38122,1.0836,0.000841006,0.000841006,0.000841006
23,900.85,0.82867,0.50121,0.89974,0.87796,0.79021,0.81612,0.5214,1.09084,1.04007,1.02205,0.000826477,0.000826477,0.000826477
24,939.24,0.81179,0.49728,0.89611,0.9107,0.57616,0.60584,0.42047,1.15777,1.44952,1.10374,0.000811452,0.000811452,0.000811452
25,977.661,0.80351,0.49142,0.8953,0.85217,0.65723,0.79649,0.50028,1.12641,1.12917,1.02929,0.000795954,0.000795954,0.000795954
26,1015.74,0.79887,0.48813,0.89215,0.91808,0.62397,0.67876,0.46424,1.07,1.09905,1.00308,0.000780007,0.000780007,0.000780007
27,1053.74,0.78807,0.48248,0.89029,0.87707,0.62765,0.65783,0.45043,1.09094,1.2174,1.05053,0.000763637,0.000763637,0.000763637
28,1092.25,0.78552,0.4744,0.88917,0.89613,0.62284,0.6591,0.44592,1.12685,1.34238,1.07336,0.000746868,0.000746868,0.000746868
29,1130.88,0.76985,0.47052,0.88693,0.94951,0.60166,0.66236,0.45681,1.10133,1.2628,1.0527,0.000729725,0.000729725,0.000729725
30,1169.61,0.75477,0.45771,0.88059,0.89673,0.62266,0.65667,0.4495,1.11851,1.36763,1.07876,0.000712237,0.000712237,0.000712237
31,1208.05,0.75148,0.45968,0.88267,0.95003,0.62748,0.68249,0.46348,1.08152,1.17905,1.04002,0.000694428,0.000694428,0.000694428
32,1247.14,0.7438,0.45554,0.88194,0.90868,0.63097,0.66279,0.45803,1.1026,1.22499,1.05887,0.000676328,0.000676328,0.000676328
33,1285.64,0.73917,0.44403,0.87749,0.83537,0.6674,0.76733,0.4882,1.13583,1.13912,1.04042,0.000657963,0.000657963,0.000657963
