epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6942,2.79349,127.348,2.82663,0.01297,0.04502,0.00469,0.00169,2.01147,73.0663,2.53147,0.00332288,0.00332288,0.070094
2,46.8497,1.94362,71.9337,2.16411,0.01126,0.12819,0.00864,0.00283,1.82032,61.4624,2.20692,0.00661565,0.00661565,0.0400535
3,66.4896,1.81662,65.2922,1.9627,0.00878,0.01547,0.00251,0.00093,1.801,60.8634,2.0833,0.00974753,0.00974753,0.00985203
4,86.1257,1.77841,63.298,1.88675,0.00817,0.10405,0.00584,0.00221,1.75017,58.5926,2.03282,0.00946048,0.00946048,0.00946048
5,105.537,1.75428,62.3613,1.83145,0.00678,0.34821,0.00473,0.00219,1.64862,57.6745,1.90174,0.00905463,0.00905463,0.00905463
6,125.134,1.67731,60.1438,1.78087,0.00682,0.32662,0.00538,0.0024,1.70958,56.6272,1.91218,0.00855018,0.00855018,0.00855018
7,144.711,1.67618,59.7978,1.76924,0.009,0.30807,0.00574,0.00271,1.71378,57.283,1.90867,0.00795954,0.00795954,0.00795954
8,164.33,1.64182,58.9453,1.7369,0.00949,0.33893,0.00584,0.00298,1.69689,55.3074,1.89407,0.00729725,0.00729725,0.00729725
9,183.911,1.64065,59.2807,1.72412,0.00924,0.33976,0.0063,0.00316,1.663,55.9836,1.86802,0.00657963,0.00657963,0.00657963
10,203.563,1.6036,56.5895,1.70413,0.00814,0.3202,0.00578,0.0027,1.59637,55.1565,1.81175,0.00582435,0.00582435,0.00582435
11,223.941,1.56603,89.2729,1.69663,0.00979,0.33439,0.00624,0.00305,1.65716,57.7177,1.85454,0.00505,0.00505,0.00505
12,243.738,1.55009,89.1294,1.68483,0.01019,0.33241,0.00723,0.00358,1.63264,56.919,1.83894,0.00427565,0.00427565,0.00427565
13,263.332,1.53781,89.1352,1.66489,0.01009,0.30309,0.00678,0.00339,1.61223,56.3472,1.82689,0.00352037,0.00352037,0.00352037
14,282.949,1.51607,87.3353,1.6444,0.00924,0.30834,0.00662,0.00353,1.56268,53.8424,1.79857,0.00280275,0.00280275,0.00280275
15,302.945,1.50664,87.7902,1.63498,0.01113,0.31509,0.00698,0.0035,1.64782,55.6485,1.85058,0.00214046,0.00214046,0.00214046
16,322.841,1.4963,87.1731,1.62168,0.00991,0.32584,0.00641,0.00332,1.61086,55.3272,1.82177,0.00154982,0.00154982,0.00154982
17,342.525,1.47969,86.5234,1.60968,0.00992,0.31573,0.0064,0.00347,1.57682,54.7604,1.80818,0.00104537,0.00104537,0.00104537
18,362.146,1.47991,86.1526,1.60917,0.01015,0.28012,0.0067,0.00361,1.60394,54.7627,1.8079,0.000639518,0.000639518,0.000639518
19,381.723,1.45995,85.9588,1.59426,0.00976,0.30121,0.00639,0.00344,1.5959,55.6441,1.79541,0.00034227,0.00034227,0.00034227
20,401.279,1.47021,85.6659,1.59831,0.01029,0.31256,0.00654,0.00352,1.5942,55.3023,1.79032,0.000160943,0.000160943,0.000160943
