epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0295,1.70268,2.13662,1.27936,0.69907,0.50948,0.53282,0.33225,1.37194,1.53308,1.12918,0.00332288,0.00332288,0.070094
2,90.4747,1.30174,1.09447,1.04291,0.74388,0.48727,0.55703,0.30112,1.38315,1.78971,1.18467,0.00665459,0.00665459,0.0400924
3,129.902,1.38272,1.21358,1.09481,0.54163,0.39551,0.44269,0.22352,1.57158,2.36174,1.19926,0.00997979,0.00997979,0.0100843
4,168.875,1.47696,1.36517,1.16905,0.62949,0.43198,0.48772,0.28744,1.47293,1.67424,1.18197,0.00997803,0.00997803,0.00997803
5,207.531,1.44557,1.30811,1.15677,0.71856,0.49552,0.52672,0.30902,1.4189,1.49409,1.12359,0.00996097,0.00996097,0.00996097
6,246.017,1.37187,1.17328,1.13566,0.81015,0.5025,0.59102,0.3503,1.34366,1.31248,1.11091,0.00993906,0.00993906,0.00993906
7,285.032,1.33707,1.10777,1.12579,0.87479,0.45087,0.53162,0.32685,1.332,1.65025,1.13798,0.00991232,0.00991232,0.00991232
8,323.279,1.29874,1.03491,1.10377,0.68962,0.51067,0.50674,0.31588,1.30579,1.56213,1.12673,0.00988079,0.00988079,0.00988079
9,361.843,1.26924,0.99419,1.09161,0.71572,0.48414,0.51356,0.32619,1.3179,1.63214,1.09916,0.00984449,0.00984449,0.00984449
10,400.747,1.23024,0.94423,1.07421,0.78873,0.50484,0.54344,0.33269,1.33818,1.41858,1.15334,0.00980345,0.00980345,0.00980345
11,439.424,1.20775,0.91027,1.07113,0.81385,0.45985,0.5101,0.32684,1.3252,1.62388,1.15744,0.00975773,0.00975773,0.00975773
12,478.171,1.17849,0.87378,1.05442,0.7222,0.50621,0.55619,0.36086,1.17891,1.39415,1.07394,0.00970736,0.00970736,0.00970736
13,516.847,1.15425,0.84312,1.04841,0.89329,0.53322,0.61051,0.3767,1.19112,1.30513,1.05964,0.00965239,0.00965239,0.00965239
14,555.422,1.14102,0.81799,1.03829,0.90542,0.52255,0.5659,0.35015,1.24639,1.39337,1.0937,0.00959289,0.00959289,0.00959289
15,594.054,1.12766,0.80441,1.03378,0.87949,0.57058,0.68629,0.42451,1.18932,1.19532,1.0801,0.00952889,0.00952889,0.00952889
16,633.085,1.10961,0.77923,1.02962,0.89777,0.54606,0.59685,0.39383,1.13254,1.36966,1.03793,0.00946048,0.00946048,0.00946048
17,671.361,1.09557,0.75592,1.02271,0.84714,0.55406,0.60606,0.38513,1.19027,1.25198,1.07115,0.00938772,0.00938772,0.00938772
18,709.784,1.08211,0.7497,1.02326,0.85973,0.56972,0.61566,0.38809,1.16144,1.13041,1.08949,0.00931067,0.00931067,0.00931067
19,748.623,1.06187,0.72204,1.00936,0.80859,0.54692,0.55699,0.37904,1.15769,1.29812,1.10993,0.00922942,0.00922942,0.00922942
20,787.006,1.04965,0.71323,1.01517,0.89266,0.54333,0.59447,0.38133,1.21589,1.31958,1.15083,0.00914405,0.00914405,0.00914405
21,825.591,1.03994,0.70005,1.00126,0.87607,0.57218,0.63306,0.41692,1.16259,1.10373,1.09929,0.00905463,0.00905463,0.00905463
22,864.189,1.02659,0.68506,0.99904,0.77488,0.55362,0.58291,0.37864,1.22075,1.36446,1.13485,0.00896127,0.00896127,0.00896127
23,902.252,1.01467,0.67186,0.99461,0.89759,0.60791,0.646,0.4271,1.0932,1.13237,1.06488,0.00886404,0.00886404,0.00886404
24,941.305,0.98901,0.66561,0.98725,0.90331,0.56588,0.59917,0.3929,1.16822,1.21182,1.12887,0.00876305,0.00876305,0.00876305
25,979.705,0.98748,0.65482,0.99232,0.91556,0.55035,0.64173,0.42324,1.12357,1.14455,1.08521,0.00865839,0.00865839,0.00865839
26,1018.83,0.97745,0.63661,0.98502,0.87567,0.57349,0.61315,0.4097,1.22286,1.16253,1.14972,0.00855018,0.00855018,0.00855018
27,1057.47,0.97668,0.64323,0.98288,0.88422,0.54603,0.59941,0.40201,1.18437,1.33523,1.11109,0.00843851,0.00843851,0.00843851
28,1095.88,0.9597,0.62757,0.97537,0.80773,0.54398,0.57935,0.39504,1.16064,1.32078,1.08427,0.00832349,0.00832349,0.00832349
29,1135.16,0.95725,0.62167,0.97431,0.88617,0.57225,0.61151,0.39704,1.19807,1.2145,1.11373,0.00820525,0.00820525,0.00820525
30,1173.74,0.93815,0.59956,0.96816,0.9169,0.54434,0.59797,0.40805,1.17329,1.48638,1.10136,0.00808389,0.00808389,0.00808389
31,1212.15,0.9323,0.60185,0.96742,0.88419,0.59186,0.61888,0.4174,1.07827,1.19924,1.04075,0.00795954,0.00795954,0.00795954
32,1251.05,0.92208,0.59531,0.96535,0.93056,0.57857,0.64236,0.43093,1.07112,1.13944,1.05735,0.00783231,0.00783231,0.00783231
33,1289.52,0.91232,0.58002,0.95761,0.87137,0.56428,0.61193,0.41167,1.07925,1.20788,1.06497,0.00770234,0.00770234,0.00770234
34,1327.94,0.90194,0.57223,0.95523,0.92433,0.54408,0.58984,0.40643,1.09749,1.33192,1.07358,0.00756976,0.00756976,0.00756976
35,1367,0.8947,0.57115,0.95066,0.87512,0.54749,0.57597,0.39241,1.12198,1.37229,1.08027,0.00743468,0.00743468,0.00743468
36,1405.34,0.88055,0.55989,0.94621,0.91222,0.56986,0.619,0.41825,1.10496,1.2084,1.08747,0.00729725,0.00729725,0.00729725
37,1444.3,0.87738,0.55809,0.95133,0.89354,0.58079,0.61654,0.4167,1.14046,1.12076,1.0823,0.00715761,0.00715761,0.00715761
38,1482.92,0.85924,0.53558,0.94389,0.932,0.57217,0.61265,0.42132,1.10355,1.32428,1.09432,0.00701588,0.00701588,0.00701588
39,1521.57,0.85853,0.52984,0.93502,0.86572,0.5565,0.61015,0.40705,1.16485,1.30599,1.11825,0.00687222,0.00687222,0.00687222
40,1560.82,0.84501,0.52684,0.93536,0.91347,0.58127,0.62519,0.43338,1.07733,1.28622,1.05081,0.00672675,0.00672675,0.00672675
41,1599.28,0.82781,0.51164,0.92876,0.92115,0.5873,0.62561,0.427,1.12519,1.28137,1.1079,0.00657963,0.00657963,0.00657963
42,1637.92,0.82413,0.51176,0.93274,0.91484,0.56376,0.59689,0.41257,1.11386,1.24496,1.09169,0.00643101,0.00643101,0.00643101
43,1676.58,0.81662,0.50626,0.92703,0.931,0.56458,0.62216,0.41903,1.10129,1.15439,1.06385,0.00628101,0.00628101,0.00628101
44,1714.8,0.8197,0.50412,0.92587,0.87555,0.56815,0.6086,0.41297,1.09691,1.32617,1.07816,0.00612981,0.00612981,0.00612981
45,1753.72,0.8034,0.49778,0.92317,0.93689,0.57721,0.62922,0.43581,1.05115,1.21233,1.03751,0.00597754,0.00597754,0.00597754
46,1792.16,0.78977,0.48586,0.91931,0.86947,0.5814,0.61901,0.42932,1.0472,1.35011,1.06111,0.00582435,0.00582435,0.00582435
47,1830.55,0.78772,0.48552,0.91811,0.87707,0.55969,0.61425,0.42456,1.07671,1.37624,1.07146,0.0056704,0.0056704,0.0056704
48,1869.18,0.77958,0.48495,0.91951,0.89281,0.55547,0.60465,0.41378,1.07665,1.40403,1.06127,0.00551584,0.00551584,0.00551584
49,1907.63,0.77202,0.47105,0.91555,0.78217,0.59649,0.62509,0.42693,1.10488,1.29822,1.07949,0.00536081,0.00536081,0.00536081
50,1945.6,0.76163,0.46488,0.90902,0.90809,0.55816,0.6088,0.42471,1.11528,1.36043,1.0963,0.00520548,0.00520548,0.00520548
51,1984.81,0.75316,0.45904,0.90918,0.93286,0.56522,0.61109,0.42486,1.08847,1.34033,1.08536,0.00505,0.00505,0.00505
52,2023.18,0.74917,0.45989,0.90625,0.93748,0.56765,0.61558,0.43644,1.08804,1.28555,1.08726,0.00489452,0.00489452,0.00489452
53,2062.23,0.73154,0.44611,0.90582,0.92442,0.56616,0.60167,0.4183,1.08085,1.37094,1.1188,0.00473919,0.00473919,0.00473919
54,2100.41,0.72802,0.44605,0.90178,0.91424,0.57076,0.61609,0.42202,1.05755,1.21544,1.09276,0.00458416,0.00458416,0.00458416
55,2139.12,0.72401,0.43644,0.90259,0.91397,0.55381,0.6035,0.42267,1.02677,1.23655,1.11067,0.0044296,0.0044296,0.0044296
56,2177.23,0.71107,0.42878,0.89897,0.90819,0.57837,0.60857,0.4294,1.04613,1.32724,1.08402,0.00427565,0.00427565,0.00427565
57,2215.82,0.69882,0.42753,0.89443,0.93554,0.58539,0.61783,0.43068,1.06109,1.32108,1.09961,0.00412246,0.00412246,0.00412246
58,2254.27,0.69937,0.41783,0.89246,0.89561,0.59649,0.6368,0.44949,1.01505,1.18043,1.0532,0.00397019,0.00397019,0.00397019
59,2292.37,0.69444,0.42294,0.89391,0.91814,0.57704,0.61173,0.42867,1.06698,1.35078,1.10204,0.00381899,0.00381899,0.00381899
60,2330.96,0.68079,0.40845,0.89303,0.9489,0.55966,0.60295,0.42621,1.08022,1.46821,1.08158,0.00366899,0.00366899,0.00366899
61,2369.95,0.67086,0.40389,0.88307,0.90942,0.56567,0.61687,0.43139,1.0416,1.39524,1.04623,0.00352037,0.00352037,0.00352037
62,2408.62,0.6627,0.39522,0.88866,0.87556,0.55321,0.5917,0.42168,0.99004,1.24827,1.07012,0.00337325,0.00337325,0.00337325
63,2447.47,0.66245,0.39732,0.88353,0.90351,0.55983,0.60288,0.41367,1.01293,1.27318,1.08539,0.00322778,0.00322778,0.00322778
64,2486.06,0.65568,0.39169,0.8828,0.87677,0.56574,0.5959,0.42434,1.04889,1.33568,1.09042,0.00308412,0.00308412,0.00308412
65,2524.32,0.63975,0.38178,0.87827,0.92147,0.55916,0.59594,0.42603,1.01096,1.21725,1.09091,0.00294239,0.00294239,0.00294239
66,2562.73,0.63603,0.37928,0.88043,0.8915,0.56464,0.58381,0.42157,1.02489,1.27099,1.07478,0.00280275,0.00280275,0.00280275
67,2601.67,0.63128,0.38024,0.87832,0.92473,0.56716,0.59596,0.41741,1.0594,1.31606,1.10786,0.00266532,0.00266532,0.00266532
68,2640.19,0.62973,0.37603,0.87655,0.89131,0.58099,0.60608,0.43045,1.02065,1.22742,1.09579,0.00253024,0.00253024,0.00253024
69,2678.67,0.61484,0.367,0.87219,0.92826,0.57084,0.61044,0.42937,1.02185,1.2105,1.09587,0.00239766,0.00239766,0.00239766
70,2716.66,0.60494,0.36286,0.8693,0.89546,0.59817,0.626,0.44044,1.00238,1.18783,1.08132,0.00226769,0.00226769,0.00226769
71,2754.68,0.59383,0.35729,0.86774,0.90754,0.58295,0.60388,0.42673,1.01732,1.24676,1.10329,0.00214046,0.00214046,0.00214046
72,2793.35,0.59515,0.35679,0.86737,0.92578,0.57676,0.60974,0.42791,1.01833,1.21824,1.09338,0.00201611,0.00201611,0.00201611
73,2831.28,0.58251,0.35159,0.86523,0.89766,0.58274,0.6165,0.43461,1.01329,1.16032,1.08687,0.00189475,0.00189475,0.00189475
74,2869.86,0.57967,0.34436,0.86453,0.9238,0.57085,0.60483,0.43234,0.99752,1.18389,1.07348,0.00177651,0.00177651,0.00177651
75,2908.93,0.57817,0.34716,0.86645,0.90836,0.58457,0.60979,0.4319,1.02004,1.21711,1.0866,0.00166149,0.00166149,0.00166149
76,2946.85,0.56933,0.34118,0.86268,0.91578,0.58338,0.60988,0.43035,1.01074,1.17983,1.09171,0.00154982,0.00154982,0.00154982
77,2985.03,0.56121,0.33703,0.85963,0.90588,0.59584,0.61367,0.43521,1.00143,1.17634,1.07449,0.00144161,0.00144161,0.00144161
78,3023.58,0.55544,0.33558,0.85996,0.90063,0.5934,0.60996,0.42862,1.00599,1.19867,1.07899,0.00133695,0.00133695,0.00133695
79,3061.9,0.54804,0.32952,0.85535,0.89575,0.59279,0.61727,0.4335,0.99021,1.11759,1.07974,0.00123596,0.00123596,0.00123596
80,3100.15,0.55156,0.32603,0.85449,0.8876,0.60359,0.62054,0.43299,0.99985,1.06698,1.07569,0.00113873,0.00113873,0.00113873
81,3139.22,0.54432,0.32245,0.85534,0.91231,0.59377,0.61729,0.42802,0.99565,1.15003,1.07724,0.00104537,0.00104537,0.00104537
82,3177.73,0.53747,0.31996,0.85761,0.91569,0.58453,0.60945,0.4265,0.99288,1.21532,1.07267,0.000955951,0.000955951,0.000955951
83,3216.16,0.52476,0.31515,0.84799,0.89507,0.59137,0.60794,0.4274,0.99095,1.22263,1.07248,0.000870577,0.000870577,0.000870577
84,3254.5,0.52806,0.31595,0.85254,0.89298,0.58986,0.60817,0.43277,0.99905,1.201,1.084,0.000789327,0.000789327,0.000789327
85,3293.15,0.52429,0.31167,0.84718,0.90601,0.58559,0.61337,0.43095,0.99283,1.22284,1.08123,0.000712282,0.000712282,0.000712282
86,3331.42,0.51988,0.3121,0.85022,0.89688,0.58418,0.60656,0.42737,0.9919,1.23273,1.07729,0.000639518,0.000639518,0.000639518
87,3370.23,0.51376,0.30682,0.85271,0.89784,0.59024,0.61209,0.42832,0.99282,1.21286,1.07008,0.000571106,0.000571106,0.000571106
88,3408.87,0.51162,0.30548,0.8492,0.89948,0.58384,0.6092,0.42432,0.99606,1.23631,1.075,0.000507115,0.000507115,0.000507115
89,3446.98,0.50622,0.30332,0.84817,0.91977,0.57559,0.60903,0.42262,1.00364,1.24588,1.07894,0.000447606,0.000447606,0.000447606
90,3484.94,0.50116,0.29613,0.84629,0.89771,0.58685,0.61106,0.42616,0.98863,1.20885,1.07469,0.00039264,0.00039264,0.00039264
91,3523.71,0.47265,0.26342,0.82284,0.91435,0.57812,0.6071,0.42643,1.02704,1.16895,1.1046,0.00034227,0.00034227,0.00034227
92,3562.35,0.46199,0.25684,0.81801,0.92132,0.5757,0.59714,0.42196,1.03383,1.19729,1.10809,0.000296546,0.000296546,0.000296546
93,3600.86,0.4523,0.25312,0.81754,0.91876,0.5749,0.59368,0.42331,1.03575,1.23546,1.11052,0.000255513,0.000255513,0.000255513
94,3639.56,0.45403,0.25225,0.81895,0.91687,0.57314,0.59216,0.42137,1.0344,1.25952,1.11364,0.000219212,0.000219212,0.000219212
95,3678.68,0.45212,0.25114,0.81859,0.9192,0.57232,0.5901,0.4202,1.0328,1.26042,1.11128,0.000187678,0.000187678,0.000187678
96,3716.89,0.44629,0.24992,0.8181,0.9162,0.57208,0.58928,0.42218,1.03212,1.25203,1.1154,0.000160943,0.000160943,0.000160943
97,3756.3,0.44209,0.24839,0.81596,0.92347,0.57402,0.59163,0.42251,1.02963,1.25784,1.11629,0.000139032,0.000139032,0.000139032
98,3794.47,0.43877,0.24769,0.81748,0.91708,0.57285,0.58973,0.42219,1.02603,1.26184,1.11439,0.000121968,0.000121968,0.000121968
99,3832.56,0.44035,0.24959,0.81544,0.91761,0.57306,0.59002,0.42081,1.02703,1.26052,1.11592,0.000109768,0.000109768,0.000109768
100,3871.18,0.43782,0.24613,0.81683,0.91733,0.57345,0.58872,0.42186,1.02796,1.25648,1.11677,0.000102443,0.000102443,0.000102443
