epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.204,1.77024,2.19051,1.32033,0.62308,0.63194,0.6329,0.39859,1.2998,1.35151,1.04154,0.00332288,0.00332288,0.070094
2,101.243,1.34244,1.15363,1.04736,0.74548,0.4494,0.51341,0.32216,1.32602,1.73423,1.15009,0.00665459,0.00665459,0.0400924
3,145.045,1.40338,1.25816,1.10331,0.47677,0.36165,0.35966,0.22959,1.55958,2.06444,1.23327,0.00997979,0.00997979,0.0100843
4,188.299,1.49887,1.3546,1.17627,0.62828,0.46221,0.44861,0.27515,1.50502,1.8624,1.18669,0.00997803,0.00997803,0.00997803
5,231.501,1.45567,1.28544,1.16588,0.75698,0.50912,0.5417,0.28076,1.46221,1.53488,1.18414,0.00996097,0.00996097,0.00996097
6,274.709,1.37835,1.16249,1.13318,0.80156,0.4502,0.51123,0.30593,1.34733,1.44264,1.10395,0.00993906,0.00993906,0.00993906
7,318.105,1.34437,1.11486,1.13118,0.79006,0.47949,0.5165,0.28861,1.48165,1.7877,1.19268,0.00991232,0.00991232,0.00991232
8,361.385,1.30265,1.03398,1.09998,0.76355,0.45365,0.53819,0.33141,1.34151,1.69793,1.17079,0.00988079,0.00988079,0.00988079
9,404.66,1.27676,0.99313,1.09222,0.76027,0.50629,0.53421,0.32613,1.34028,1.44817,1.13008,0.00984449,0.00984449,0.00984449
10,448.584,1.23132,0.93362,1.07817,0.7698,0.48616,0.53043,0.31615,1.35259,1.43907,1.19369,0.00980345,0.00980345,0.00980345
11,492.379,1.20726,0.90561,1.06949,0.75642,0.52199,0.52434,0.33834,1.30947,1.55629,1.1498,0.00975773,0.00975773,0.00975773
12,536.257,1.17527,0.86412,1.05153,0.76753,0.62269,0.65477,0.42077,1.16184,1.24485,1.05523,0.00970736,0.00970736,0.00970736
13,580.007,1.16302,0.84743,1.0537,0.78143,0.5361,0.60562,0.38151,1.20898,1.28736,1.08126,0.00965239,0.00965239,0.00965239
14,624.041,1.1385,0.81058,1.04278,0.7989,0.51716,0.55368,0.36442,1.21073,1.42097,1.08026,0.00959289,0.00959289,0.00959289
15,667.882,1.12166,0.79935,1.03528,0.88855,0.54238,0.58108,0.37995,1.18897,1.2809,1.12364,0.00952889,0.00952889,0.00952889
16,711.467,1.1068,0.77399,1.02849,0.85872,0.53274,0.57922,0.38714,1.16813,1.32452,1.11961,0.00946048,0.00946048,0.00946048
17,755.032,1.0914,0.75452,1.02416,0.77982,0.55173,0.56342,0.36584,1.25244,1.37291,1.13267,0.00938772,0.00938772,0.00938772
18,799.103,1.07975,0.74633,1.02147,0.80824,0.5486,0.58691,0.38566,1.20199,1.2242,1.10018,0.00931067,0.00931067,0.00931067
19,842.749,1.06313,0.71594,1.01181,0.87998,0.53023,0.58314,0.38089,1.189,1.32338,1.11179,0.00922942,0.00922942,0.00922942
20,886.509,1.04452,0.70896,1.0096,0.81759,0.50799,0.54905,0.34653,1.2896,1.60583,1.16331,0.00914405,0.00914405,0.00914405
21,930.063,1.04077,0.69768,1.0045,0.88855,0.54678,0.60043,0.39934,1.14109,1.30707,1.11161,0.00905463,0.00905463,0.00905463
