epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8871,1.81132,2.76015,1.33719,0.58398,0.54396,0.5263,0.33556,1.39692,1.63913,1.12239,0.00332288,0.00332288,0.070094
2,106.27,1.31892,1.12325,1.04073,0.76179,0.447,0.49162,0.29072,1.4973,1.9761,1.3035,0.00665459,0.00665459,0.0400924
3,153.036,1.40549,1.24296,1.10193,0.79184,0.4529,0.49182,0.27033,1.58666,1.78658,1.21541,0.00997979,0.00997979,0.0100843
4,199.313,1.48266,1.38923,1.15897,0.62291,0.44944,0.45252,0.25274,1.49397,1.73534,1.1829,0.00997803,0.00997803,0.00997803
5,245.23,1.45904,1.29735,1.16851,0.58414,0.49214,0.48687,0.26862,1.4281,1.64731,1.17145,0.00996097,0.00996097,0.00996097
6,291.125,1.37731,1.15682,1.13126,0.76945,0.49767,0.54869,0.3142,1.40924,1.43895,1.17091,0.00993906,0.00993906,0.00993906
7,337.203,1.33428,1.10668,1.12197,0.71005,0.49409,0.51226,0.30713,1.39427,1.6952,1.15099,0.00991232,0.00991232,0.00991232
8,383.186,1.30119,1.0218,1.09814,0.75512,0.4846,0.50566,0.30873,1.35509,1.65882,1.1749,0.00988079,0.00988079,0.00988079
9,429.244,1.27874,0.98742,1.09207,0.7054,0.50448,0.52597,0.3322,1.30012,1.54123,1.10696,0.00984449,0.00984449,0.00984449
10,475.547,1.21991,0.92565,1.06075,0.64466,0.48452,0.49935,0.32952,1.25616,1.53393,1.07039,0.00980345,0.00980345,0.00980345
11,521.921,1.21223,0.9058,1.06266,0.88818,0.52792,0.57535,0.35334,1.29666,1.39789,1.10411,0.00975773,0.00975773,0.00975773
12,568.418,1.18539,0.86125,1.04412,0.82109,0.55732,0.58129,0.3693,1.24118,1.2473,1.0745,0.00970736,0.00970736,0.00970736
13,614.841,1.1643,0.84381,1.04279,0.8588,0.54495,0.58663,0.38453,1.17909,1.35545,1.06483,0.00965239,0.00965239,0.00965239
14,660.651,1.14443,0.81677,1.03726,0.8546,0.50912,0.56958,0.38077,1.25781,1.46854,1.10569,0.00959289,0.00959289,0.00959289
15,706.471,1.13425,0.80868,1.0297,0.75204,0.5099,0.52354,0.34021,1.21445,1.57337,1.09942,0.00952889,0.00952889,0.00952889
