epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4578,1.61812,1.75386,1.20054,0.72715,0.62749,0.68162,0.41858,1.23647,1.21738,1.0072,0.00332288,0.00332288,0.070094
2,67.2066,1.29382,1.02725,1.02994,0.81647,0.49238,0.58427,0.33198,1.38739,1.55449,1.06584,0.00665459,0.00665459,0.0400924
3,95.6415,1.3888,1.18126,1.08623,0.6666,0.48197,0.52413,0.2984,1.45793,1.60611,1.13024,0.00997979,0.00997979,0.0100843
4,123.978,1.49677,1.35237,1.15421,0.61378,0.40741,0.49187,0.27993,1.4973,1.70678,1.17037,0.00997803,0.00997803,0.00997803
5,152.165,1.45775,1.26613,1.14749,0.81478,0.41613,0.51419,0.29496,1.51151,1.53943,1.2137,0.00996097,0.00996097,0.00996097
6,180.469,1.391,1.15183,1.12729,0.77432,0.47252,0.58688,0.32657,1.43934,1.57066,1.1461,0.00993906,0.00993906,0.00993906
7,208.748,1.34148,1.08536,1.11953,0.81365,0.50142,0.54294,0.34096,1.32577,1.49882,1.0943,0.00991232,0.00991232,0.00991232
8,236.919,1.30424,1.02969,1.08995,0.82027,0.47875,0.57626,0.32961,1.35212,1.52746,1.11007,0.00988079,0.00988079,0.00988079
9,265.149,1.27116,0.98398,1.08326,0.72016,0.50522,0.53822,0.32672,1.31241,1.55033,1.11142,0.00984449,0.00984449,0.00984449
10,293.356,1.24252,0.93442,1.06418,0.75413,0.49436,0.53054,0.34297,1.22607,1.39603,1.0706,0.00980345,0.00980345,0.00980345
11,321.566,1.21634,0.89694,1.05939,0.85831,0.56052,0.59808,0.37957,1.24977,1.30925,1.08254,0.00975773,0.00975773,0.00975773
12,349.881,1.18536,0.87147,1.0415,0.79687,0.56084,0.65227,0.40544,1.18478,1.16991,1.05749,0.00970736,0.00970736,0.00970736
13,378.052,1.17246,0.84834,1.03604,0.82766,0.51815,0.54654,0.3496,1.22454,1.53251,1.09056,0.00965239,0.00965239,0.00965239
14,406.111,1.15174,0.81446,1.03625,0.85332,0.52495,0.58646,0.38119,1.25758,1.34112,1.09274,0.00959289,0.00959289,0.00959289
15,434.277,1.1292,0.79614,1.02586,0.83334,0.54477,0.57686,0.36397,1.19808,1.38766,1.0644,0.00952889,0.00952889,0.00952889
16,462.315,1.10467,0.76853,1.01683,0.83037,0.54663,0.57556,0.37351,1.23098,1.3482,1.06011,0.00946048,0.00946048,0.00946048
17,490.44,1.10163,0.76365,1.01685,0.88781,0.56972,0.62118,0.40107,1.19534,1.1712,1.05317,0.00938772,0.00938772,0.00938772
18,518.619,1.09309,0.75308,1.0212,0.83938,0.57495,0.61366,0.40556,1.18036,1.16422,1.06409,0.00931067,0.00931067,0.00931067
19,547.035,1.07449,0.72067,1.00905,0.8826,0.49246,0.54387,0.35048,1.21405,1.56664,1.10707,0.00922942,0.00922942,0.00922942
20,575.276,1.05788,0.72112,1.00412,0.87225,0.55681,0.59677,0.38713,1.13322,1.27021,1.03327,0.00914405,0.00914405,0.00914405
21,603.485,1.04824,0.69918,0.99587,0.81754,0.55459,0.57543,0.39106,1.13945,1.24924,1.0618,0.00905463,0.00905463,0.00905463
22,631.821,1.03462,0.69218,0.99049,0.87499,0.56083,0.59094,0.39064,1.20372,1.46027,1.08028,0.00896127,0.00896127,0.00896127
23,660.098,1.01885,0.67551,0.98446,0.80398,0.53549,0.61811,0.39971,1.17686,1.28337,1.07137,0.00886404,0.00886404,0.00886404
24,688.42,1.01319,0.6623,0.98172,0.83723,0.53038,0.55879,0.3628,1.19003,1.56495,1.09304,0.00876305,0.00876305,0.00876305
25,716.535,1.00136,0.6515,0.98361,0.89645,0.56624,0.657,0.40317,1.1998,1.13383,1.10966,0.00865839,0.00865839,0.00865839
26,744.71,0.98793,0.64016,0.97718,0.91274,0.55585,0.61852,0.38512,1.23953,1.21974,1.10545,0.00855018,0.00855018,0.00855018
27,772.804,0.98501,0.64071,0.97456,0.8462,0.52472,0.56435,0.37405,1.17986,1.3276,1.07232,0.00843851,0.00843851,0.00843851
28,801.053,0.97001,0.6252,0.96454,0.8789,0.46704,0.53745,0.34344,1.36901,1.75009,1.14188,0.00832349,0.00832349,0.00832349
29,829.441,0.96358,0.62482,0.96331,0.90575,0.55766,0.61082,0.41405,1.13946,1.18666,1.08303,0.00820525,0.00820525,0.00820525
30,857.657,0.95062,0.6045,0.96025,0.84088,0.5943,0.62667,0.42094,1.11885,1.21031,1.06965,0.00808389,0.00808389,0.00808389
31,885.901,0.9398,0.60137,0.95896,0.91131,0.56963,0.6084,0.41417,1.11649,1.26769,1.05872,0.00795954,0.00795954,0.00795954
32,914.112,0.9328,0.59336,0.96328,0.88706,0.53569,0.60108,0.39311,1.19465,1.41105,1.15572,0.00783231,0.00783231,0.00783231
33,942.259,0.92047,0.57863,0.95253,0.86929,0.57557,0.61259,0.41231,1.11783,1.20733,1.07476,0.00770234,0.00770234,0.00770234
34,970.349,0.90478,0.56991,0.94941,0.84962,0.60907,0.63325,0.4175,1.09073,1.22983,1.05501,0.00756976,0.00756976,0.00756976
35,998.395,0.90165,0.56585,0.94353,0.82258,0.55673,0.59336,0.40708,1.11621,1.31864,1.04745,0.00743468,0.00743468,0.00743468
36,1026.61,0.89134,0.55219,0.93996,0.80434,0.54973,0.58811,0.40228,1.10103,1.20303,1.03995,0.00729725,0.00729725,0.00729725
37,1054.86,0.89047,0.55482,0.93909,0.88715,0.53959,0.57015,0.39395,1.09176,1.4066,1.03955,0.00715761,0.00715761,0.00715761
38,1083.22,0.87383,0.53804,0.93542,0.88961,0.56207,0.60517,0.40775,1.08077,1.34461,1.05863,0.00701588,0.00701588,0.00701588
39,1111.37,0.87341,0.52993,0.93199,0.76326,0.55529,0.59512,0.39692,1.1351,1.33185,1.07403,0.00687222,0.00687222,0.00687222
40,1139.54,0.85891,0.5301,0.93223,0.90706,0.58126,0.61108,0.41112,1.14856,1.36753,1.05482,0.00672675,0.00672675,0.00672675
41,1167.74,0.83619,0.51038,0.92197,0.88536,0.58076,0.63791,0.42908,1.14526,1.36003,1.07403,0.00657963,0.00657963,0.00657963
42,1196.03,0.83447,0.51289,0.92777,0.85695,0.54628,0.59518,0.40545,1.11111,1.46507,1.05516,0.00643101,0.00643101,0.00643101
43,1224.09,0.82638,0.50718,0.92108,0.87384,0.51429,0.57362,0.38859,1.12099,1.49251,1.03282,0.00628101,0.00628101,0.00628101
44,1252.39,0.83659,0.51061,0.91896,0.85353,0.5572,0.59556,0.41038,1.08092,1.35397,1.04339,0.00612981,0.00612981,0.00612981
45,1280.49,0.81248,0.49547,0.91506,0.88722,0.57344,0.61312,0.42037,1.0695,1.3439,1.03764,0.00597754,0.00597754,0.00597754
46,1308.79,0.79491,0.48323,0.91273,0.87708,0.56501,0.59,0.41457,1.06579,1.44299,1.04225,0.00582435,0.00582435,0.00582435
47,1336.86,0.80181,0.48715,0.91539,0.92111,0.56219,0.61143,0.41506,1.07839,1.38775,1.04262,0.0056704,0.0056704,0.0056704
48,1364.95,0.7921,0.48476,0.91698,0.91952,0.55227,0.59367,0.40874,1.08519,1.44871,1.06821,0.00551584,0.00551584,0.00551584
49,1393.09,0.77844,0.47369,0.90476,0.89897,0.55259,0.59731,0.41499,1.07586,1.48574,1.04363,0.00536081,0.00536081,0.00536081
50,1421.23,0.77141,0.46637,0.90195,0.89174,0.55251,0.59207,0.41661,1.08192,1.40646,1.03669,0.00520548,0.00520548,0.00520548
51,1449.44,0.76604,0.46121,0.90182,0.91309,0.54344,0.57715,0.41133,1.10205,1.44286,1.04196,0.00505,0.00505,0.00505
