epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7113,1.64865,1.90916,1.2119,0.7531,0.57497,0.65021,0.39443,1.25123,1.27777,0.99504,0.00332288,0.00332288,0.070094
2,68.1282,1.29592,1.02657,1.03205,0.63097,0.47587,0.48292,0.30728,1.31955,1.50186,1.09824,0.00665459,0.00665459,0.0400924
3,97.0062,1.38892,1.17573,1.09154,0.66616,0.3168,0.36401,0.2264,1.64803,1.90332,1.26707,0.00997979,0.00997979,0.0100843
4,125.86,1.48579,1.35322,1.1695,0.52747,0.57748,0.55415,0.3274,1.48868,1.54902,1.18879,0.00997803,0.00997803,0.00997803
5,154.588,1.45725,1.29378,1.16699,0.7748,0.44592,0.56456,0.29884,1.51668,1.58857,1.21371,0.00996097,0.00996097,0.00996097
6,183.306,1.38111,1.17738,1.14523,0.78143,0.49732,0.61527,0.34704,1.32036,1.35011,1.13547,0.00993906,0.00993906,0.00993906
7,212.096,1.33291,1.08563,1.14104,0.80911,0.49675,0.54652,0.32914,1.30971,1.42625,1.14398,0.00991232,0.00991232,0.00991232
8,240.838,1.29064,1.00178,1.11296,0.72208,0.50514,0.55627,0.34332,1.38719,1.47965,1.21372,0.00988079,0.00988079,0.00988079
9,269.924,1.27284,0.98796,1.11376,0.76633,0.46418,0.53602,0.32251,1.327,1.45666,1.14903,0.00984449,0.00984449,0.00984449
10,298.625,1.22948,0.93458,1.08844,0.70835,0.52749,0.55844,0.34968,1.30569,1.25153,1.17248,0.00980345,0.00980345,0.00980345
11,327.38,1.20855,0.89773,1.08586,0.72984,0.49432,0.55569,0.33717,1.30307,1.54671,1.13421,0.00975773,0.00975773,0.00975773
12,356.293,1.18159,0.86215,1.06207,0.83191,0.51859,0.58717,0.36099,1.31075,1.46535,1.18384,0.00970736,0.00970736,0.00970736
13,385.06,1.1713,0.83838,1.06651,0.83614,0.51188,0.56402,0.36549,1.21623,1.52696,1.14449,0.00965239,0.00965239,0.00965239
14,413.897,1.14963,0.81746,1.06001,0.74702,0.49625,0.54842,0.35201,1.20647,1.44069,1.14193,0.00959289,0.00959289,0.00959289
15,442.679,1.13065,0.80404,1.05141,0.82138,0.56615,0.67436,0.41463,1.20335,1.35559,1.08942,0.00952889,0.00952889,0.00952889
16,471.676,1.10836,0.77341,1.03834,0.83688,0.57699,0.68741,0.43033,1.13163,1.09256,1.07972,0.00946048,0.00946048,0.00946048
17,500.544,1.09315,0.75138,1.03209,0.8972,0.55698,0.59521,0.39714,1.14024,1.29294,1.12392,0.00938772,0.00938772,0.00938772
18,529.322,1.08511,0.74171,1.03784,0.85582,0.50697,0.55263,0.3672,1.23941,1.44995,1.11771,0.00931067,0.00931067,0.00931067
19,558.048,1.06517,0.71325,1.02026,0.78298,0.53597,0.56204,0.37433,1.15604,1.34674,1.11814,0.00922942,0.00922942,0.00922942
20,586.809,1.05243,0.7049,1.0233,0.85797,0.51203,0.57213,0.37633,1.18035,1.45181,1.14493,0.00914405,0.00914405,0.00914405
21,615.734,1.03778,0.68811,1.00949,0.81755,0.56344,0.58149,0.39547,1.10182,1.41506,1.08477,0.00905463,0.00905463,0.00905463
22,644.556,1.02988,0.68982,1.00928,0.90812,0.54701,0.59766,0.38328,1.19573,1.39151,1.15192,0.00896127,0.00896127,0.00896127
23,673.421,1.01333,0.66746,1.00193,0.84294,0.55056,0.5995,0.3983,1.14631,1.30542,1.12787,0.00886404,0.00886404,0.00886404
24,702.149,1.00393,0.66382,0.99829,0.88518,0.5271,0.56121,0.38019,1.19665,1.51343,1.13168,0.00876305,0.00876305,0.00876305
25,730.999,0.9907,0.64817,0.99489,0.93572,0.54684,0.59656,0.39696,1.12904,1.2285,1.10324,0.00865839,0.00865839,0.00865839
26,759.937,0.98027,0.63648,0.99166,0.93884,0.55151,0.60955,0.41245,1.1075,1.23899,1.10824,0.00855018,0.00855018,0.00855018
27,788.683,0.97679,0.63332,0.98255,0.91484,0.56118,0.62628,0.41785,1.12985,1.19973,1.12468,0.00843851,0.00843851,0.00843851
28,817.511,0.97077,0.62023,0.98521,0.89747,0.56184,0.6055,0.39809,1.16489,1.29206,1.13608,0.00832349,0.00832349,0.00832349
29,846.344,0.95962,0.62128,0.98255,0.91652,0.56546,0.6163,0.40504,1.15839,1.238,1.1307,0.00820525,0.00820525,0.00820525
30,875.423,0.94581,0.60126,0.97756,0.84983,0.57868,0.61534,0.41917,1.06483,1.23925,1.07317,0.00808389,0.00808389,0.00808389
31,904.264,0.9398,0.59794,0.97578,0.85392,0.57482,0.64104,0.43302,1.12895,1.20524,1.0983,0.00795954,0.00795954,0.00795954
32,933.125,0.92878,0.59408,0.97314,0.87971,0.55897,0.60551,0.40267,1.11947,1.18556,1.14321,0.00783231,0.00783231,0.00783231
33,962.154,0.9167,0.57889,0.964,0.90469,0.56133,0.61731,0.42072,1.06105,1.16424,1.08192,0.00770234,0.00770234,0.00770234
34,991.369,0.90613,0.56613,0.96029,0.91986,0.55528,0.61262,0.41199,1.06873,1.24324,1.07683,0.00756976,0.00756976,0.00756976
35,1020.25,0.90262,0.56578,0.96223,0.91373,0.54461,0.58952,0.40007,1.13338,1.26432,1.14891,0.00743468,0.00743468,0.00743468
36,1048.94,0.88891,0.55588,0.95459,0.89362,0.55573,0.59179,0.40146,1.15781,1.46034,1.12571,0.00729725,0.00729725,0.00729725
37,1077.68,0.88261,0.55579,0.94967,0.92172,0.55762,0.59422,0.40992,1.12947,1.31687,1.12573,0.00715761,0.00715761,0.00715761
38,1106.46,0.86369,0.53338,0.94522,0.89722,0.57718,0.60119,0.41186,1.15795,1.23857,1.1477,0.00701588,0.00701588,0.00701588
39,1135.22,0.86307,0.52842,0.94166,0.92349,0.53928,0.57964,0.39142,1.20098,1.4234,1.16333,0.00687222,0.00687222,0.00687222
40,1164.52,0.85574,0.52948,0.94075,0.90606,0.56141,0.60008,0.42118,1.07065,1.19849,1.10845,0.00672675,0.00672675,0.00672675
41,1193.32,0.83337,0.51329,0.93155,0.95337,0.56712,0.63168,0.43393,1.1546,1.21694,1.13468,0.00657963,0.00657963,0.00657963
42,1222.09,0.83615,0.51176,0.93717,0.95477,0.53823,0.58953,0.4041,1.11182,1.23611,1.14744,0.00643101,0.00643101,0.00643101
43,1251.1,0.82627,0.50644,0.93263,0.89119,0.55358,0.61062,0.42326,1.03086,1.16585,1.06771,0.00628101,0.00628101,0.00628101
44,1279.86,0.82838,0.50927,0.93156,0.87459,0.55747,0.59441,0.41084,1.09189,1.27134,1.12328,0.00612981,0.00612981,0.00612981
45,1308.5,0.81286,0.49484,0.92671,0.88424,0.55119,0.59307,0.41245,1.05157,1.30305,1.09563,0.00597754,0.00597754,0.00597754
46,1337.3,0.79066,0.47966,0.9214,0.92544,0.55202,0.56858,0.39452,1.12504,1.51045,1.1219,0.00582435,0.00582435,0.00582435
47,1365.99,0.79109,0.48141,0.92002,0.92185,0.55967,0.60016,0.41817,1.07652,1.28614,1.0943,0.0056704,0.0056704,0.0056704
48,1394.94,0.79055,0.48709,0.92237,0.94342,0.55504,0.61272,0.43302,1.04093,1.23154,1.07314,0.00551584,0.00551584,0.00551584
49,1423.7,0.76803,0.46866,0.91222,0.90033,0.57424,0.61008,0.41956,1.05262,1.33123,1.07481,0.00536081,0.00536081,0.00536081
50,1452.47,0.7684,0.46771,0.91098,0.89853,0.55878,0.58733,0.41154,1.10782,1.4104,1.10873,0.00520548,0.00520548,0.00520548
51,1481.39,0.76036,0.45569,0.91199,0.89598,0.57461,0.60469,0.4222,1.07358,1.31922,1.09845,0.00505,0.00505,0.00505
52,1510.31,0.75453,0.462,0.90937,0.90308,0.55207,0.59847,0.41681,1.08025,1.29517,1.09115,0.00489452,0.00489452,0.00489452
53,1538.98,0.73851,0.44699,0.90563,0.96685,0.5576,0.60385,0.42167,1.10887,1.31926,1.12488,0.00473919,0.00473919,0.00473919
54,1567.78,0.73819,0.44568,0.9026,0.90956,0.56773,0.59353,0.40921,1.07882,1.38786,1.10926,0.00458416,0.00458416,0.00458416
55,1596.52,0.72903,0.43629,0.90103,0.92524,0.57213,0.61984,0.4286,1.09127,1.20486,1.12599,0.0044296,0.0044296,0.0044296
56,1625.34,0.71768,0.42984,0.89972,0.92417,0.57391,0.6139,0.4223,1.11238,1.26053,1.12904,0.00427565,0.00427565,0.00427565
57,1653.98,0.71032,0.42652,0.89675,0.91198,0.56738,0.61585,0.42118,1.06639,1.29888,1.10506,0.00412246,0.00412246,0.00412246
58,1682.77,0.70349,0.41658,0.89194,0.8793,0.56186,0.59236,0.41253,1.06477,1.40701,1.10881,0.00397019,0.00397019,0.00397019
59,1711.52,0.70298,0.4264,0.89522,0.93932,0.56445,0.60614,0.41972,1.07441,1.2984,1.09828,0.00381899,0.00381899,0.00381899
60,1740.26,0.69369,0.41701,0.89125,0.93387,0.55919,0.60605,0.42805,1.06872,1.31514,1.10012,0.00366899,0.00366899,0.00366899
61,1769.01,0.67395,0.40468,0.8823,0.90166,0.55739,0.59717,0.41849,1.0592,1.37859,1.10264,0.00352037,0.00352037,0.00352037
62,1797.83,0.66877,0.3967,0.88562,0.91844,0.5448,0.59253,0.42082,1.00132,1.21591,1.09803,0.00337325,0.00337325,0.00337325
63,1826.55,0.67166,0.40265,0.88352,0.93674,0.56434,0.60041,0.4187,1.02728,1.17622,1.10953,0.00322778,0.00322778,0.00322778
64,1855.3,0.66718,0.40146,0.88251,0.91161,0.58786,0.61303,0.42177,1.04283,1.15525,1.10434,0.00308412,0.00308412,0.00308412
65,1884.1,0.64537,0.38765,0.8755,0.89063,0.58338,0.60466,0.41753,1.12302,1.32781,1.13644,0.00294239,0.00294239,0.00294239
66,1912.87,0.64189,0.38474,0.8793,0.88897,0.57657,0.60315,0.41884,1.06017,1.26408,1.12634,0.00280275,0.00280275,0.00280275
67,1941.63,0.63919,0.38356,0.87698,0.8856,0.57067,0.59812,0.41806,1.08112,1.30701,1.13768,0.00266532,0.00266532,0.00266532
68,1970.63,0.63622,0.37841,0.87422,0.90187,0.56843,0.60227,0.42402,1.05112,1.20613,1.11488,0.00253024,0.00253024,0.00253024
69,1999.44,0.62246,0.37081,0.8697,0.92072,0.57591,0.61763,0.42576,1.05639,1.22887,1.11948,0.00239766,0.00239766,0.00239766
70,2028.29,0.61824,0.37182,0.87104,0.91219,0.57062,0.6093,0.42141,1.0571,1.22293,1.11674,0.00226769,0.00226769,0.00226769
71,2057.02,0.60438,0.36403,0.86771,0.89077,0.58171,0.60277,0.41403,1.07603,1.1661,1.14091,0.00214046,0.00214046,0.00214046
