epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9956,1.46595,1.64855,1.12397,0.85327,0.57056,0.64531,0.41599,1.12342,1.14937,0.98926,0.00332288,0.00332288,0.070094
2,67.0719,1.24239,0.97019,1.01763,0.86211,0.48884,0.71432,0.4028,1.31626,1.37547,1.07924,0.00665459,0.00665459,0.0400924
3,94.9354,1.36352,1.1502,1.08209,0.69141,0.43965,0.52226,0.27689,1.55064,1.73448,1.21666,0.00997979,0.00997979,0.0100843
4,122.807,1.46295,1.30378,1.15182,0.5734,0.40457,0.41273,0.24832,1.54502,1.99955,1.18374,0.00997803,0.00997803,0.00997803
5,150.285,1.44716,1.26896,1.1575,0.74098,0.51159,0.52317,0.30843,1.41895,1.53636,1.14719,0.00996097,0.00996097,0.00996097
6,177.898,1.37719,1.14518,1.12901,0.7998,0.47298,0.53967,0.30908,1.38461,1.56599,1.14415,0.00993906,0.00993906,0.00993906
7,205.617,1.34241,1.08727,1.13386,0.68292,0.4811,0.47987,0.29951,1.3742,1.5951,1.17658,0.00991232,0.00991232,0.00991232
8,233.205,1.29387,1.00241,1.09624,0.63091,0.66618,0.6536,0.36884,1.39742,1.48505,1.15884,0.00988079,0.00988079,0.00988079
9,260.751,1.27459,0.9747,1.09368,0.77417,0.45805,0.51808,0.3103,1.34226,1.60666,1.12783,0.00984449,0.00984449,0.00984449
10,288.419,1.22868,0.9246,1.06876,0.82021,0.49145,0.56237,0.35232,1.29613,1.36947,1.10133,0.00980345,0.00980345,0.00980345
11,315.961,1.20656,0.89046,1.06544,0.84738,0.50322,0.54784,0.34781,1.29221,1.45059,1.13464,0.00975773,0.00975773,0.00975773
12,343.536,1.17996,0.86524,1.04743,0.81416,0.52769,0.57896,0.36519,1.26085,1.30765,1.13554,0.00970736,0.00970736,0.00970736
13,371.032,1.15492,0.82745,1.04644,0.84694,0.53449,0.61462,0.385,1.22349,1.30087,1.10106,0.00965239,0.00965239,0.00965239
14,398.413,1.13075,0.80018,1.03763,0.82976,0.53978,0.58101,0.37458,1.23388,1.36039,1.08863,0.00959289,0.00959289,0.00959289
15,425.929,1.11649,0.79333,1.02906,0.79911,0.53774,0.57835,0.36829,1.23255,1.27432,1.08256,0.00952889,0.00952889,0.00952889
16,453.537,1.10967,0.77053,1.02086,0.88251,0.52977,0.58753,0.38955,1.17084,1.41336,1.07177,0.00946048,0.00946048,0.00946048
17,481.042,1.08703,0.74518,1.02025,0.87901,0.55149,0.61613,0.39004,1.177,1.18518,1.0902,0.00938772,0.00938772,0.00938772
18,508.519,1.07982,0.73876,1.01839,0.86012,0.5289,0.58258,0.38648,1.18557,1.44603,1.08022,0.00931067,0.00931067,0.00931067
19,535.951,1.06994,0.71447,1.00644,0.81814,0.55625,0.58226,0.37091,1.28207,1.43757,1.1365,0.00922942,0.00922942,0.00922942
20,563.595,1.0487,0.70685,1.0043,0.88881,0.54863,0.61872,0.39483,1.15181,1.2633,1.05708,0.00914405,0.00914405,0.00914405
21,591.235,1.03679,0.69546,0.99588,0.85216,0.55842,0.60136,0.38438,1.20808,1.44815,1.07703,0.00905463,0.00905463,0.00905463
22,618.827,1.0282,0.67794,0.99214,0.88665,0.52505,0.57844,0.36689,1.26274,1.41844,1.12536,0.00896127,0.00896127,0.00896127
23,646.393,1.01343,0.66805,0.98361,0.89821,0.55892,0.61595,0.39387,1.22616,1.28122,1.10156,0.00886404,0.00886404,0.00886404
24,674.053,1.00142,0.65804,0.9834,0.90587,0.53213,0.57751,0.37718,1.24735,1.38942,1.11707,0.00876305,0.00876305,0.00876305
25,701.538,0.98559,0.6429,0.98205,0.87991,0.56102,0.60489,0.38718,1.21297,1.40811,1.10953,0.00865839,0.00865839,0.00865839
26,729.02,0.98027,0.63653,0.97741,0.85983,0.55939,0.60816,0.4022,1.20486,1.30024,1.07961,0.00855018,0.00855018,0.00855018
27,756.484,0.98039,0.63527,0.97346,0.84848,0.52976,0.57631,0.38027,1.19149,1.40417,1.08217,0.00843851,0.00843851,0.00843851
28,784.005,0.96613,0.61854,0.9703,0.89925,0.54043,0.57286,0.36025,1.28204,1.40959,1.14718,0.00832349,0.00832349,0.00832349
29,811.747,0.96021,0.61465,0.96807,0.92119,0.57294,0.62598,0.40692,1.16543,1.16973,1.12141,0.00820525,0.00820525,0.00820525
30,839.465,0.9383,0.59789,0.959,0.88858,0.57528,0.61827,0.39874,1.20199,1.28939,1.10954,0.00808389,0.00808389,0.00808389
31,866.926,0.9403,0.59652,0.96112,0.90417,0.5741,0.6103,0.40808,1.12451,1.10679,1.08396,0.00795954,0.00795954,0.00795954
