epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3801,1.16207,1.95826,1.08003,0.86244,0.9186,0.92931,0.65609,0.7556,0.73559,0.84527,0.00332288,0.00332288,0.070094
2,80.2623,0.85585,0.74695,0.91098,0.91764,0.96163,0.95726,0.66347,0.73988,0.60329,0.84744,0.00649496,0.00649496,0.0399328
3,112.879,0.8665,0.70738,0.91868,0.96643,0.9636,0.9726,0.67093,0.76548,0.56711,0.8638,0.00904517,0.00904517,0.00914967
4,146.381,0.87332,0.65957,0.92824,0.92893,0.9536,0.94898,0.64527,0.76988,0.54414,0.8661,0.00795954,0.00795954,0.00795954
5,181.263,0.86034,0.59774,0.92496,0.95197,0.97204,0.97659,0.68792,0.73633,0.51754,0.86473,0.00657963,0.00657963,0.00657963
6,216.474,0.8189,0.54411,0.91477,0.88928,0.94749,0.95465,0.67558,0.7399,0.48638,0.86434,0.00505,0.00505,0.00505
7,248.603,0.79402,0.50683,0.90461,0.92694,0.95531,0.96159,0.67955,0.70188,0.45493,0.85637,0.00352037,0.00352037,0.00352037
8,282.524,0.76908,0.479,0.89969,0.90832,0.95321,0.95483,0.69399,0.68829,0.42882,0.852,0.00214046,0.00214046,0.00214046
9,317.41,0.74991,0.45218,0.89098,0.92305,0.957,0.96426,0.69316,0.67789,0.4082,0.84482,0.00104537,0.00104537,0.00104537
10,352.595,0.72589,0.43491,0.88188,0.91854,0.95674,0.95949,0.6989,0.6651,0.38983,0.84246,0.00034227,0.00034227,0.00034227
