epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3102,0.8332,0.55939,0.92135,0.95692,0.95569,0.97234,0.70923,0.67186,0.389,0.84608,0.000332288,0.000332288,0.0671034
2,92.962,0.81502,0.54849,0.92069,0.9641,0.95883,0.97234,0.70794,0.67017,0.38644,0.84627,0.000665421,0.000665421,0.0341032
3,131.764,0.81098,0.53546,0.91357,0.92126,0.95778,0.96805,0.68651,0.68867,0.39827,0.85216,0.000997751,0.000997751,0.00110224
4,170.239,0.81816,0.54231,0.92057,0.92449,0.94466,0.96739,0.69652,0.68906,0.41944,0.84976,0.000997288,0.000997288,0.000997288
5,212.929,0.81814,0.54445,0.91759,0.92891,0.95048,0.97044,0.6998,0.69031,0.39876,0.84733,0.000995183,0.000995183,0.000995183
6,257.424,0.79756,0.52911,0.91149,0.89239,0.8394,0.94892,0.674,0.68896,0.45876,0.84683,0.00099248,0.00099248,0.00099248
7,302.043,0.806,0.53437,0.92343,0.94595,0.91844,0.96769,0.68268,0.70858,0.41517,0.84912,0.000989183,0.000989183,0.000989183
8,346.318,0.79375,0.51809,0.90952,0.93,0.95033,0.96909,0.69868,0.70684,0.42563,0.84969,0.000985296,0.000985296,0.000985296
9,390.9,0.79964,0.52522,0.91746,0.92132,0.92284,0.96321,0.68886,0.70415,0.40917,0.84753,0.000980825,0.000980825,0.000980825
10,436.557,0.7915,0.5186,0.90861,0.9218,0.93281,0.96336,0.69296,0.69571,0.41397,0.84797,0.000975773,0.000975773,0.000975773
11,481.05,0.78594,0.51462,0.91155,0.89591,0.91883,0.96425,0.6821,0.70594,0.42167,0.84696,0.000970148,0.000970148,0.000970148
12,525.506,0.78885,0.51131,0.90794,0.91576,0.90248,0.96033,0.68582,0.70082,0.42529,0.84764,0.000963956,0.000963956,0.000963956
13,570.711,0.77881,0.50734,0.90636,0.96389,0.77952,0.91871,0.66135,0.69485,0.46431,0.84642,0.000957205,0.000957205,0.000957205
14,615.03,0.7725,0.50332,0.90432,0.9178,0.93622,0.96461,0.6941,0.70011,0.40879,0.8476,0.000949903,0.000949903,0.000949903
15,653.129,0.77301,0.50078,0.90232,0.94226,0.77099,0.8856,0.64205,0.71233,0.4858,0.84927,0.000942059,0.000942059,0.000942059
16,691.719,0.77197,0.49919,0.90316,0.9064,0.8926,0.96598,0.68655,0.70667,0.44723,0.84709,0.000933683,0.000933683,0.000933683
17,730.218,0.7699,0.49626,0.90362,0.8933,0.88465,0.93997,0.67703,0.70399,0.4395,0.8484,0.000924784,0.000924784,0.000924784
18,767.836,0.76806,0.4958,0.90744,0.8902,0.82221,0.93801,0.67442,0.71598,0.46934,0.8463,0.000915374,0.000915374,0.000915374
19,805.784,0.76064,0.48642,0.89777,0.90721,0.86059,0.94786,0.67416,0.70978,0.46069,0.84417,0.000905463,0.000905463,0.000905463
20,843.711,0.75501,0.48657,0.8991,0.96415,0.75951,0.8353,0.61785,0.713,0.52051,0.84678,0.000895065,0.000895065,0.000895065
21,881.442,0.75231,0.48217,0.8934,0.91231,0.88476,0.95393,0.67339,0.70264,0.44322,0.84512,0.000884192,0.000884192,0.000884192
22,919.346,0.75416,0.4855,0.89817,0.90637,0.83234,0.93691,0.6756,0.70262,0.45164,0.84332,0.000872857,0.000872857,0.000872857
23,957.226,0.7494,0.47884,0.89553,0.92634,0.91929,0.96204,0.68217,0.70621,0.41964,0.84483,0.000861073,0.000861073,0.000861073
24,994.62,0.74184,0.48245,0.89387,0.91006,0.82329,0.93119,0.66504,0.7162,0.47425,0.84638,0.000848856,0.000848856,0.000848856
25,1032.09,0.74431,0.47695,0.89697,0.8952,0.81721,0.92528,0.66459,0.7094,0.47156,0.84494,0.00083622,0.00083622,0.00083622
26,1070.22,0.7411,0.47801,0.89536,0.91785,0.90046,0.95541,0.6701,0.70947,0.42102,0.847,0.00082318,0.00082318,0.00082318
27,1107.95,0.73953,0.47876,0.89445,0.90895,0.80171,0.92352,0.65379,0.72733,0.48008,0.85021,0.000809752,0.000809752,0.000809752
28,1145.76,0.73959,0.4748,0.89366,0.92382,0.88413,0.95459,0.66693,0.72115,0.43161,0.84941,0.000795954,0.000795954,0.000795954
29,1183.74,0.73687,0.4769,0.89688,0.92995,0.90662,0.96133,0.67326,0.71735,0.44197,0.84931,0.0007818,0.0007818,0.0007818
30,1221.54,0.72671,0.46782,0.88967,0.91207,0.87285,0.94613,0.66701,0.73139,0.46087,0.85124,0.00076731,0.00076731,0.00076731
31,1258.96,0.72934,0.46861,0.89343,0.91714,0.87704,0.94393,0.66867,0.72206,0.4458,0.84804,0.0007525,0.0007525,0.0007525
32,1296.79,0.72797,0.47279,0.89507,0.91754,0.90361,0.95703,0.68369,0.70624,0.43771,0.84828,0.000737388,0.000737388,0.000737388
33,1334.73,0.72967,0.46812,0.89009,0.91524,0.91622,0.95895,0.67583,0.71576,0.42626,0.84897,0.000721994,0.000721994,0.000721994
34,1372.61,0.71957,0.46135,0.89022,0.93177,0.91979,0.9661,0.68452,0.71045,0.42534,0.8465,0.000706335,0.000706335,0.000706335
35,1410.2,0.72904,0.46406,0.89223,0.90795,0.82197,0.93015,0.6681,0.71276,0.46946,0.84628,0.00069043,0.00069043,0.00069043
36,1447.97,0.71894,0.46177,0.88908,0.90147,0.77365,0.88428,0.63864,0.72464,0.51012,0.84942,0.0006743,0.0006743,0.0006743
37,1485.61,0.72405,0.46355,0.89167,0.9196,0.89633,0.95479,0.67733,0.71495,0.44008,0.84697,0.000657963,0.000657963,0.000657963
38,1523.45,0.71004,0.45269,0.88896,0.91062,0.89967,0.94638,0.67119,0.7139,0.44328,0.84806,0.00064144,0.00064144,0.00064144
39,1561.33,0.71425,0.45544,0.88349,0.92011,0.86858,0.92692,0.66016,0.72311,0.45331,0.84923,0.000624751,0.000624751,0.000624751
40,1599.34,0.71302,0.45196,0.88634,0.92463,0.82016,0.92538,0.66652,0.7154,0.46953,0.84753,0.000607916,0.000607916,0.000607916
41,1637.06,0.69789,0.4464,0.88107,0.91805,0.84878,0.93318,0.66832,0.71376,0.44892,0.84846,0.000590956,0.000590956,0.000590956
42,1674.76,0.70497,0.45029,0.88681,0.91646,0.81682,0.90947,0.65676,0.70905,0.46922,0.84674,0.000573891,0.000573891,0.000573891
43,1712.73,0.70521,0.45227,0.88869,0.90958,0.79794,0.91266,0.65387,0.72133,0.46709,0.84912,0.000556742,0.000556742,0.000556742
44,1750.61,0.71021,0.4557,0.88306,0.91408,0.81312,0.93241,0.65911,0.72052,0.47123,0.84975,0.000539529,0.000539529,0.000539529
