epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5462,0.81979,0.55609,0.91784,0.92658,0.96177,0.97127,0.70231,0.67436,0.40541,0.84645,0.000332288,0.000332288,0.0671034
2,102.069,0.8167,0.54936,0.91937,0.95155,0.95654,0.97183,0.70984,0.66678,0.38898,0.84548,0.000665459,0.000665459,0.0341033
3,144.313,0.81359,0.53782,0.91309,0.96311,0.96422,0.97401,0.6962,0.68243,0.38685,0.85089,0.000997979,0.000997979,0.00110247
4,186.237,0.81904,0.54318,0.91923,0.91209,0.93811,0.97049,0.69652,0.68928,0.41893,0.84982,0.000997803,0.000997803,0.000997803
5,228.147,0.81832,0.54467,0.91778,0.95924,0.97277,0.98084,0.71039,0.68466,0.38565,0.84795,0.000996097,0.000996097,0.000996097
6,270.131,0.79919,0.53146,0.91265,0.90392,0.82751,0.94455,0.67877,0.68752,0.46222,0.84772,0.000993906,0.000993906,0.000993906
7,312.107,0.80817,0.53542,0.92349,0.9374,0.93348,0.97078,0.68952,0.69918,0.41436,0.84657,0.000991232,0.000991232,0.000991232
8,354.098,0.79615,0.52039,0.91043,0.94542,0.93732,0.96457,0.69135,0.70423,0.42698,0.85177,0.000988079,0.000988079,0.000988079
9,396.286,0.80126,0.52733,0.91866,0.92217,0.93768,0.9696,0.69094,0.69723,0.41493,0.84805,0.000984449,0.000984449,0.000984449
10,438.229,0.79014,0.51897,0.9084,0.92878,0.92442,0.96473,0.69493,0.69711,0.42441,0.84962,0.000980345,0.000980345,0.000980345
11,480.391,0.78843,0.51494,0.91241,0.92791,0.94902,0.9715,0.70131,0.69718,0.39809,0.84588,0.000975773,0.000975773,0.000975773
12,522.394,0.78823,0.50937,0.90857,0.9128,0.90015,0.95861,0.68795,0.70174,0.42477,0.85013,0.000970736,0.000970736,0.000970736
13,564.466,0.77987,0.50807,0.90655,0.89156,0.84489,0.94123,0.67932,0.68639,0.44223,0.84603,0.000965239,0.000965239,0.000965239
14,606.411,0.77394,0.50352,0.90471,0.92937,0.92624,0.96517,0.69101,0.69685,0.42375,0.84759,0.000959289,0.000959289,0.000959289
15,648.372,0.77493,0.50371,0.90265,0.95786,0.76711,0.88854,0.64041,0.70295,0.48183,0.85179,0.000952889,0.000952889,0.000952889
16,690.266,0.77332,0.49814,0.90419,0.90633,0.9082,0.97084,0.69763,0.69433,0.4324,0.84677,0.000946048,0.000946048,0.000946048
17,732.47,0.76898,0.49449,0.90337,0.88448,0.80672,0.92118,0.65545,0.69923,0.48269,0.84636,0.000938772,0.000938772,0.000938772
18,774.401,0.77012,0.49575,0.90873,0.90138,0.83556,0.94814,0.67991,0.71053,0.46852,0.8483,0.000931067,0.000931067,0.000931067
19,816.721,0.76182,0.48733,0.90018,0.92614,0.86933,0.95351,0.67603,0.70426,0.46037,0.84671,0.000922942,0.000922942,0.000922942
20,858.599,0.75393,0.48855,0.90112,0.9595,0.76806,0.82191,0.6124,0.71864,0.53234,0.84965,0.000914405,0.000914405,0.000914405
21,900.582,0.7554,0.48446,0.89614,0.90972,0.86174,0.94839,0.67618,0.69523,0.43705,0.84633,0.000905463,0.000905463,0.000905463
22,942.743,0.75679,0.48507,0.90018,0.95121,0.77228,0.91902,0.6593,0.71155,0.46694,0.84784,0.000896127,0.000896127,0.000896127
23,984.695,0.75014,0.47667,0.89709,0.92282,0.92318,0.95781,0.68627,0.70568,0.42352,0.8486,0.000886404,0.000886404,0.000886404
24,1026.9,0.74438,0.48209,0.89674,0.91766,0.86126,0.94351,0.67598,0.71106,0.45323,0.84865,0.000876305,0.000876305,0.000876305
25,1068.91,0.74561,0.47754,0.9001,0.91152,0.84325,0.93114,0.66944,0.70856,0.46511,0.84612,0.000865839,0.000865839,0.000865839
26,1111.01,0.74053,0.47729,0.89753,0.91019,0.87957,0.94772,0.66822,0.70874,0.43525,0.84768,0.000855018,0.000855018,0.000855018
27,1153.03,0.74148,0.47953,0.89641,0.97293,0.77076,0.91142,0.65269,0.71988,0.47792,0.85132,0.000843851,0.000843851,0.000843851
28,1194.97,0.7425,0.47499,0.89531,0.91544,0.86033,0.94307,0.66894,0.71337,0.44304,0.85137,0.000832349,0.000832349,0.000832349
29,1236.87,0.73917,0.4768,0.89779,0.91575,0.88915,0.95553,0.66985,0.71619,0.44748,0.85242,0.000820525,0.000820525,0.000820525
30,1278.8,0.7306,0.46992,0.89212,0.89978,0.83766,0.93487,0.65949,0.72731,0.45701,0.85297,0.000808389,0.000808389,0.000808389
31,1320.82,0.73056,0.46822,0.89417,0.91102,0.86752,0.94809,0.67412,0.72627,0.43344,0.85278,0.000795954,0.000795954,0.000795954
32,1362.81,0.73068,0.47108,0.89671,0.91667,0.8816,0.94842,0.67439,0.70536,0.44033,0.84867,0.000783231,0.000783231,0.000783231
33,1404.88,0.73087,0.46906,0.89103,0.91466,0.89384,0.95426,0.67886,0.71455,0.43513,0.85154,0.000770234,0.000770234,0.000770234
34,1446.82,0.72124,0.45988,0.89108,0.91363,0.87849,0.95753,0.68248,0.7073,0.43743,0.84597,0.000756976,0.000756976,0.000756976
35,1488.83,0.73024,0.46541,0.89224,0.92328,0.82075,0.93693,0.6658,0.71491,0.46656,0.847,0.000743468,0.000743468,0.000743468
36,1530.77,0.72135,0.46188,0.89029,0.94827,0.7494,0.88343,0.63789,0.72426,0.50748,0.85138,0.000729725,0.000729725,0.000729725
37,1572.67,0.72764,0.4638,0.89295,0.899,0.80027,0.91725,0.66078,0.7136,0.47313,0.84842,0.000715761,0.000715761,0.000715761
38,1614.92,0.70951,0.45088,0.88936,0.90497,0.84826,0.93597,0.665,0.70784,0.4551,0.84944,0.000701588,0.000701588,0.000701588
39,1656.93,0.71668,0.45551,0.88505,0.92673,0.87105,0.93737,0.67112,0.72211,0.43971,0.85044,0.000687222,0.000687222,0.000687222
40,1699,0.71477,0.45287,0.88724,0.93336,0.78019,0.89863,0.64891,0.72533,0.49066,0.84987,0.000672675,0.000672675,0.000672675
41,1740.95,0.70033,0.44631,0.88225,0.92069,0.81013,0.92203,0.65689,0.7115,0.45845,0.85123,0.000657963,0.000657963,0.000657963
