epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8164,1.52403,1.34528,1.22232,0.88441,0.93526,0.94189,0.65117,0.76159,0.51919,0.85195,0.000332288,0.000332288,0.0671034
2,97.3994,0.90888,0.66918,0.92977,0.93218,0.94782,0.95742,0.68772,0.69281,0.44263,0.83874,0.000665459,0.000665459,0.0341033
3,137.479,0.85904,0.60797,0.91558,0.93616,0.95614,0.97254,0.6838,0.70244,0.42633,0.84351,0.000997979,0.000997979,0.00110247
4,176.872,0.84882,0.58614,0.9185,0.93377,0.95579,0.97254,0.68868,0.69659,0.42127,0.84,0.000997803,0.000997803,0.000997803
5,216.297,0.84213,0.57313,0.91413,0.94422,0.93882,0.96818,0.69157,0.69919,0.448,0.84067,0.000996097,0.000996097,0.000996097
6,255.826,0.81691,0.55488,0.91049,0.87939,0.89709,0.95671,0.66811,0.69665,0.44957,0.84084,0.000993906,0.000993906,0.000993906
7,295.361,0.82466,0.55581,0.92131,0.91165,0.91575,0.96651,0.68505,0.69626,0.43975,0.83966,0.000991232,0.000991232,0.000991232
8,334.828,0.80999,0.53324,0.90693,0.93533,0.82148,0.91582,0.6552,0.71028,0.46234,0.84296,0.000988079,0.000988079,0.000988079
9,374.15,0.81896,0.54013,0.91557,0.92677,0.95613,0.97252,0.69638,0.69038,0.41324,0.83931,0.000984449,0.000984449,0.000984449
10,413.596,0.80344,0.52873,0.90476,0.89766,0.92004,0.96045,0.68498,0.68724,0.42628,0.83864,0.000980345,0.000980345,0.000980345
11,452.946,0.79857,0.52266,0.90988,0.93936,0.96611,0.97559,0.70243,0.69823,0.39499,0.83877,0.000975773,0.000975773,0.000975773
12,492.668,0.80062,0.5175,0.90512,0.88924,0.88694,0.95503,0.67914,0.69975,0.43918,0.83989,0.000970736,0.000970736,0.000970736
13,532.306,0.79243,0.51885,0.905,0.87814,0.84834,0.94306,0.67919,0.68868,0.44335,0.83833,0.000965239,0.000965239,0.000965239
14,571.654,0.78294,0.51161,0.90197,0.90907,0.90859,0.96077,0.6869,0.69495,0.4306,0.83829,0.000959289,0.000959289,0.000959289
15,611.215,0.78691,0.50955,0.90193,0.8953,0.81951,0.93565,0.6692,0.70871,0.46756,0.84045,0.000952889,0.000952889,0.000952889
16,650.838,0.78387,0.50445,0.90077,0.93386,0.94317,0.97531,0.69186,0.69894,0.42233,0.83842,0.000946048,0.000946048,0.000946048
