epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0153,3.78655,3.11941,3.59709,0.89079,0.95799,0.8964,0.62865,2.03124,1.43623,1.88263,0.00332288,0.00332288,0.070094
2,70.7059,2.61307,1.76526,2.57842,0.93093,0.95399,0.96113,0.68104,1.82975,1.51709,1.70985,0.00649496,0.00649496,0.0399328
3,98.921,2.45906,1.71153,2.3393,0.9012,0.95235,0.93474,0.64299,1.92337,1.98334,1.73821,0.00904517,0.00904517,0.00914967
4,126.952,2.40717,1.62903,2.23606,0.93052,0.95093,0.95585,0.66347,1.90846,1.76172,1.67874,0.00795954,0.00795954,0.00795954
5,154.952,2.34391,1.51529,2.17061,0.9281,0.96047,0.96137,0.6772,1.82445,1.55215,1.6425,0.00657963,0.00657963,0.00657963
6,182.942,2.26196,1.40512,2.11761,0.89887,0.93405,0.94631,0.67675,1.82669,1.31178,1.63675,0.00505,0.00505,0.00505
7,210.856,2.20448,1.30442,2.09522,0.93074,0.95282,0.96447,0.68897,1.71596,1.19957,1.60039,0.00352037,0.00352037,0.00352037
8,238.891,2.16273,1.25977,2.05038,0.92475,0.94723,0.95693,0.68188,1.80419,1.21883,1.62079,0.00214046,0.00214046,0.00214046
9,266.816,2.12038,1.20097,2.02818,0.9329,0.95024,0.96524,0.67952,1.83288,1.15237,1.62627,0.00104537,0.00104537,0.00104537
10,294.893,2.05363,1.1578,2.01967,0.94081,0.94852,0.95952,0.69337,1.77239,1.08958,1.60937,0.00034227,0.00034227,0.00034227
