epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5135,2.23863,1.38221,2.05606,0.94093,0.94863,0.96851,0.7068,1.75064,1.10176,1.60499,0.000332288,0.000332288,0.0671034
2,93.1427,2.23786,1.37687,2.0725,0.96908,0.95816,0.97476,0.70279,1.72666,1.1304,1.60241,0.000665421,0.000665421,0.0341032
3,132.47,2.25265,1.37007,2.04698,0.95193,0.96225,0.96805,0.7027,1.79821,1.15209,1.61796,0.000997751,0.000997751,0.00110224
4,171.575,2.28566,1.41941,2.08246,0.97273,0.93209,0.96961,0.68904,1.76818,1.04679,1.60982,0.000997288,0.000997288,0.000997288
5,210.592,2.24717,1.36336,2.06415,0.90401,0.92187,0.95553,0.69287,1.74287,1.27598,1.60169,0.000995183,0.000995183,0.000995183
6,249.805,2.21029,1.34952,2.0394,0.91146,0.90774,0.95275,0.68825,1.78986,1.21122,1.61503,0.00099248,0.00099248,0.00099248
7,288.912,2.25125,1.38367,2.0594,0.94764,0.75261,0.87393,0.63329,1.90146,1.63109,1.64003,0.000989183,0.000989183,0.000989183
8,328.033,2.18408,1.30437,2.02861,0.92864,0.8787,0.93815,0.6596,1.84517,1.26186,1.62381,0.000985296,0.000985296,0.000985296
9,367.26,2.22415,1.33057,2.0399,0.88951,0.90844,0.94706,0.6715,1.95185,1.34116,1.66261,0.000980825,0.000980825,0.000980825
10,406.358,2.19752,1.30684,2.0451,0.81787,0.86111,0.91155,0.64794,1.89022,1.38465,1.63433,0.000975773,0.000975773,0.000975773
11,445.64,2.16535,1.28794,2.01066,0.97158,0.75551,0.87396,0.62406,1.92924,1.76281,1.64828,0.000970148,0.000970148,0.000970148
12,484.982,2.15383,1.27881,2.00627,0.88927,0.90232,0.94218,0.66872,1.87275,1.4368,1.63154,0.000963956,0.000963956,0.000963956
13,523.971,2.15667,1.29642,2.01074,0.94047,0.76494,0.88941,0.6447,1.88648,1.54316,1.63442,0.000957205,0.000957205,0.000957205
14,563.041,2.16055,1.27046,2.00979,0.92353,0.899,0.94294,0.67703,1.88587,1.30237,1.64141,0.000949903,0.000949903,0.000949903
15,602.237,2.14481,1.25618,1.99494,0.91911,0.75071,0.83285,0.60874,2.00257,2.02628,1.67524,0.000942059,0.000942059,0.000942059
16,641.452,2.15582,1.25753,2.00387,0.9448,0.74819,0.84349,0.6063,1.93853,2.096,1.65579,0.000933683,0.000933683,0.000933683
17,680.558,2.12115,1.24415,1.99863,0.95031,0.7652,0.82039,0.60271,1.89347,2.05065,1.64325,0.000924784,0.000924784,0.000924784
18,719.575,2.11795,1.23945,2.0013,0.90198,0.87679,0.93508,0.66926,1.81936,1.36606,1.61052,0.000915374,0.000915374,0.000915374
19,758.796,2.10639,1.22512,1.96274,0.8731,0.77796,0.88559,0.63652,1.92117,1.58862,1.64413,0.000905463,0.000905463,0.000905463
20,797.776,2.08541,1.21649,1.98684,0.92136,0.75231,0.8308,0.60716,1.9227,2.00728,1.64709,0.000895065,0.000895065,0.000895065
21,836.945,2.09319,1.21747,1.96158,0.88616,0.75273,0.83105,0.61279,1.94503,2.01047,1.66122,0.000884192,0.000884192,0.000884192
22,875.97,2.09348,1.21331,1.96629,0.95803,0.73401,0.84214,0.61165,1.85037,1.86445,1.62625,0.000872857,0.000872857,0.000872857
23,915.235,2.06088,1.19379,1.9715,0.9339,0.73377,0.81595,0.59728,1.92426,2.08097,1.64859,0.000861073,0.000861073,0.000861073
24,954.456,2.07041,1.20496,1.96062,0.9522,0.72506,0.84185,0.61084,1.89035,2.07602,1.63293,0.000848856,0.000848856,0.000848856
25,993.506,2.06225,1.19516,1.97077,0.91805,0.74441,0.82257,0.59935,1.98563,2.12516,1.66822,0.00083622,0.00083622,0.00083622
26,1032.74,2.04761,1.18878,1.96086,0.86113,0.83711,0.90116,0.64211,1.94034,1.73247,1.65651,0.00082318,0.00082318,0.00082318
27,1072.03,2.03911,1.18418,1.96347,0.87262,0.81121,0.89178,0.64515,1.88175,1.76369,1.6324,0.000809752,0.000809752,0.000809752
28,1111.23,2.05771,1.19634,1.95999,0.84714,0.85876,0.91136,0.65293,1.81158,1.60412,1.61501,0.000795954,0.000795954,0.000795954
29,1150.39,2.01906,1.18803,1.94821,0.82625,0.82752,0.88426,0.63523,1.88526,1.69854,1.63565,0.0007818,0.0007818,0.0007818
30,1189.58,2.01631,1.16951,1.96479,0.97371,0.71988,0.83061,0.60441,1.94641,2.1367,1.65296,0.00076731,0.00076731,0.00076731
31,1228.68,2.01518,1.17059,1.94346,0.86721,0.84176,0.90851,0.63657,1.92705,1.65233,1.65296,0.0007525,0.0007525,0.0007525
32,1267.7,1.9878,1.1591,1.94302,0.91148,0.75818,0.85224,0.6231,1.84646,1.88601,1.62545,0.000737388,0.000737388,0.000737388
33,1306.78,2.01623,1.16299,1.93984,0.83433,0.82946,0.90135,0.64821,1.82325,1.62447,1.61337,0.000721994,0.000721994,0.000721994
34,1345.81,2.00547,1.15025,1.93179,0.92751,0.7711,0.858,0.62538,1.91332,1.8581,1.63934,0.000706335,0.000706335,0.000706335
35,1385.03,1.99688,1.14163,1.92487,0.90653,0.75697,0.83363,0.60338,1.97159,2.09356,1.66628,0.00069043,0.00069043,0.00069043
36,1424.06,1.97244,1.13834,1.93113,0.93799,0.75361,0.87503,0.63108,1.87328,1.86427,1.62955,0.0006743,0.0006743,0.0006743
37,1463.21,1.99882,1.14625,1.9415,0.9289,0.7507,0.85168,0.61187,1.97002,2.0155,1.65929,0.000657963,0.000657963,0.000657963
38,1502.2,1.95498,1.12384,1.93561,0.92429,0.75674,0.87844,0.63545,1.89349,1.78263,1.63338,0.00064144,0.00064144,0.00064144
39,1541.22,1.95698,1.13605,1.91674,0.92046,0.75093,0.84475,0.61428,1.92765,2.05989,1.64727,0.000624751,0.000624751,0.000624751
40,1580.45,1.94916,1.129,1.92675,0.92573,0.76374,0.85567,0.62158,1.87902,1.92673,1.63273,0.000607916,0.000607916,0.000607916
41,1619.47,1.93448,1.11567,1.9132,0.92487,0.74368,0.82704,0.60719,1.93959,2.07073,1.65237,0.000590956,0.000590956,0.000590956
42,1658.44,1.94202,1.11445,1.93108,0.96045,0.72725,0.85146,0.62537,1.85231,2.0017,1.62462,0.000573891,0.000573891,0.000573891
43,1697.46,1.92978,1.11254,1.91202,0.95633,0.72261,0.86977,0.62969,1.8783,1.88224,1.6337,0.000556742,0.000556742,0.000556742
44,1736.58,1.95784,1.12697,1.91572,0.81426,0.8355,0.89778,0.64575,1.8829,1.61005,1.63052,0.000539529,0.000539529,0.000539529
45,1775.62,1.92757,1.10379,1.9085,0.97263,0.73155,0.84646,0.61612,1.88525,1.94338,1.63341,0.000522275,0.000522275,0.000522275
46,1814.96,1.87712,1.09122,1.90852,0.942,0.75455,0.86439,0.62893,1.86265,1.82449,1.6242,0.000505,0.000505,0.000505
47,1853.96,1.91961,1.09994,1.90145,0.92837,0.74079,0.87006,0.62769,1.89566,1.8386,1.63789,0.000487725,0.000487725,0.000487725
48,1893.3,1.91314,1.10814,1.91838,0.93249,0.74715,0.84045,0.61542,1.90222,2.00365,1.64026,0.000470471,0.000470471,0.000470471
49,1932.51,1.90455,1.08567,1.8965,0.93515,0.75514,0.84866,0.61949,1.90592,2.03135,1.64016,0.000453258,0.000453258,0.000453258
50,1971.78,1.87731,1.07325,1.88993,0.95148,0.72894,0.81835,0.60415,1.92577,2.19074,1.64888,0.000436109,0.000436109,0.000436109
51,2010.67,1.88511,1.07978,1.8985,0.96939,0.72322,0.80834,0.59019,2.00249,2.30186,1.6731,0.000419044,0.000419044,0.000419044
52,2049.69,1.89414,1.08342,1.91353,0.9508,0.73253,0.82693,0.60444,1.95139,2.17051,1.65482,0.000402084,0.000402084,0.000402084
53,2088.7,1.89941,1.07312,1.90022,0.95979,0.72169,0.83356,0.60829,1.93949,2.11227,1.65077,0.000385249,0.000385249,0.000385249
54,2127.76,1.85603,1.06675,1.88155,0.93839,0.73958,0.80933,0.59367,1.97646,2.3146,1.66876,0.00036856,0.00036856,0.00036856
55,2166.84,1.88985,1.08034,1.89562,0.92915,0.72992,0.84615,0.60813,1.98035,2.12548,1.66337,0.000352037,0.000352037,0.000352037
56,2205.83,1.87651,1.07634,1.89445,0.94051,0.74079,0.85558,0.61646,1.97065,1.97319,1.6583,0.0003357,0.0003357,0.0003357
57,2244.99,1.86724,1.07124,1.8827,0.93487,0.73307,0.85575,0.61676,1.95286,1.95315,1.64903,0.00031957,0.00031957,0.00031957
58,2284.04,1.85054,1.05626,1.88719,0.91909,0.73596,0.86018,0.62578,1.94732,1.95163,1.6475,0.000303665,0.000303665,0.000303665
59,2323.11,1.86055,1.07408,1.88951,0.82786,0.77808,0.86647,0.61809,1.94566,1.93508,1.6505,0.000288006,0.000288006,0.000288006
60,2362.32,1.86441,1.07674,1.892,0.89887,0.74686,0.86383,0.62331,1.92351,1.94604,1.64265,0.000272612,0.000272612,0.000272612
61,2401.34,1.85676,1.06653,1.89598,0.97527,0.72378,0.87036,0.62405,1.94061,1.93981,1.65029,0.0002575,0.0002575,0.0002575
62,2440.33,1.83672,1.03993,1.88794,0.95272,0.71925,0.866,0.62537,1.92094,1.94706,1.64139,0.00024269,0.00024269,0.00024269
63,2479.46,1.86325,1.06076,1.89047,0.92539,0.73259,0.86063,0.6223,1.90536,1.99146,1.63718,0.0002282,0.0002282,0.0002282
64,2518.53,1.87377,1.06567,1.88849,0.95768,0.72385,0.85088,0.61943,1.89208,2.0105,1.63489,0.000214046,0.000214046,0.000214046
65,2557.58,1.80284,1.03466,1.87088,0.95189,0.72361,0.85235,0.61758,1.91508,2.00738,1.63981,0.000200248,0.000200248,0.000200248
66,2596.53,1.83142,1.05259,1.886,0.92853,0.74468,0.86741,0.62376,1.92021,1.9611,1.64151,0.00018682,0.00018682,0.00018682
67,2635.68,1.85495,1.05063,1.88363,0.96959,0.72714,0.87614,0.62986,1.91879,1.86785,1.642,0.00017378,0.00017378,0.00017378
68,2674.65,1.84095,1.04552,1.88008,0.9423,0.735,0.85874,0.62121,1.92634,1.95693,1.64374,0.000161144,0.000161144,0.000161144
69,2713.7,1.83992,1.05213,1.88108,0.94968,0.73718,0.85669,0.62175,1.91982,1.99496,1.64169,0.000148927,0.000148927,0.000148927
70,2752.75,1.86102,1.05344,1.88425,0.94294,0.7401,0.85309,0.61781,1.92749,2.02684,1.64191,0.000137143,0.000137143,0.000137143
71,2792.1,1.82312,1.03351,1.88229,0.95336,0.72317,0.83286,0.60756,1.94155,2.18821,1.65084,0.000125808,0.000125808,0.000125808
72,2831.2,1.82856,1.05676,1.88895,0.94499,0.73424,0.84987,0.61916,1.91756,2.02008,1.64047,0.000114935,0.000114935,0.000114935
73,2870.36,1.81396,1.03947,1.88039,0.93889,0.7343,0.83597,0.60884,1.94259,2.14177,1.64933,0.000104537,0.000104537,0.000104537
74,2909.61,1.82225,1.03288,1.87787,0.94767,0.73618,0.84134,0.61301,1.93849,2.1108,1.64938,9.46264e-05,9.46264e-05,9.46264e-05
75,2948.82,1.82718,1.05144,1.89047,0.94591,0.7391,0.84545,0.61413,1.92938,2.05704,1.64451,8.52162e-05,8.52162e-05,8.52162e-05
76,2988.02,1.82666,1.03821,1.88387,0.9389,0.73308,0.84462,0.61275,1.92091,2.06605,1.64185,7.63174e-05,7.63174e-05,7.63174e-05
77,3027.08,1.82545,1.05096,1.87366,0.94547,0.7391,0.85514,0.62261,1.90865,2.00542,1.63785,6.79409e-05,6.79409e-05,6.79409e-05
78,3066.25,1.80834,1.03731,1.87306,0.94433,0.73734,0.85272,0.61827,1.90864,2.04891,1.63757,6.00969e-05,6.00969e-05,6.00969e-05
79,3105.29,1.81363,1.037,1.86874,0.94245,0.73088,0.8499,0.61825,1.91429,2.03509,1.64011,5.2795e-05,5.2795e-05,5.2795e-05
