epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9908,2.27102,1.4321,2.12691,0.93271,0.94987,0.95369,0.67224,1.90017,1.23877,1.66354,0.00332288,0.00332288,0.070094
2,76.1518,2.16998,1.29987,2.08425,0.92983,0.94798,0.94607,0.68076,1.73325,1.47234,1.61199,0.00649496,0.00649496,0.0399328
3,106.047,2.22701,1.31523,2.10487,0.95482,0.9549,0.97928,0.65345,1.92165,2.14078,1.67745,0.00904517,0.00904517,0.00914967
4,135.694,2.21719,1.33432,2.09778,0.91167,0.95471,0.95296,0.65281,1.99713,1.3748,1.68833,0.00795954,0.00795954,0.00795954
5,165.155,2.1692,1.29176,2.05902,0.89871,0.94515,0.95169,0.67022,1.86772,1.18266,1.63561,0.00657963,0.00657963,0.00657963
6,194.706,2.12522,1.22047,2.03716,0.85546,0.9241,0.92663,0.65327,1.80504,1.26667,1.61676,0.00505,0.00505,0.00505
7,224.482,2.07747,1.16917,2.02462,0.95858,0.93845,0.95745,0.67983,1.76202,1.0801,1.60022,0.00352037,0.00352037,0.00352037
8,254.047,2.0552,1.12887,1.9867,0.9074,0.92989,0.95183,0.68808,1.82118,1.17211,1.62439,0.00214046,0.00214046,0.00214046
9,283.592,2.02244,1.08592,1.97845,0.86732,0.91891,0.93454,0.66552,1.83246,1.22207,1.62146,0.00104537,0.00104537,0.00104537
10,313.445,1.96973,1.05453,1.96456,0.8856,0.92591,0.94232,0.67177,1.79162,1.14957,1.61171,0.00034227,0.00034227,0.00034227
