epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4492,2.1965,1.3363,2.0334,0.89816,0.92273,0.94582,0.68378,1.811,1.16031,1.62046,0.000332288,0.000332288,0.0671034
2,98.8914,2.20251,1.31897,2.04561,0.94479,0.9303,0.96496,0.68505,1.75186,1.11427,1.60644,0.000665421,0.000665421,0.0341032
3,139.819,2.21134,1.31208,2.02176,0.91443,0.94777,0.9687,0.68163,1.85734,1.147,1.63299,0.000997751,0.000997751,0.00110224
4,180.711,2.23908,1.34565,2.04611,0.96944,0.92268,0.96346,0.68211,1.76086,1.04841,1.61009,0.000997288,0.000997288,0.000997288
5,221.411,2.18995,1.30347,2.02366,0.95002,0.92753,0.96748,0.70128,1.71809,1.1398,1.58849,0.000995183,0.000995183,0.000995183
6,262.189,2.15885,1.28576,2.00577,0.88647,0.8983,0.94374,0.6862,1.81194,1.22981,1.61713,0.00099248,0.00099248,0.00099248
7,302.855,2.20155,1.31807,2.02262,0.86688,0.88765,0.92814,0.67161,1.79936,1.24376,1.6104,0.000989183,0.000989183,0.000989183
8,343.746,2.13365,1.24422,1.99754,0.89836,0.8768,0.92854,0.64938,1.88406,1.32468,1.63579,0.000985296,0.000985296,0.000985296
9,384.394,2.16748,1.26893,2.01092,0.90112,0.89223,0.93719,0.65572,1.96346,1.31131,1.66449,0.000980825,0.000980825,0.000980825
10,425.169,2.14394,1.25112,2.01425,0.8264,0.86496,0.89985,0.641,1.90356,1.36858,1.64343,0.000975773,0.000975773,0.000975773
11,465.837,2.11272,1.22851,1.98306,0.93983,0.75155,0.85008,0.61901,1.91156,1.81306,1.63892,0.000970148,0.000970148,0.000970148
12,506.861,2.11275,1.22073,1.9778,0.90183,0.90013,0.94136,0.67758,1.79251,1.32145,1.60343,0.000963956,0.000963956,0.000963956
13,547.746,2.10727,1.2368,1.98531,0.94459,0.75501,0.86865,0.63951,1.87341,1.62789,1.6279,0.000957205,0.000957205,0.000957205
14,588.51,2.10899,1.21427,1.98105,0.89493,0.88852,0.92862,0.66733,1.82408,1.39257,1.61624,0.000949903,0.000949903,0.000949903
15,629.154,2.09052,1.20441,1.9704,0.95174,0.77121,0.82116,0.60381,2.00819,2.06137,1.67727,0.000942059,0.000942059,0.000942059
16,670.072,2.10884,1.21067,1.97779,0.95345,0.73857,0.85728,0.61703,1.88924,1.87941,1.63379,0.000933683,0.000933683,0.000933683
17,710.791,2.07618,1.1982,1.974,0.90778,0.75191,0.81029,0.60026,1.88452,2.01438,1.63591,0.000924784,0.000924784,0.000924784
18,751.42,2.06457,1.18887,1.97652,0.88258,0.86712,0.92455,0.66492,1.83882,1.44223,1.62018,0.000915374,0.000915374,0.000915374
19,792.224,2.05349,1.17678,1.93778,0.88363,0.83848,0.91897,0.65314,1.89413,1.47827,1.63598,0.000905463,0.000905463,0.000905463
20,832.851,2.03991,1.17186,1.96343,0.89847,0.72315,0.81016,0.5936,1.89935,2.18828,1.63819,0.000895065,0.000895065,0.000895065
21,873.54,2.03859,1.17041,1.9381,0.9518,0.7314,0.8472,0.62155,1.89899,1.92997,1.63618,0.000884192,0.000884192,0.000884192
