experiment,params,gflops,p2_activation_bytes,peak_live_activation_bytes,feature_traffic_bytes,gpu_peak_allocated_bytes,fp16_mean_ms,fp16_p50_ms,fp16_p95_ms
B0-Clean,20054550,67.6461056,,26214400,639792000,129746432,3.6602124857902525,3.64083194732666,3.6896960735321045
P2-Direct-Clean,20868696,88.9616896,13107200,26214400,1046729600,165809664,4.429595522880554,4.4268798828125,4.458144187927246
P2-PaperFormula-Clean,20911960,91.0719488,13107200,26214400,1256444800,165914112,4.753447694778442,4.715519905090332,4.94652795791626
P2-Lite35-Clean,20906840,90.8622336,13107200,26214400,1151587200,165894656,4.417857928276062,4.382080078125,4.584832191467285
P2-Lite35-F7-Clean,20909144,90.953984,13107200,26214400,1204016000,165903872,4.417388129234314,4.395199775695801,4.567903995513916
P2-Partial50-Clean,20879576,89.4925312,13107200,26214400,1099158400,165841408,4.6159571218490605,4.6071038246154785,4.647359848022461
P2-Partial25-Clean,20872088,89.1222528,13107200,26214400,1072944000,165827072,4.453241281509399,4.426688194274902,4.612383842468262
P3-M7-Clean,20134934,68.6422528,,26214400,705328000,129914880,3.746459846496582,3.722048044204712,3.8552958965301514
P3-Lite35-Clean,20196374,69.4352384,,26214400,692220800,130036224,3.6975945591926576,3.656320095062256,3.827807903289795
P3-Lite35-F7-Clean,20200982,69.4811136,,26214400,718435200,130048512,3.857894401550293,3.85644793510437,3.8853759765625
P3-Partial50-Clean,20092694,68.1212416,,26214400,666006400,129831424,3.7379459071159364,3.715424060821533,3.855423927307129
P3-Partial25-Clean,20065430,67.778816,,26214400,652899200,129778176,3.6914256024360657,3.666304111480713,3.837376117706299
P2-Control-Clean-Head,20868696,88.9616896,13107200,26214400,1046729600,165809664,4.284363493919373,4.257535934448242,4.436063766479492
P2-Control-Clean-Full,20868696,88.9616896,13107200,26214400,1046729600,165809664,4.366674904823303,4.275551795959473,4.675968170166016
