split,experiment,seed,comparison_tier,map50_95,map50,map75,ap_s,ap_m,ap_l,ball_ap,ball_ap_s,ball_recall,bat_ap,tiny_ball_recall,small_ball_recall,large_ball_recall,checkpoint_sha256
val,B0-Clean,42,strict_fair,0.4748033979734336,0.7445591193959931,0.5490787222676662,0.26963522553002095,0.7171258189006641,0.867971335595098,0.3192729434345991,0.3008030187066675,0.7681159420289855,0.6303338525122683,0.47368421052631576,0.8712121212121212,0.6030534351145038,834c09acea234007f32c8f3c2a682ae1aa7eb0744bcbd5e9b1d20ec1ea42530a
val,B0-Clean,43,strict_fair,0.44658903148362444,0.6369435833190844,0.48120419685502136,0.22484686021053502,0.6931956344118267,0.9288118811881189,0.2107011671087244,0.1669293990561069,0.43719806763285024,0.6824768958585244,0.8421052631578947,0.32196969696969696,0.6106870229007634,d7c191bfbd1074da4b8f30def0460b9ad51b4c37b46c0498c9c82aded827a968
val,P2-Direct-Clean,42,strict_fair,0.4519634418768626,0.6370940474301425,0.5025560138767329,0.25035585917350867,0.724635547927202,0.8802252100210021,0.20575022881985688,0.16463353212605117,0.45893719806763283,0.6981766549338684,1.0,0.3560606060606061,0.5877862595419847,941d6c0fa8e8d4edd9910b6f81279b7d619cea8538d0b13fe06f8774860f772c
val,P2-Direct-Clean,43,strict_fair,0.4412217026865878,0.6511497391363372,0.4843764495728293,0.21697343402874245,0.7512799310713463,0.8435437293729374,0.18071922761693582,0.14839156766467573,0.46618357487922707,0.7017241777562396,1.0,0.36363636363636365,0.5954198473282443,a53a4027bf4b96d557b97a1e5c133de114d768433a5a5b9cde1bb7ef753434e7
val,P2-PaperFormula-Clean,42,strict_fair,0.4621770518915874,0.7159818189738193,0.47979322070430125,0.2639783873982397,0.7161511906125532,0.9133663366336634,0.2741003218998415,0.23920414233688778,0.8647342995169082,0.6502537818833334,0.7894736842105263,0.928030303030303,0.7480916030534351,c436ccc354389667c69ea2a097d1150e17bca369ebb175691d4e8fae52777e3c
val,P2-PaperFormula-Clean,43,strict_fair,0.44283672253915085,0.6299380384486049,0.4914370405336046,0.23785972772552735,0.6740305736943473,0.8852035203520352,0.20701729569959879,0.1766388495913617,0.43719806763285024,0.6786561493787029,1.0,0.3371212121212121,0.5572519083969466,54203cd2e4526fd34a59fc0304264213ef6479c69081ed77a6a9666bd386dd36
val,P2-Lite35-Clean,42,strict_fair,0.44275626144357455,0.630098397116882,0.48810564215206426,0.20029849231896785,0.7536384476698836,0.8812706270627063,0.19827915380389002,0.16219498489093667,0.4323671497584541,0.6872333690832592,0.8421052631578947,0.32954545454545453,0.5801526717557252,3c76cd211211e7f73d2176e7f761b01abf8b5d9e487ef2ed23c7d0c69a2b2843
val,P2-Lite35-Clean,43,strict_fair,0.45978639386979875,0.6578512380970208,0.491356903923827,0.23714187110321536,0.7403052017196475,0.9113861386138614,0.22280369645029235,0.184228142715595,0.46618357487922707,0.6967690912893051,0.8947368421052632,0.35984848484848486,0.6183206106870229,79b8eaea9d7e05f4b30f9eea5c920ef6f47b60f14afa3c4e9d2439c47b886778
val,P2-Lite35-F7-Clean,42,strict_fair,0.4384102667340854,0.6325257470074618,0.4813945398847903,0.23761858735725044,0.75038062869484,0.888960396039604,0.1802142596406308,0.14578346468879697,0.41304347826086957,0.69660627382754,0.8421052631578947,0.3484848484848485,0.48091603053435117,3ff2d6f6bb13a3e225357bc781beea03f993b4613c776bf1c8d778ee6918b914
val,P2-Lite35-F7-Clean,43,strict_fair,0.4420456340000437,0.6418829353773731,0.4854637883706389,0.2359873493923842,0.7169242445486544,0.8805250525052506,0.2066028205869896,0.17061027596723113,0.47342995169082125,0.6774884474130977,1.0,0.36363636363636365,0.6183206106870229,7f616b366f77d6b56cea61759d8162d2d90c61fd1a4b881a2775209a1f90d7ed
