split,image,image_path,group,width,height,resized_width,resized_height,x1,y1,x2,y2,w_px_640,h_px_640,area_px_640,short_px_640,size_bin,nearest_bat_px_640,bat_relation,edge_distance_px_640,blur_score,w_cell_p4,h_cell_p4,short_cell_p4,w_cell_p8,h_cell_p8,short_cell_p8,w_cell_p16,h_cell_p16,short_cell_p16
train,000000004736_jpg.rf.0a5b6470eae66a13dbe955040911efcc.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000004736_jpg.rf.0a5b6470eae66a13dbe955040911efcc.jpg,000000004736,640,426,640,426,252.5,172.0,263.5,182.0,11.0,10.0,110.0,10.0,8-16,137.0,far,172.0,937.263671875,2.75,2.5,2.5,1.375,1.25,1.25,0.6875,0.625,0.625
train,000000004736_jpg.rf.9f8b1ae5aa480e4e59091e95d7ff2719.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000004736_jpg.rf.9f8b1ae5aa480e4e59091e95d7ff2719.jpg,000000004736,640,426,640,426,252.5,172.0,263.5,182.0,11.0,10.0,110.0,10.0,8-16,137.0,far,172.0,1472.7742919921875,2.75,2.5,2.5,1.375,1.25,1.25,0.6875,0.625,0.625
train,000000004736_jpg.rf.c8954c6635826bf03e787f613e273bf0.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000004736_jpg.rf.c8954c6635826bf03e787f613e273bf0.jpg,000000004736,640,426,640,426,252.5,172.0,263.5,182.0,11.0,10.0,110.0,10.0,8-16,137.0,far,172.0,1542.399169921875,2.75,2.5,2.5,1.375,1.25,1.25,0.6875,0.625,0.625
train,000000005152_jpg.rf.1b0982fcc26b0b648a8ebc4d8045e5b4.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000005152_jpg.rf.1b0982fcc26b0b648a8ebc4d8045e5b4.jpg,000000005152,640,385,640,385,449.0,288.5,481.0,313.5,32.0,24.999999999999996,799.9999999999999,24.999999999999996,16-32,0.0,overlap,71.5,10495.064453125,8.0,6.249999999999999,6.249999999999999,4.0,3.1249999999999996,3.1249999999999996,2.0,1.5624999999999998,1.5624999999999998
train,000000005152_jpg.rf.3a1a67be34c8c1bb0e40cdd5ba9fc457.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000005152_jpg.rf.3a1a67be34c8c1bb0e40cdd5ba9fc457.jpg,000000005152,640,385,640,385,449.0,288.5,481.0,313.5,32.0,24.999999999999996,799.9999999999999,24.999999999999996,16-32,0.0,overlap,71.5,12401.36328125,8.0,6.249999999999999,6.249999999999999,4.0,3.1249999999999996,3.1249999999999996,2.0,1.5624999999999998,1.5624999999999998
train,000000005152_jpg.rf.b819632aa97bfff9fb96ceb07a3fe587.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000005152_jpg.rf.b819632aa97bfff9fb96ceb07a3fe587.jpg,000000005152,640,385,640,385,449.0,288.5,481.0,313.5,32.0,24.999999999999996,799.9999999999999,24.999999999999996,16-32,0.0,overlap,71.5,12086.7939453125,8.0,6.249999999999999,6.249999999999999,4.0,3.1249999999999996,3.1249999999999996,2.0,1.5624999999999998,1.5624999999999998
train,000000008119_jpg.rf.0087569b3f33ba7c8a9dec28340009fd.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000008119_jpg.rf.0087569b3f33ba7c8a9dec28340009fd.jpg,000000008119,640,480,640,480,607.0,119.5,621.0,134.5,14.0,15.0,210.0,14.0,8-16,166.5,far,19.0,3132.8349609375,3.5,3.75,3.5,1.75,1.875,1.75,0.875,0.9375,0.875
train,000000008119_jpg.rf.701354372397f63a7857d5cfdda39bfd.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000008119_jpg.rf.701354372397f63a7857d5cfdda39bfd.jpg,000000008119,640,480,640,480,607.0,119.5,621.0,134.5,14.0,15.0,210.0,14.0,8-16,166.5,far,19.0,3047.3828125,3.5,3.75,3.5,1.75,1.875,1.75,0.875,0.9375,0.875
train,000000008119_jpg.rf.b4aa9b445d12f288f1f27c3d544e6628.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000008119_jpg.rf.b4aa9b445d12f288f1f27c3d544e6628.jpg,000000008119,640,480,640,480,607.0,119.5,621.0,134.5,14.0,15.0,210.0,14.0,8-16,166.5,far,19.0,3135.89990234375,3.5,3.75,3.5,1.75,1.875,1.75,0.875,0.9375,0.875
train,000000012069_jpg.rf.6ea87cf4b58484e14c2e2ba9b6bc3e4b.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000012069_jpg.rf.6ea87cf4b58484e14c2e2ba9b6bc3e4b.jpg,000000012069,516,640,516,640,97.0,426.0,127.0,454.0,30.0,28.0,840.0,28.0,16-32,90.5,far,97.0,430.599609375,7.5,7.0,7.0,3.75,3.5,3.5,1.875,1.75,1.75
train,000000012069_jpg.rf.a038bf9cac66cc0fed5594354d750419.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000012069_jpg.rf.a038bf9cac66cc0fed5594354d750419.jpg,000000012069,516,640,516,640,97.0,426.0,127.0,454.0,30.0,28.0,840.0,28.0,16-32,90.5,far,97.0,434.8250732421875,7.5,7.0,7.0,3.75,3.5,3.5,1.875,1.75,1.75
train,000000012069_jpg.rf.f4735d2a4574ff36f1f803cf63cec19c.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000012069_jpg.rf.f4735d2a4574ff36f1f803cf63cec19c.jpg,000000012069,516,640,516,640,97.0,426.0,127.0,454.0,30.0,28.0,840.0,28.0,16-32,90.5,far,97.0,434.8250732421875,7.5,7.0,7.0,3.75,3.5,3.5,1.875,1.75,1.75
train,000000012552_jpg.rf.36682a2366b049d38e59572755c8201e.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000012552_jpg.rf.36682a2366b049d38e59572755c8201e.jpg,000000012552,640,427,640,427,139.0,219.5,157.0,234.5,18.0,14.999999999999998,269.99999999999994,14.999999999999998,8-16,4.0,near,139.0,3105.709228515625,4.5,3.7499999999999996,3.7499999999999996,2.25,1.8749999999999998,1.8749999999999998,1.125,0.9374999999999999,0.9374999999999999
train,000000012552_jpg.rf.5f41f2c0198a153f0a4681ca9adb4306.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000012552_jpg.rf.5f41f2c0198a153f0a4681ca9adb4306.jpg,000000012552,640,427,640,427,139.0,219.5,157.0,234.5,18.0,14.999999999999998,269.99999999999994,14.999999999999998,8-16,4.0,near,139.0,3199.73291015625,4.5,3.7499999999999996,3.7499999999999996,2.25,1.8749999999999998,1.8749999999999998,1.125,0.9374999999999999,0.9374999999999999
train,000000012552_jpg.rf.7b445ff18ee4b622569c33e69df31e49.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/train/images/000000012552_jpg.rf.7b445ff18ee4b622569c33e69df31e49.jpg,000000012552,640,427,640,427,139.0,219.5,157.0,234.5,18.0,14.999999999999998,269.99999999999994,14.999999999999998,8-16,4.0,near,139.0,3305.925537109375,4.5,3.7499999999999996,3.7499999999999996,2.25,1.8749999999999998,1.8749999999999998,1.125,0.9374999999999999,0.9374999999999999
